Date,Expiry,Strike Price,Returns
20-Jan-2020,27-Feb-2020,32000,-4.645608628659473
11-May-2020,25-Jun-2020,20000,-12.827797202797203
05-Jun-2020,25-Jun-2020,20000,22.53947368421052
08-Jul-2020,27-Aug-2020,22000,-8.697802197802195
09-Jul-2020,27-Aug-2020,22000,17.91770357080849
22-Jul-2020,27-Aug-2020,22000,-18.131001863265013
23-Jul-2020,27-Aug-2020,22000,9.607407407407411
03-Aug-2020,27-Aug-2020,22000,-18.57027136492507
21-Aug-2020,27-Aug-2020,22000,-54.23497267759563
04-Sep-2020,29-Oct-2020,24000,-2.368801439570494
15-Oct-2020,29-Oct-2020,24000,-25.47906976744186
06-Nov-2020,31-Dec-2020,25000,-17.45998752858034
09-Nov-2020,31-Dec-2020,25000,-6.534181240063597
10-Nov-2020,31-Dec-2020,25000,-17.36554238833182
01-Dec-2020,31-Dec-2020,25000,15.840220385674932
04-Dec-2020,31-Dec-2020,25000,-9.701492537313436
07-Dec-2020,31-Dec-2020,25000,-18.939393939393938
24-Dec-2020,31-Dec-2020,25000,-28.749999999999996
28-Dec-2020,31-Dec-2020,25000,2.77777777777778
29-Dec-2020,31-Dec-2020,25000,-54.05405405405405
30-Dec-2020,31-Dec-2020,25000,-40.0
