,Unnamed: 0,Unnamed: 0.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,AMBUJACEM,EQ,01-Oct-2019,203.95,204.4,205.65,193.7,199.05,199.85,199.44,3940452,785867582.95,27948,1476830,37.48,199.85,204.4
1,1,1,AMBUJACEM,EQ,03-Oct-2019,199.85,198.4,201.25,193.75,196.15,196.35,197.53,2884359,569756754.9,35864,1302637,45.16,196.35,198.4
2,2,2,AMBUJACEM,EQ,04-Oct-2019,196.35,197.5,198.2,188.85,190.0,189.65,192.41,2548653,490377963.8,29604,935144,36.69,189.65,197.5
3,3,3,AMBUJACEM,EQ,07-Oct-2019,189.65,190.7,190.75,185.25,185.5,185.95,187.27,2614126,489546498.7,32525,1036677,39.66,185.95,190.7
4,4,4,AMBUJACEM,EQ,09-Oct-2019,185.95,185.5,193.35,184.1,192.3,192.35,189.42,3360027,636466819.6,30220,1099776,32.73,192.35,185.5
5,5,5,AMBUJACEM,EQ,10-Oct-2019,192.35,191.3,191.7,186.85,188.75,188.0,188.52,1878899,354206552.0,13718,806097,42.9,188.0,191.3
6,6,6,AMBUJACEM,EQ,11-Oct-2019,188.0,189.15,190.75,186.85,188.7,189.2,188.6,2290001,431883482.25,29721,951237,41.54,189.2,189.15
7,7,7,AMBUJACEM,EQ,14-Oct-2019,189.2,189.85,195.3,188.75,194.25,194.05,192.96,2856315,551160538.4,36685,1148445,40.21,194.05,189.85
8,8,8,AMBUJACEM,EQ,15-Oct-2019,194.05,194.9,198.5,194.0,196.4,196.95,196.68,2661814,523524761.3,23563,1060981,39.86,196.95,194.9
9,9,9,AMBUJACEM,EQ,16-Oct-2019,196.95,199.2,203.1,198.7,203.0,202.7,201.28,3790120,762868361.15,44301,1433738,37.83,202.7,199.2
10,10,10,AMBUJACEM,EQ,17-Oct-2019,202.7,203.0,208.2,202.05,208.0,206.9,204.34,3304474,675244533.65,40769,1234935,37.37,206.9,203.0
11,11,11,AMBUJACEM,EQ,18-Oct-2019,206.9,208.05,209.8,206.2,207.1,207.65,207.53,3446793,715327885.75,31302,843466,24.47,207.65,208.05
12,12,12,AMBUJACEM,EQ,22-Oct-2019,207.65,205.0,205.4,192.5,195.9,195.9,196.68,9355044,1839988599.6,67225,2361903,25.25,195.9,205.0
13,13,13,AMBUJACEM,EQ,23-Oct-2019,195.9,196.0,197.8,193.1,196.75,196.8,195.96,2890392,566403857.05,24624,859161,29.72,196.8,196.0
14,14,14,AMBUJACEM,EQ,24-Oct-2019,196.8,198.0,199.45,194.5,197.65,197.65,196.95,3930744,774142423.35,21639,2394940,60.93,197.65,198.0
15,15,15,AMBUJACEM,EQ,25-Oct-2019,197.65,198.2,199.1,195.3,197.15,197.45,197.58,2875494,568131653.5,22940,1577778,54.87,197.45,198.2
16,16,16,AMBUJACEM,EQ,27-Oct-2019,197.45,197.65,198.9,197.0,197.6,197.55,197.88,178702,35361753.5,1878,55018,30.79,197.55,197.65
17,17,17,AMBUJACEM,EQ,29-Oct-2019,197.55,197.9,200.0,196.9,198.85,199.2,198.84,2409517,479118062.0,29675,1365869,56.69,199.2,197.9
18,18,18,AMBUJACEM,EQ,30-Oct-2019,199.2,199.8,203.7,199.65,201.25,200.6,201.5,2471767,498064699.8,19463,721022,29.17,200.6,199.8
19,19,19,AMBUJACEM,EQ,31-Oct-2019,200.6,202.0,203.0,199.2,203.0,202.3,201.5,2177954,438854921.55,22506,797456,36.61,202.3,202.0
