,Unnamed: 0,Unnamed: 0.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,AMBUJACEM,EQ,01-Aug-2019,201.9,201.7,201.95,194.1,196.7,196.8,198.72,4009344,796746163.75,34050,2414517,60.22,196.8,201.7
1,1,1,AMBUJACEM,EQ,02-Aug-2019,196.8,194.7,202.15,194.25,199.1,199.5,198.47,3109814,617196783.7,57703,1281322,41.2,199.5,194.7
2,2,2,AMBUJACEM,EQ,05-Aug-2019,199.5,197.6,199.5,194.85,196.75,197.25,197.29,2295191,452811742.55,36417,1006804,43.87,197.25,197.6
3,3,3,AMBUJACEM,EQ,06-Aug-2019,197.25,195.3,203.3,195.3,201.45,201.85,201.31,4770543,960342427.85,36897,2231010,46.77,201.85,195.3
4,4,4,AMBUJACEM,EQ,07-Aug-2019,201.85,202.3,206.25,201.45,204.9,204.9,204.61,6120163,1252246073.95,45356,3622695,59.19,204.9,202.3
5,5,5,AMBUJACEM,EQ,08-Aug-2019,204.9,204.9,211.45,203.85,207.4,206.3,209.03,5105516,1067202536.7,45200,2361329,46.25,206.3,204.9
6,6,6,AMBUJACEM,EQ,09-Aug-2019,206.3,208.0,214.9,208.0,213.0,212.95,212.88,5559737,1183559271.6,49458,2966632,53.36,212.95,208.0
7,7,7,AMBUJACEM,EQ,13-Aug-2019,212.95,212.95,213.75,207.2,209.4,208.4,209.34,5125593,1072980821.1,40257,3721810,72.61,208.4,212.95
8,8,8,AMBUJACEM,EQ,14-Aug-2019,208.4,208.45,215.2,208.45,214.0,214.0,212.84,3676384,782468738.7,77148,2085484,56.73,214.0,208.45
9,9,9,AMBUJACEM,EQ,16-Aug-2019,214.0,213.9,214.95,209.65,214.0,213.9,212.35,2152191,457026978.85,47603,870705,40.46,213.9,213.9
10,10,10,AMBUJACEM,EQ,19-Aug-2019,213.9,214.4,216.6,211.3,212.05,212.0,213.27,1881382,401245914.45,19296,682213,36.26,212.0,214.4
11,11,11,AMBUJACEM,EQ,20-Aug-2019,212.0,212.1,212.5,205.15,206.5,205.85,206.81,1823430,377097025.15,21458,534919,29.34,205.85,212.1
12,12,12,AMBUJACEM,EQ,21-Aug-2019,205.85,206.0,206.75,200.5,201.05,201.1,203.7,2235406,455342807.85,20808,476862,21.33,201.1,206.0
13,13,13,AMBUJACEM,EQ,22-Aug-2019,201.1,200.8,200.9,196.5,197.0,197.55,198.35,2970844,589255314.4,35299,1376294,46.33,197.55,200.8
14,14,14,AMBUJACEM,EQ,23-Aug-2019,197.55,196.6,199.7,196.05,197.3,197.3,198.39,5629349,1116820609.15,57063,3887112,69.05,197.3,196.6
15,15,15,AMBUJACEM,EQ,26-Aug-2019,197.3,202.4,203.35,194.6,202.75,202.65,199.13,3332737,663646996.5,26799,1305083,39.16,202.65,202.4
16,16,16,AMBUJACEM,EQ,27-Aug-2019,202.65,203.5,207.7,202.85,205.5,205.1,205.33,2434000,499784533.55,41863,1021959,41.99,205.1,203.5
17,17,17,AMBUJACEM,EQ,28-Aug-2019,205.1,205.0,207.5,202.75,204.75,205.0,205.16,1674581,343554839.5,26497,576190,34.41,205.0,205.0
18,18,18,AMBUJACEM,EQ,29-Aug-2019,205.0,203.55,205.15,199.4,200.35,200.05,201.1,3138802,631205836.95,29063,1807062,57.57,200.05,203.55
