,Unnamed: 0,Unnamed: 0.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,AMBUJACEM,EQ,01-Jan-2019,225.1,224.5,229.0,221.05,223.0,222.9,222.78,1594627,355253443.15,14944,337282,21.15,222.9,224.5
1,1,1,AMBUJACEM,EQ,02-Jan-2019,222.9,222.9,223.8,218.05,218.25,218.95,221.02,1826162,403613182.75,15208,430699,23.58,218.95,222.9
2,2,2,AMBUJACEM,EQ,03-Jan-2019,218.95,219.0,220.9,213.15,213.7,213.85,216.55,1612955,349292832.9,15008,367320,22.77,213.85,219.0
3,3,3,AMBUJACEM,EQ,04-Jan-2019,213.85,214.5,216.95,211.2,216.65,216.55,214.25,2344100,502230062.5,21876,772154,32.94,216.55,214.5
4,4,4,AMBUJACEM,EQ,07-Jan-2019,216.55,218.5,220.25,216.4,218.0,218.0,218.55,1280088,279765634.7,10845,374242,29.24,218.0,218.5
5,5,5,AMBUJACEM,EQ,08-Jan-2019,218.0,217.1,219.65,215.2,217.6,218.7,217.94,1678459,365799289.8,20651,727510,43.34,218.7,217.1
6,6,6,AMBUJACEM,EQ,09-Jan-2019,218.7,219.5,219.5,211.6,212.45,212.85,215.4,2005058,431892463.35,20206,794597,39.63,212.85,219.5
7,7,7,AMBUJACEM,EQ,10-Jan-2019,212.85,213.85,215.4,211.3,213.0,213.15,213.21,2033769,433611643.65,32607,719483,35.38,213.15,213.85
8,8,8,AMBUJACEM,EQ,11-Jan-2019,213.15,213.85,214.15,211.5,213.85,212.85,212.93,1279076,272353995.9,20037,413439,32.32,212.85,213.85
9,9,9,AMBUJACEM,EQ,14-Jan-2019,212.85,213.0,215.3,211.55,215.05,214.85,213.86,1231366,263342469.65,13484,570900,46.36,214.85,213.0
10,10,10,AMBUJACEM,EQ,15-Jan-2019,214.85,215.45,217.5,214.85,216.6,216.75,216.66,1294415,280448762.55,16831,394124,30.45,216.75,215.45
11,11,11,AMBUJACEM,EQ,16-Jan-2019,216.75,217.0,220.0,215.7,216.05,216.85,217.55,975644,212254010.0,14236,205793,21.09,216.85,217.0
12,12,12,AMBUJACEM,EQ,17-Jan-2019,216.85,218.0,218.4,214.2,215.25,215.25,216.17,934332,201977301.85,13325,361933,38.74,215.25,218.0
13,13,13,AMBUJACEM,EQ,18-Jan-2019,215.25,215.7,216.0,212.2,212.25,212.65,213.9,787152,168370474.05,10409,272894,34.67,212.65,215.7
14,14,14,AMBUJACEM,EQ,21-Jan-2019,212.65,213.0,214.8,211.2,212.2,212.3,212.87,1028461,218923971.75,8241,316482,30.77,212.3,213.0
15,15,15,AMBUJACEM,EQ,22-Jan-2019,212.3,212.2,215.0,211.4,214.0,213.85,213.07,996452,212318071.0,14004,211064,21.18,213.85,212.2
16,16,16,AMBUJACEM,EQ,23-Jan-2019,213.85,213.0,215.55,211.5,211.95,212.4,213.41,979376,209003844.45,11811,298852,30.51,212.4,213.0
17,17,17,AMBUJACEM,EQ,24-Jan-2019,212.4,213.8,213.8,208.75,211.45,211.2,210.46,1682064,354014617.85,16937,326678,19.42,211.2,213.8
18,18,18,AMBUJACEM,EQ,25-Jan-2019,211.2,211.9,213.7,201.25,202.75,202.35,205.43,2945463,605096870.9,24523,1033479,35.09,202.35,211.9
19,19,19,AMBUJACEM,EQ,28-Jan-2019,202.35,201.0,204.35,197.9,201.0,199.75,200.24,3278879,656559106.1,27249,1344357,41.0,199.75,201.0
20,20,20,AMBUJACEM,EQ,29-Jan-2019,199.75,198.7,204.75,198.3,202.25,200.85,201.52,2643774,532780122.85,38787,1168126,44.18,200.85,198.7
21,21,21,AMBUJACEM,EQ,30-Jan-2019,200.85,201.85,205.8,198.5,205.7,204.65,201.65,1461921,294798875.85,39526,562927,38.51,204.65,201.85
22,22,22,AMBUJACEM,EQ,31-Jan-2019,204.65,205.7,212.0,204.45,210.05,209.9,209.5,7669625,1606791440.35,39337,6048220,78.86,209.9,205.7
