,Unnamed: 0,Unnamed: 0.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,AMBUJACEM,EQ,03-Sep-2019,202.35,200.0,200.65,192.3,193.4,193.35,195.67,5785632,1132055992.55,41228,3390236,58.6,193.35,200.0
1,1,1,AMBUJACEM,EQ,04-Sep-2019,193.35,193.0,193.0,188.45,191.25,190.9,190.39,5847593,1113295926.95,44025,2774338,47.44,190.9,193.0
2,2,2,AMBUJACEM,EQ,05-Sep-2019,190.9,192.55,193.8,190.4,192.6,193.2,192.53,2928347,563803367.3,29536,1338798,45.72,193.2,192.55
3,3,3,AMBUJACEM,EQ,06-Sep-2019,193.2,193.6,196.7,193.3,194.9,194.7,194.98,1565369,305212535.5,14233,364319,23.27,194.7,193.6
4,4,4,AMBUJACEM,EQ,09-Sep-2019,194.7,195.0,197.8,193.65,195.8,195.5,195.9,1534947,300696347.05,27064,567725,36.99,195.5,195.0
5,5,5,AMBUJACEM,EQ,11-Sep-2019,195.5,195.75,198.35,195.75,196.8,197.35,197.22,1746891,344518559.7,26947,759791,43.49,197.35,195.75
6,6,6,AMBUJACEM,EQ,12-Sep-2019,197.35,197.5,200.2,195.1,195.45,195.75,198.38,2256605,447655526.65,34206,761531,33.75,195.75,197.5
7,7,7,AMBUJACEM,EQ,13-Sep-2019,195.75,196.0,202.15,193.9,201.15,201.0,197.77,2245097,444017557.05,26654,609843,27.16,201.0,196.0
8,8,8,AMBUJACEM,EQ,16-Sep-2019,201.0,199.5,203.9,197.35,201.3,201.45,201.45,2090311,421102523.8,24819,607091,29.04,201.45,199.5
9,9,9,AMBUJACEM,EQ,17-Sep-2019,201.45,200.85,201.2,193.5,194.4,194.35,196.47,2829653,555934236.2,37003,926785,32.75,194.35,200.85
10,10,10,AMBUJACEM,EQ,18-Sep-2019,194.35,195.0,196.7,194.1,195.7,195.8,195.53,2266964,443255885.25,18464,848958,37.45,195.8,195.0
11,11,11,AMBUJACEM,EQ,19-Sep-2019,195.8,195.5,196.5,190.25,191.4,191.8,192.82,2032982,391994027.6,23242,792922,39.0,191.8,195.5
12,12,12,AMBUJACEM,EQ,20-Sep-2019,191.8,192.2,217.35,191.25,214.0,215.2,209.44,8240226,1725802574.05,106374,3700799,44.91,215.2,192.2
13,13,13,AMBUJACEM,EQ,23-Sep-2019,215.2,216.2,225.0,216.2,219.5,220.55,221.02,5258243,1162157804.95,47633,2148715,40.86,220.55,216.2
14,14,14,AMBUJACEM,EQ,24-Sep-2019,220.55,219.45,219.45,212.7,215.2,215.75,215.34,2701974,581851969.6,25190,341335,12.63,215.75,219.45
15,15,15,AMBUJACEM,EQ,25-Sep-2019,215.75,214.95,215.7,207.3,210.0,210.1,211.02,3960724,835788973.75,38130,2259263,57.04,210.1,214.95
16,16,16,AMBUJACEM,EQ,26-Sep-2019,210.1,210.35,213.8,207.6,211.05,210.5,209.98,3991305,838087257.2,33112,2219815,55.62,210.5,210.35
