"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AMBUJACEM","01-Apr-2019","25-Apr-2019","CE","230","13.95","17.5","11","11.2","11.25","11.2","40","245.03","15.03","40000","0","234.55"
"AMBUJACEM","02-Apr-2019","25-Apr-2019","CE","230","10.3","11.55","7.8","7.8","7.8","7.8","25","150.26","6.51","45000","5000","229.95"
"AMBUJACEM","03-Apr-2019","25-Apr-2019","CE","230","10","11.85","6.5","6.8","6.5","6.8","82","488.22","16.72","100000","55000","226.75"
"AMBUJACEM","04-Apr-2019","25-Apr-2019","CE","230","6.95","8.2","4.45","4.6","4.65","4.6","322","1899.35","47.85","280000","180000","222.6"
"AMBUJACEM","05-Apr-2019","25-Apr-2019","CE","230","4.7","6","4.25","5.25","5.9","5.25","393","2309.91","50.16","357500","77500","224"
"AMBUJACEM","08-Apr-2019","25-Apr-2019","CE","230","6.2","7","4.65","5","5.1","5","475","2801.23","69.98","525000","167500","225.6"
"AMBUJACEM","09-Apr-2019","25-Apr-2019","CE","230","5","5.5","3.4","5.15","5.1","5.15","318","1863.51","35.01","427500","-97500","227.15"
"AMBUJACEM","10-Apr-2019","25-Apr-2019","CE","230","5","5","3.45","3.6","3.6","3.6","110","643.91","11.41","492500","65000","223.9"
"AMBUJACEM","11-Apr-2019","25-Apr-2019","CE","230","3.95","5.3","3.15","4.75","5.05","4.75","245","1434.07","25.32","445000","-47500","227.2"
"AMBUJACEM","12-Apr-2019","25-Apr-2019","CE","230","5.15","6.3","4.15","4.95","4.85","4.95","273","1606.14","36.39","420000","-25000","229.15"
"AMBUJACEM","15-Apr-2019","25-Apr-2019","CE","230","4.25","4.85","3.75","4","3.9","4","225","1317.08","23.33","527500","107500","227.45"
"AMBUJACEM","16-Apr-2019","25-Apr-2019","CE","230","4.2","5.95","3.75","5.3","4.9","5.3","391","2297.21","48.96","400000","-127500","232"
"AMBUJACEM","18-Apr-2019","25-Apr-2019","CE","230","5.1","6.55","3.5","5.25","5.15","5.25","138","810.45","16.95","360000","-40000","233.4"
"AMBUJACEM","22-Apr-2019","25-Apr-2019","CE","230","3.85","4","1.5","1.6","1.7","1.6","240","1395.75","15.75","515000","155000","226.1"
"AMBUJACEM","23-Apr-2019","25-Apr-2019","CE","230","1.95","2.25","0.8","1.1","0.9","1.1","216","1250.66","8.66","502500","-12500","226.8"
"AMBUJACEM","24-Apr-2019","25-Apr-2019","CE","230","0.55","0.9","0.15","0.65","0.45","0.65","381","2194.31","3.56","392500","-110000","224.1"
"AMBUJACEM","25-Apr-2019","25-Apr-2019","CE","230","0.25","2.15","0.05","0.05","0.05","0","1027","5926.73","21.48","452500","60000","220.55"
