,Unnamed: 0,Unnamed: 0.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,AMBUJACEM,EQ,01-Jul-2019,212.85,214.45,216.0,211.5,213.5,212.95,213.47,2294542,489826470.1,20981,959490,41.82,212.95,214.45
1,1,1,AMBUJACEM,EQ,02-Jul-2019,212.95,213.8,215.0,213.35,214.35,214.95,214.62,1735201,372405982.3,19353,716453,41.29,214.95,213.8
2,2,2,AMBUJACEM,EQ,03-Jul-2019,214.95,215.0,215.75,213.1,215.0,214.95,214.67,1379872,296218013.7,11222,682991,49.5,214.95,215.0
3,3,3,AMBUJACEM,EQ,04-Jul-2019,214.95,215.4,217.5,214.5,216.5,216.1,215.88,2031484,438557214.0,17081,899664,44.29,216.1,215.4
4,4,4,AMBUJACEM,EQ,05-Jul-2019,216.1,217.3,218.95,209.4,210.25,210.2,214.54,2278543,488830980.7,21883,693258,30.43,210.2,217.3
5,5,5,AMBUJACEM,EQ,08-Jul-2019,210.2,209.85,209.85,203.8,206.6,205.4,206.11,2756090,568044846.45,30845,1208768,43.86,205.4,209.85
6,6,6,AMBUJACEM,EQ,09-Jul-2019,205.4,205.75,211.9,203.75,210.6,211.1,207.77,2289398,475675434.65,39742,854730,37.33,211.1,205.75
7,7,7,AMBUJACEM,EQ,10-Jul-2019,211.1,211.8,211.95,207.9,209.1,208.85,210.04,1424627,299225623.1,16238,322430,22.63,208.85,211.8
8,8,8,AMBUJACEM,EQ,11-Jul-2019,208.85,209.65,212.8,209.55,211.1,211.7,211.45,874940,185002227.95,13234,250096,28.58,211.7,209.65
9,9,9,AMBUJACEM,EQ,12-Jul-2019,211.7,213.3,216.25,212.5,214.3,214.2,214.63,2316539,497201414.3,41078,542844,23.43,214.2,213.3
10,10,10,AMBUJACEM,EQ,15-Jul-2019,214.2,215.0,219.9,211.2,219.65,219.6,217.15,2672310,580286213.75,36253,761907,28.51,219.6,215.0
11,11,11,AMBUJACEM,EQ,16-Jul-2019,219.6,219.75,220.75,216.55,219.95,219.9,218.61,3230318,706174540.25,42175,918753,28.44,219.9,219.75
12,12,12,AMBUJACEM,EQ,17-Jul-2019,219.9,220.0,221.7,216.8,219.15,219.25,219.44,2325693,510343944.7,19837,705346,30.33,219.25,220.0
13,13,13,AMBUJACEM,EQ,18-Jul-2019,219.25,219.0,221.2,215.1,217.3,216.95,217.81,3614814,787347956.85,30334,1802402,49.86,216.95,219.0
14,14,14,AMBUJACEM,EQ,19-Jul-2019,216.95,222.0,223.8,212.05,215.55,214.0,218.44,7523729,1643491007.55,66081,2274041,30.22,214.0,222.0
15,15,15,AMBUJACEM,EQ,22-Jul-2019,214.0,213.5,216.7,210.55,215.05,215.8,214.46,2095341,449359779.4,20083,657396,31.37,215.8,213.5
16,16,16,AMBUJACEM,EQ,23-Jul-2019,215.8,216.2,219.15,215.15,217.15,217.65,217.75,3846881,837641560.4,30238,2119145,55.09,217.65,216.2
17,17,17,AMBUJACEM,EQ,24-Jul-2019,217.65,217.5,218.95,213.45,216.2,215.7,215.65,1690968,364652481.65,25930,595811,35.23,215.7,217.5
18,18,18,AMBUJACEM,EQ,25-Jul-2019,215.7,216.1,220.0,211.0,213.4,214.05,215.86,4148175,895415111.7,39689,828203,19.97,214.05,216.1
