Date,Expiry,Strike Price,Returns,Alpha,Alpha-Mean,Ratio
08-Jan-2020,30-Jan-2020,1700,-13.993174061433452,1.122807017543858,1.1489760609343842,0.9772240307868166
23-Jan-2020,30-Jan-2020,1700,-36.66666666666667,40.05263157894732,44.198777141458926,0.906193206449088
20-Feb-2020,27-Feb-2020,1700,-44.99999999999999,135.47619047619048,203.06428571428583,0.667159121554281
09-Mar-2020,26-Mar-2020,1700,7.109004739336493,13.425702811244989,16.801723725408177,0.7990669904268306
11-Mar-2020,26-Mar-2020,1700,127.05479452054793,16.18141592920353,17.42409341248984,0.9286805084277419
13-May-2020,28-May-2020,1600,17.29885057471264,-0.4492044063647496,-0.4590252086548044,0.9786050916052408
15-May-2020,28-May-2020,1600,51.915455746367236,-0.5744810744810739,-0.6448128881198482,0.8909267867708903
21-May-2020,28-May-2020,1600,-52.708333333333336,-0.5370950888192277,-0.8944455288204104,0.6004782533012889
10-Jun-2020,25-Jun-2020,1600,12.75571600481349,0.9277419354838722,0.9638469195214876,0.9625407486330504
15-Jun-2020,25-Jun-2020,1600,2.8612303290414873,0.4527363184079613,0.7455348777568377,0.6072637671495028
08-Jul-2020,30-Jul-2020,1600,-31.392931392931395,3.520408163265306,7.009235260014292,0.5022528182708091
10-Jul-2020,30-Jul-2020,1600,11.627906976744185,5.253807106598985,7.167778146989235,0.7329756863088462
14-Jul-2020,30-Jul-2020,1600,18.997361477572568,4.387096774193553,6.216186062950023,0.7057537740611907
15-Jul-2020,30-Jul-2020,1600,-23.851203501094105,3.1773835920177422,5.309864785661007,0.5983925618215532
24-Jul-2020,30-Jul-2020,1600,-39.34426229508196,11.03940886699507,12.249830928543384,0.9011886720225742
04-Sep-2020,24-Sep-2020,1900,-19.439579684763576,1.8814691151919836,2.338128375145819,0.8046902536199042
08-Sep-2020,24-Sep-2020,1900,-19.593345656192238,2.1945454545454512,2.832636444194428,0.7747360092902981
21-Sep-2020,24-Sep-2020,1900,10.999999999999996,13.435185185185176,20.595323388928048,0.6523415501408378
12-Oct-2020,29-Oct-2020,2000,4.421768707482996,2.8464351005484425,3.1524493154278317,0.9029281094602282
13-Oct-2020,29-Oct-2020,2000,13.953488372093027,2.1058631921824134,2.6213455822068408,0.8033519908540802
16-Oct-2020,29-Oct-2020,2000,-15.400000000000006,2.245871559633021,2.8251935920619005,0.7949443060975956
10-Nov-2020,26-Nov-2020,2100,33.09608540925266,6.333333333333333,9.124551994303214,0.6940980047335431
11-Nov-2020,26-Nov-2020,2100,-0.7371007371007475,4.368983957219242,7.9891842321748845,0.5468623366606079
19-Nov-2020,26-Nov-2020,2100,-38.43416370106761,4.709923664122123,8.181823510388876,0.5756569618180708
20-Nov-2020,26-Nov-2020,2100,-58.57142857142858,7.69364161849713,7.932443226386575,0.9698955793222582
21-Dec-2020,31-Dec-2020,2200,-21.73913043478261,99.90140845070425,148.20221353912703,0.6740885042471324
