,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,03-Aug-2020,113.8,117.25,112.7,115.2,115.67,18529048,2143291991.55,65242,3684720,19.89,115.3,113.1
1,1,VEDL,EQ,04-Aug-2020,115.3,119.6,114.85,118.9,117.8,25885835,3049304415.7,79402,7255739,28.03,119.05,116.05
2,2,VEDL,EQ,05-Aug-2020,119.05,123.4,119.2,122.05,121.21,30055160,3642908577.3,91187,11006113,36.62,121.95,119.2
3,3,VEDL,EQ,06-Aug-2020,121.95,124.9,119.9,124.85,122.07,20522259,2505252780.45,67703,7085332,34.53,122.75,122.25
4,4,VEDL,EQ,07-Aug-2020,122.75,126.65,122.5,122.6,124.19,21423532,2660665516.8,76367,6305087,29.43,122.8,124.9
5,5,VEDL,EQ,10-Aug-2020,122.8,126.4,121.6,126.15,123.89,10985335,1361008689.85,35235,5119190,46.6,125.2,122.0
6,6,VEDL,EQ,11-Aug-2020,125.2,127.6,124.75,125.15,126.22,12100883,1527363166.15,45138,5518803,45.61,125.6,126.7
7,7,VEDL,EQ,12-Aug-2020,125.6,128.1,122.4,123.4,124.19,13874964,1723118826.5,41565,6071050,43.76,123.4,124.1
8,8,VEDL,EQ,13-Aug-2020,123.4,125.9,123.4,124.1,124.47,10697676,1331576514.7,68073,3407848,31.86,124.45,124.0
9,9,VEDL,EQ,14-Aug-2020,124.45,125.5,121.2,122.8,123.22,9152726,1127753559.45,37936,4054332,44.3,122.65,125.05
10,10,VEDL,EQ,17-Aug-2020,122.65,128.35,123.4,128.25,126.44,23291965,2944961600.05,63297,12706994,54.56,127.95,124.0
11,11,VEDL,EQ,18-Aug-2020,127.95,129.75,120.1,127.0,126.85,26536571,3366238776.35,114613,9478203,35.72,126.8,129.0
12,12,VEDL,EQ,19-Aug-2020,126.8,129.75,126.65,128.5,128.33,11989907,1538641662.05,53780,5964459,49.75,129.05,126.8
13,13,VEDL,EQ,20-Aug-2020,129.05,130.85,128.1,129.05,129.5,11240627,1455661823.35,46657,4697412,41.79,128.95,129.0
14,14,VEDL,EQ,21-Aug-2020,128.95,132.35,129.1,130.6,130.41,13280524,1731918393.5,52651,7509236,56.54,130.7,130.4
15,15,VEDL,EQ,24-Aug-2020,130.7,131.5,127.4,128.25,128.94,20943394,2700504506.8,70900,9666227,46.15,128.8,130.85
16,16,VEDL,EQ,25-Aug-2020,128.8,130.8,128.0,129.85,129.19,8464054,1093443824.35,48977,3523262,41.63,130.05,128.85
17,17,VEDL,EQ,26-Aug-2020,130.05,130.25,128.0,128.7,128.77,8383858,1079572418.6,39235,4774380,56.95,128.95,130.25
18,18,VEDL,EQ,27-Aug-2020,128.95,129.3,126.1,128.15,127.63,21935103,2799645077.6,65376,14513245,66.16,127.85,129.3
