,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,02-Mar-2020,114.0,119.4,109.0,111.15,115.82,32732879,3791120233.2,114317,8580323,26.21,110.95,117.55
1,1,VEDL,EQ,03-Mar-2020,110.95,121.0,113.65,120.2,117.27,36975433,4336032298.35,140421,8081581,21.86,119.55,114.25
2,2,VEDL,EQ,04-Mar-2020,119.55,120.0,115.1,119.3,117.44,38623129,4535999186.75,128090,11015809,28.52,119.35,119.0
3,3,VEDL,EQ,05-Mar-2020,119.35,122.2,116.0,117.05,117.98,26357440,3109739343.3,83865,6427182,24.38,117.1,118.5
4,4,VEDL,EQ,06-Mar-2020,117.1,113.4,108.1,111.2,111.58,16482554,1839043310.3,64906,4460438,27.06,111.05,111.7
5,5,VEDL,EQ,09-Mar-2020,111.05,105.45,93.4,94.1,98.17,38812756,3810440944.7,168779,9756147,25.14,94.9,104.0
6,6,VEDL,EQ,11-Mar-2020,94.9,95.5,91.25,91.35,93.34,33275612,3105866700.6,119713,7151330,21.49,92.0,92.0
7,7,VEDL,EQ,12-Mar-2020,92.0,85.5,78.25,80.4,82.04,38860033,3187905925.25,149165,9924019,25.54,79.85,84.75
8,8,VEDL,EQ,13-Mar-2020,79.85,86.6,68.9,85.2,79.23,45056264,3569607059.65,179642,12350381,27.41,84.05,73.15
9,9,VEDL,EQ,16-Mar-2020,84.05,80.7,74.25,74.9,77.28,33777113,2610199594.25,149270,7889394,23.36,74.85,78.0
10,10,VEDL,EQ,17-Mar-2020,74.85,80.45,74.4,75.05,77.58,32830615,2546968314.3,116885,7455966,22.71,75.0,76.55
11,11,VEDL,EQ,18-Mar-2020,75.0,78.65,72.1,73.6,75.48,30564821,2306942217.7,120299,7714855,25.24,72.95,78.0
12,12,VEDL,EQ,19-Mar-2020,72.95,73.65,67.8,69.7,70.76,31319910,2216096658.45,120150,9132539,29.16,69.35,69.45
13,13,VEDL,EQ,20-Mar-2020,69.35,78.0,70.4,76.0,72.78,29770505,2166576538.45,135347,7215481,24.24,75.45,72.4
14,14,VEDL,EQ,23-Mar-2020,75.45,71.3,61.65,63.0,65.27,22554580,1472079953.95,121239,11474564,50.87,62.65,67.95
15,15,VEDL,EQ,24-Mar-2020,62.65,68.45,62.35,63.5,64.5,30625806,1975267873.75,115223,10607939,34.64,62.8,67.5
16,16,VEDL,EQ,25-Mar-2020,62.8,65.0,62.35,64.2,63.92,29906847,1911508969.2,86458,14256358,47.67,64.2,62.7
17,17,VEDL,EQ,26-Mar-2020,64.2,69.2,63.5,65.85,66.72,29684035,1980594054.4,114668,11832393,39.86,65.8,65.6
