,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,01-Oct-2020,136.9,139.25,136.75,136.95,137.93,9343343,1288747763.85,32910,6025576,64.49,137.45,137.6
1,1,VEDL,EQ,05-Oct-2020,137.45,140.2,135.25,137.3,137.45,27447501,3772548680.3,85296,16610725,60.52,137.8,139.85
2,2,VEDL,EQ,06-Oct-2020,137.8,139.0,136.2,138.45,137.22,26883321,3688813240.45,87553,18603840,69.2,137.9,137.7
3,3,VEDL,EQ,07-Oct-2020,137.9,138.75,117.55,122.35,126.23,108110333,13647204841.2,285664,36001272,33.3,123.35,138.0
4,4,VEDL,EQ,08-Oct-2020,123.35,127.15,111.1,118.25,118.22,112029639,13244615722.85,349822,23228085,20.73,117.9,123.5
5,5,VEDL,EQ,09-Oct-2020,117.9,128.5,111.4,120.5,120.6,148375666,17893558766.45,445985,29293365,19.74,121.85,117.45
6,6,VEDL,EQ,12-Oct-2020,121.85,109.7,92.15,96.65,99.29,145053623,14402858313.1,347863,41434875,28.57,96.95,109.7
7,7,VEDL,EQ,13-Oct-2020,96.95,103.9,97.85,99.85,100.4,99094150,9949527388.4,292656,19152417,19.33,99.65,98.45
8,8,VEDL,EQ,14-Oct-2020,99.65,100.5,92.8,98.75,96.59,62243903,6012090114.75,194103,10508721,16.88,98.45,99.05
9,9,VEDL,EQ,15-Oct-2020,98.45,100.25,94.4,95.0,97.19,34924088,3394101744.1,114266,8416643,24.1,94.95,98.0
10,10,VEDL,EQ,16-Oct-2020,94.95,98.0,94.5,95.0,95.97,24332358,2335272545.95,76970,6148842,25.27,94.9,96.25
11,11,VEDL,EQ,19-Oct-2020,94.9,98.45,92.75,96.65,95.8,37395508,3582478550.55,111923,4922276,13.16,96.75,95.45
12,12,VEDL,EQ,20-Oct-2020,96.75,100.05,95.85,99.9,98.03,35725502,3502279678.65,96833,10566641,29.58,99.25,96.3
13,13,VEDL,EQ,21-Oct-2020,99.25,104.4,99.75,101.45,102.01,73030582,7450121611.55,215587,18749500,25.67,101.2,101.0
14,14,VEDL,EQ,22-Oct-2020,101.2,107.75,103.3,104.85,105.28,79746114,8395313421.8,214233,20622917,25.86,104.45,106.0
15,15,VEDL,EQ,23-Oct-2020,104.45,107.2,104.25,104.5,105.7,39426609,4167442547.75,113609,15343454,38.92,104.75,105.55
16,16,VEDL,EQ,26-Oct-2020,104.75,106.9,103.35,104.6,104.86,46768212,4904131009.65,140298,22500414,48.11,103.85,104.7
17,17,VEDL,EQ,27-Oct-2020,103.85,104.55,102.0,102.5,103.13,33623806,3467729611.75,87501,20307705,60.4,102.5,104.55
18,18,VEDL,EQ,28-Oct-2020,102.5,98.5,93.65,96.0,96.39,50491819,4867136688.5,163518,17226255,34.12,95.4,94.3
19,19,VEDL,EQ,29-Oct-2020,95.4,96.75,93.85,95.8,95.27,24381210,2322698096.1,77409,8043167,32.99,95.45,94.4
