"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","01-Jun-2020","25-Jun-2020","CE","90","5.9","8.55","5.9","6.65","6.8","6.65","472","1605.32","118.52","1589000","-612500","93.65"
"VEDL","02-Jun-2020","25-Jun-2020","CE","90","7","9.3","6.85","8.9","8.75","8.9","330","1133.15","93.65","1277500","-311500","96.9"
"VEDL","03-Jun-2020","25-Jun-2020","CE","90","9.4","13.4","8","8.4","8.85","8.4","341","1205.16","131.01","794500","-483000","-"
"VEDL","04-Jun-2020","25-Jun-2020","CE","90","10.6","15.85","9.85","15.2","14.7","15.2","175","630.09","78.84","693000","-101500","104.4"
"VEDL","05-Jun-2020","25-Jun-2020","CE","90","14.5","17","14","16.3","16.7","16.3","68","251.03","36.83","619500","-73500","-"
"VEDL","08-Jun-2020","25-Jun-2020","CE","90","16.7","21.65","14.5","16.15","15.4","16.15","128","482.76","79.56","595000","-24500","-"
"VEDL","09-Jun-2020","25-Jun-2020","CE","90","16.6","18.6","15","15","15","15","45","168.16","26.41","532000","-63000","-"
"VEDL","10-Jun-2020","25-Jun-2020","CE","90","15.5","18.6","15.5","16.65","16.6","16.65","47","176.97","28.92","441000","-91000","-"
"VEDL","11-Jun-2020","25-Jun-2020","CE","90","16.05","16.6","12.05","12.4","13","12.4","19","69.18","9.33","441000","0","-"
"VEDL","12-Jun-2020","25-Jun-2020","CE","90","10.7","14.35","10.2","13.75","13.2","13.75","26","92.4","10.5","444500","3500","-"
"VEDL","15-Jun-2020","25-Jun-2020","CE","90","14.65","14.65","12.85","13.15","13.15","13.15","11","39.84","5.19","455000","10500","-"
"VEDL","16-Jun-2020","25-Jun-2020","CE","90","15.4","16","12.5","14.5","14.5","14.5","16","58.69","8.29","444500","-10500","-"
"VEDL","17-Jun-2020","25-Jun-2020","CE","90","13.6","14.45","13","13","13","12.4","8","29.02","3.82","430500","-14000","-"
"VEDL","18-Jun-2020","25-Jun-2020","CE","90","16","17.7","15.5","17.25","17.25","17.25","12","44.78","6.98","420000","-10500","-"
"VEDL","19-Jun-2020","25-Jun-2020","CE","90","19.05","19.05","16.1","16.1","16.1","15.35","6","22.57","3.67","406000","-14000","-"
"VEDL","22-Jun-2020","25-Jun-2020","CE","90","15.5","21.5","15.5","20.5","20.5","20.1","35","133.86","23.61","336000","-70000","-"
"VEDL","23-Jun-2020","25-Jun-2020","CE","90","20.2","20.2","20.05","20.05","20.05","20","2","7.71","1.41","332500","-3500","-"
"VEDL","24-Jun-2020","25-Jun-2020","CE","90","21.2","23","18.4","18.4","18.4","19.45","20","77.29","14.29","294000","-38500","109.45"
"VEDL","25-Jun-2020","25-Jun-2020","CE","90","19.15","21.2","18.85","21.1","21","111.25","11","42.29","7.64","273000","-21000","111.25"
