,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,01-Jan-2020,152.45,155.15,151.45,154.8,153.58,14266524,2191104949.15,67844,3734478,26.18,154.6,152.8
1,1,VEDL,EQ,02-Jan-2020,154.6,159.85,155.3,159.45,157.86,17137897,2705420610.1,88006,3700905,21.59,159.45,155.3
2,2,VEDL,EQ,03-Jan-2020,159.45,160.9,156.7,157.4,158.62,12108687,1920629426.7,52394,1996014,16.48,157.75,158.4
3,3,VEDL,EQ,06-Jan-2020,157.75,157.7,150.05,150.7,153.36,11218355,1720393788.55,53420,2599202,23.17,150.55,156.9
4,4,VEDL,EQ,07-Jan-2020,150.55,156.8,152.55,156.05,155.33,24417974,3792743643.6,104963,4710731,19.29,156.0,152.8
5,5,VEDL,EQ,08-Jan-2020,156.0,158.2,152.45,156.9,155.89,18095375,2820917865.15,66403,4116481,22.75,157.35,153.25
6,6,VEDL,EQ,09-Jan-2020,157.35,160.2,157.4,158.05,158.58,11725302,1859352842.45,54557,3298864,28.13,158.15,159.4
7,7,VEDL,EQ,10-Jan-2020,158.15,163.3,157.6,159.65,161.07,20995863,3381906400.95,92376,4045202,19.27,159.95,159.5
8,8,VEDL,EQ,13-Jan-2020,159.95,161.45,158.25,160.35,160.16,9331492,1494542943.15,41829,1253599,13.43,160.45,160.5
9,9,VEDL,EQ,14-Jan-2020,160.45,166.1,161.0,165.05,164.45,19728091,3244299579.8,92637,3697220,18.74,165.0,161.4
10,10,VEDL,EQ,15-Jan-2020,165.0,165.45,161.8,164.15,163.98,11633598,1907648420.85,52909,1832623,15.75,164.65,165.0
11,11,VEDL,EQ,16-Jan-2020,164.65,163.7,160.4,162.5,161.85,11990967,1940744383.25,49793,2104389,17.55,162.25,162.9
12,12,VEDL,EQ,17-Jan-2020,162.25,162.7,159.0,159.35,160.67,9518702,1529351413.15,42760,2497054,26.23,159.5,162.7
13,13,VEDL,EQ,20-Jan-2020,159.5,159.9,156.2,157.15,157.29,7944434,1249585135.3,36352,1976444,24.88,156.9,159.35
14,14,VEDL,EQ,21-Jan-2020,156.9,158.4,153.55,154.05,155.5,10481008,1629827043.9,46124,2619852,25.0,153.9,157.0
15,15,VEDL,EQ,22-Jan-2020,153.9,158.25,152.8,153.55,155.56,15503961,2411785857.45,81461,3661641,23.62,153.2,155.85
16,16,VEDL,EQ,23-Jan-2020,153.2,155.4,152.35,154.1,154.03,12087029,1861789115.65,63288,4785385,39.59,154.15,153.6
17,17,VEDL,EQ,24-Jan-2020,154.15,157.1,153.75,155.8,155.88,8012015,1248928217.0,41537,1992658,24.87,155.9,155.0
18,18,VEDL,EQ,27-Jan-2020,155.9,153.4,148.1,148.35,150.55,13357039,2010932468.9,76627,3586024,26.85,148.85,153.4
19,19,VEDL,EQ,28-Jan-2020,148.85,147.75,141.55,142.1,144.1,22438597,3233373535.1,122737,6688181,29.81,142.2,147.75
20,20,VEDL,EQ,29-Jan-2020,142.2,145.4,141.9,142.15,143.77,12603444,1812022096.25,65583,2498922,19.83,142.2,144.45
21,21,VEDL,EQ,30-Jan-2020,142.2,143.4,139.8,140.6,141.47,15625276,2210430693.35,71238,2042089,13.07,140.95,142.15
