,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,02-Nov-2020,95.75,96.3,94.0,94.55,94.82,13078623,1240071077.05,41070,4595210,35.14,94.7,95.75
1,1,VEDL,EQ,03-Nov-2020,94.7,96.4,94.6,94.7,95.25,13952913,1329055753.9,47090,5201074,37.28,94.85,95.4
2,2,VEDL,EQ,04-Nov-2020,94.85,95.5,91.2,92.0,92.77,25617864,2376639603.05,96898,11426635,44.6,92.0,95.45
3,3,VEDL,EQ,05-Nov-2020,92.0,94.9,91.65,94.4,93.2,32411974,3020875789.8,92259,13838530,42.7,94.25,92.9
4,4,VEDL,EQ,06-Nov-2020,94.25,95.85,93.75,94.45,94.89,14623081,1387585921.4,43248,5456886,37.32,94.75,94.75
5,5,VEDL,EQ,09-Nov-2020,94.75,99.15,94.55,98.75,96.95,49168324,4766987118.65,104419,26779585,54.47,98.8,94.75
6,6,VEDL,EQ,10-Nov-2020,98.8,101.4,97.05,99.85,99.04,30426536,3013303544.5,85689,9141303,30.04,99.75,101.4
7,7,VEDL,EQ,11-Nov-2020,99.75,102.2,98.6,101.95,101.06,30289109,3060942139.4,82355,11343690,37.45,101.9,99.5
8,8,VEDL,EQ,12-Nov-2020,101.9,103.8,100.65,103.5,102.47,34565638,3542069029.8,80943,13869688,40.13,103.45,101.25
9,9,VEDL,EQ,13-Nov-2020,103.45,108.0,102.0,107.3,105.41,40034974,4220243004.45,104592,18189788,45.43,107.5,103.0
10,10,VEDL,EQ,14-Nov-2020,107.5,108.5,107.5,107.7,108.05,4239009,458034857.2,21836,2001573,47.22,108.05,108.0
11,11,VEDL,EQ,17-Nov-2020,108.05,110.0,106.05,107.2,108.2,28307482,3062958447.6,76535,10915871,38.56,107.35,108.5
12,12,VEDL,EQ,18-Nov-2020,107.35,109.8,106.3,109.0,108.28,20109037,2177408124.3,63025,5662218,28.16,108.9,107.0
13,13,VEDL,EQ,19-Nov-2020,108.9,116.85,110.3,112.4,113.82,55092960,6270657394.3,194158,12376542,22.46,112.1,110.7
14,14,VEDL,EQ,20-Nov-2020,112.1,113.3,109.5,110.95,111.12,26001384,2889220345.35,94085,7219556,27.77,111.05,112.75
15,15,VEDL,EQ,23-Nov-2020,111.05,113.6,110.75,113.1,112.33,23294257,2616697565.6,80442,9159538,39.32,113.05,112.05
16,16,VEDL,EQ,24-Nov-2020,113.05,117.2,112.8,116.4,114.98,29770286,3422859787.1,101859,12663889,42.54,115.8,113.35
17,17,VEDL,EQ,25-Nov-2020,115.8,117.9,113.4,114.0,115.35,26396518,3044892692.05,94457,9355388,35.44,114.05,117.25
18,18,VEDL,EQ,26-Nov-2020,114.05,119.1,113.2,118.6,116.73,36508712,4261797178.2,98375,14277256,39.11,118.8,114.3
