,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,01-Dec-2020,120.75,122.3,120.0,121.7,121.4,17531535,2128352465.95,62428,5594893,31.91,121.55,122.3
1,1,VEDL,EQ,02-Dec-2020,121.55,126.8,122.0,124.0,124.3,39093643,4859359917.0,129279,8992753,23.0,124.15,122.15
2,2,VEDL,EQ,03-Dec-2020,124.15,127.5,123.6,126.1,125.37,24023433,3011726617.4,97995,8045577,33.49,126.4,124.55
3,3,VEDL,EQ,04-Dec-2020,126.4,129.7,125.4,128.9,127.96,27068944,3463853835.45,87398,6869850,25.38,128.95,126.4
4,4,VEDL,EQ,07-Dec-2020,128.95,133.5,129.6,132.0,131.72,24937666,3284883533.6,87959,8047014,32.27,132.05,129.6
5,5,VEDL,EQ,08-Dec-2020,132.05,138.95,130.8,138.0,133.55,41355412,5522847268.25,108371,17339708,41.93,136.25,133.0
6,6,VEDL,EQ,09-Dec-2020,136.25,145.7,137.2,143.15,141.95,64656405,9177915841.9,194156,16960889,26.23,143.55,137.45
7,7,VEDL,EQ,10-Dec-2020,143.55,145.6,140.1,143.9,142.78,40886623,5837943317.8,119380,14475330,35.4,144.1,142.95
8,8,VEDL,EQ,11-Dec-2020,144.1,147.65,142.55,146.45,145.5,25734091,3744208122.8,77664,5900484,22.93,146.5,145.4
9,9,VEDL,EQ,14-Dec-2020,146.5,149.5,145.9,146.25,147.28,18641959,2745513650.2,71213,4961040,26.61,146.65,147.95
10,10,VEDL,EQ,15-Dec-2020,146.65,147.25,142.85,145.4,145.07,22035135,3196692239.95,75173,6044783,27.43,145.75,145.75
11,11,VEDL,EQ,16-Dec-2020,145.75,153.5,146.5,147.65,149.57,32956572,4929235109.5,108117,9092105,27.59,148.0,147.3
12,12,VEDL,EQ,17-Dec-2020,148.0,149.25,145.9,146.0,147.85,15738442,2326856286.65,49195,4700594,29.87,146.5,148.95
13,13,VEDL,EQ,18-Dec-2020,146.5,150.15,143.1,147.6,147.28,25200760,3711457197.9,89323,6728956,26.7,147.4,146.0
14,14,VEDL,EQ,21-Dec-2020,147.4,147.3,130.55,131.8,139.95,40141910,5617936006.85,136918,11117339,27.7,133.65,147.3
15,15,VEDL,EQ,22-Dec-2020,133.65,140.1,130.0,139.35,135.23,42061951,5687883411.65,117101,10813499,25.71,139.1,134.55
16,16,VEDL,EQ,23-Dec-2020,139.1,151.2,137.75,150.55,146.35,73258033,10720997937.05,195637,16984442,23.18,150.45,139.1
17,17,VEDL,EQ,24-Dec-2020,150.45,170.7,155.1,161.6,161.43,270968028,43741481032.4,437456,95559912,35.27,162.85,155.5
18,18,VEDL,EQ,28-Dec-2020,162.85,165.35,158.5,163.85,162.31,38262010,6210429068.85,132593,3817613,9.98,163.45,162.45
19,19,VEDL,EQ,29-Dec-2020,163.45,164.3,159.1,160.25,161.21,24223818,3905190016.1,89443,4750803,19.61,160.1,163.1
20,20,VEDL,EQ,30-Dec-2020,160.1,162.5,156.1,161.45,160.09,24689065,3952415357.05,98709,4845304,19.63,162.05,160.15
21,21,VEDL,EQ,31-Dec-2020,162.05,164.2,160.0,160.85,161.52,20074626,3242410463.2,70152,3557364,17.72,161.4,163.05
