"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","01-Sep-2020","24-Sep-2020","PE","130","7.4","7.7","5.35","5.8","5.95","5.8","177","1495.92","69.3","3881200","93000","-"
"VEDL","02-Sep-2020","24-Sep-2020","PE","130","5.5","6.9","5.35","6","6.3","6","289","2440.04","110.7","4662400","781200","131.1"
"VEDL","03-Sep-2020","24-Sep-2020","PE","130","8.2","8.35","6","6.95","6.8","6.95","486","4129.91","212.75","5561400","899000","-"
"VEDL","04-Sep-2020","24-Sep-2020","PE","130","8.7","8.7","6.65","7.9","7.8","7.9","110","939.25","52.65","5635800","74400","125.95"
"VEDL","07-Sep-2020","24-Sep-2020","PE","130","7.55","7.6","6.05","7.05","6.95","7.05","61","518.04","26.38","5673000","37200","-"
"VEDL","08-Sep-2020","24-Sep-2020","PE","130","7","8.55","7","8.25","8.4","8.25","96","818.69","44.93","5902400","229400","-"
"VEDL","09-Sep-2020","24-Sep-2020","PE","130","9.55","9.95","6.15","6.55","6.5","6.55","385","3267.58","164.48","6007800","105400","-"
"VEDL","10-Sep-2020","24-Sep-2020","PE","130","5.7","6.55","4.55","4.85","4.8","4.85","293","2459.88","98.3","5958200","-49600","-"
"VEDL","11-Sep-2020","24-Sep-2020","PE","130","4.9","6.2","3.8","4.1","4.45","4.1","789","6586.4","227.06","5747400","-210800","-"
"VEDL","14-Sep-2020","24-Sep-2020","PE","130","4.25","5","4.2","4.9","4.95","4.9","10","83.46","2.86","5685400","-62000","-"
"VEDL","15-Sep-2020","24-Sep-2020","PE","130","4.5","4.55","3.15","3.5","3.15","3.5","39","324.16","9.82","5443600","-241800","-"
"VEDL","16-Sep-2020","24-Sep-2020","PE","130","2.65","2.95","2","2.5","2.5","2.5","140","1149.53","21.13","4575600","-868000","-"
"VEDL","17-Sep-2020","24-Sep-2020","PE","130","1.35","1.85","1.3","1.8","1.75","1.8","6","48.91",".55","4538400","-37200","-"
"VEDL","18-Sep-2020","24-Sep-2020","PE","130","1.5","2.45","1.25","2.15","2.45","2.15","15","122.27","1.37","4445400","-93000","130.95"
"VEDL","21-Sep-2020","24-Sep-2020","PE","130","1.1","3","1.1","3","3","2.9","17","138.56","1.54","4340000","-105400","-"
"VEDL","22-Sep-2020","24-Sep-2020","PE","130","4","4.5","3.8","3.8","3.8","3.65","9","74.8","2.26","4284200","-55800","-"
"VEDL","23-Sep-2020","24-Sep-2020","PE","130","2","3.5","1.8","1.9","1.8","1.9","21","172.18","2.92","4154000","-130200","130"
"VEDL","24-Sep-2020","24-Sep-2020","PE","130","1.65","1.65","0.05","0.1","0.05","131.75","967","7824.3","30.28","2027400","-2126600","-"
