"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","02-Mar-2020","26-Mar-2020","CE","110","9.65","10.5","5.5","6.35","6.15","6.35","220","906.44","59.44","346500","56000","110.95"
"VEDL","03-Mar-2020","26-Mar-2020","CE","110","8.05","11.6","7.25","10.65","10.55","10.65","371","1544.15","115.8","287000","-59500","119.55"
"VEDL","04-Mar-2020","26-Mar-2020","CE","110","8","10.65","7.5","9.9","9.9","9.9","129","536.82","40.17","269500","-17500","119.35"
"VEDL","05-Mar-2020","26-Mar-2020","CE","110","13.25","14.3","10.35","10.75","10.8","10.75","58","247.44","24.14","280000","10500","117.1"
"VEDL","06-Mar-2020","26-Mar-2020","CE","110","6","8.1","5","6.65","6.75","6.65","419","1711.42","98.27","784000","504000","111.05"
"VEDL","09-Mar-2020","26-Mar-2020","CE","110","3.75","3.75","2.05","2.15","2.1","2.15","1911","7524.77","167.42","1802500","1018500","94.9"
"VEDL","11-Mar-2020","26-Mar-2020","CE","110","2","2.35","1.25","1.35","1.25","1.35","988","3862.89","59.09","1914500","112000","92"
"VEDL","12-Mar-2020","26-Mar-2020","CE","110","0.6","0.75","0.4","0.65","0.7","0.65","631","2442.04","12.69","1816500","-98000","79.85"
"VEDL","13-Mar-2020","26-Mar-2020","CE","110","0.5","1.65","0.35","1.4","1.5","1.4","533","2071.25","19.2","1344000","-472500","84.05"
"VEDL","16-Mar-2020","26-Mar-2020","CE","110","1.05","1.1","0.65","0.85","0.8","0.85","143","555.05","4.5","1316000","-28000","74.85"
"VEDL","17-Mar-2020","26-Mar-2020","CE","110","0.9","0.95","0.4","0.5","0.45","0.5","163","631.87","4.32","1295000","-21000","75"
"VEDL","18-Mar-2020","26-Mar-2020","CE","110","0.6","0.6","0.4","0.5","0.5","0.5","127","490.97","2.02","1162000","-133000","72.95"
"VEDL","19-Mar-2020","26-Mar-2020","CE","110","0.25","0.4","0.25","0.35","0.35","0.35","107","413.27","1.32","938000","-224000","69.35"
"VEDL","20-Mar-2020","26-Mar-2020","CE","110","0.25","0.3","0.15","0.2","0.15","0.2","81","312.56",".71","903000","-35000","75.45"
"VEDL","23-Mar-2020","26-Mar-2020","CE","110","0.15","0.3","0.05","0.2","0.2","0.2","105","404.84",".59","749000","-154000","62.65"
"VEDL","24-Mar-2020","26-Mar-2020","CE","110","0.1","0.1","0.05","0.1","0.1","0.1","15","57.8",".05","721000","-28000","62.8"
"VEDL","25-Mar-2020","26-Mar-2020","CE","110","0.05","0.1","0.05","0.05","0.05","0.05","16","61.63",".03","682500","-38500","64.2"
"VEDL","26-Mar-2020","26-Mar-2020","CE","110","0.05","0.2","0.05","0.05","0.05","65.8","53","204.18",".13","665000","-17500","65.8"
