,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,01-Jul-2020,106.4,108.8,105.95,107.8,107.7,11412484,1229178740.35,41329,3303367,28.95,107.7,106.4
1,1,VEDL,EQ,02-Jul-2020,107.7,108.65,106.0,106.75,106.89,12174342,1301371415.75,43618,4189037,34.41,106.4,108.0
2,2,VEDL,EQ,03-Jul-2020,106.4,107.75,103.65,106.1,105.7,23861877,2522275452.6,74855,7662422,32.11,106.45,106.0
3,3,VEDL,EQ,06-Jul-2020,106.45,111.6,106.25,109.55,109.72,21824302,2394524196.6,83104,6685559,30.63,110.25,107.0
4,4,VEDL,EQ,07-Jul-2020,110.25,110.6,107.3,107.65,108.6,10110445,1098001655.7,48351,3438832,34.01,107.6,110.4
5,5,VEDL,EQ,08-Jul-2020,107.6,114.25,108.0,110.5,111.16,32389985,3600313148.9,103982,8586215,26.51,110.4,108.25
6,6,VEDL,EQ,09-Jul-2020,110.4,114.45,111.25,112.6,112.98,20519184,2318188817.6,83531,4192867,20.43,112.0,111.8
7,7,VEDL,EQ,10-Jul-2020,112.0,112.7,109.15,110.4,110.43,13337632,1472841369.1,40387,3617398,27.12,110.35,111.7
8,8,VEDL,EQ,13-Jul-2020,110.35,114.2,111.1,112.4,112.72,17232333,1942457564.75,57382,4725711,27.42,112.4,111.2
9,9,VEDL,EQ,14-Jul-2020,112.4,111.45,108.15,109.5,109.48,14902786,1631489032.35,46678,5829222,39.11,108.9,111.45
10,10,VEDL,EQ,15-Jul-2020,108.9,110.65,108.35,108.85,109.25,13209067,1443056396.0,44569,4277562,32.38,109.1,108.9
11,11,VEDL,EQ,16-Jul-2020,109.1,110.7,105.8,108.85,108.17,17344902,1876122560.05,59022,3155960,18.2,108.9,109.3
12,12,VEDL,EQ,17-Jul-2020,108.9,111.1,108.1,109.6,109.56,9373147,1026929908.1,42103,1554461,16.58,109.15,109.4
13,13,VEDL,EQ,20-Jul-2020,109.15,110.4,107.65,108.5,108.77,7764391,844525556.7,38895,1845122,23.76,108.1,109.35
14,14,VEDL,EQ,21-Jul-2020,108.1,111.4,107.65,110.55,109.55,20567059,2253184480.05,59893,9149991,44.49,110.8,109.4
15,15,VEDL,EQ,22-Jul-2020,110.8,117.9,109.7,112.0,114.23,50580592,5778050121.45,191255,7954309,15.73,112.1,111.4
16,16,VEDL,EQ,23-Jul-2020,112.1,115.1,111.9,113.75,113.44,13751638,1559933335.4,55742,3182195,23.14,113.95,112.8
17,17,VEDL,EQ,24-Jul-2020,113.95,113.8,109.75,112.35,111.77,17540824,1960601824.1,66809,6448890,36.77,112.05,113.0
18,18,VEDL,EQ,27-Jul-2020,112.05,113.25,109.3,110.05,110.66,10527043,1164971371.15,37190,3339906,31.73,109.85,112.55
19,19,VEDL,EQ,28-Jul-2020,109.85,111.9,109.7,110.65,110.6,12008751,1328165821.6,50185,4429016,36.88,110.85,110.4
20,20,VEDL,EQ,29-Jul-2020,110.85,113.25,109.45,109.8,111.52,13066971,1457282509.9,48720,3059630,23.41,110.0,110.8
21,21,VEDL,EQ,30-Jul-2020,110.0,113.45,108.8,111.95,110.85,90692980,10052952669.95,106569,55759659,61.48,110.9,110.45
