,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,01-Feb-2020,137.9,139.0,133.5,134.35,136.58,15204251,2076607339.3,74198,3458060,22.74,134.9,138.75
1,1,VEDL,EQ,03-Feb-2020,134.9,136.8,132.85,134.5,134.48,13658383,1836844457.75,66261,2547178,18.65,134.15,134.35
2,2,VEDL,EQ,04-Feb-2020,134.15,138.9,134.8,138.4,137.37,11370911,1562055904.95,54605,2165753,19.05,138.55,135.9
3,3,VEDL,EQ,05-Feb-2020,138.55,143.9,137.6,143.7,140.52,17304767,2431610605.35,72721,4272597,24.69,143.1,139.3
4,4,VEDL,EQ,06-Feb-2020,143.1,146.8,142.7,143.7,144.79,15736536,2278467446.6,69080,2563201,16.29,143.85,144.85
5,5,VEDL,EQ,07-Feb-2020,143.85,145.3,141.75,144.25,144.29,9671106,1395400229.5,35383,1997601,20.66,144.6,143.85
6,6,VEDL,EQ,10-Feb-2020,144.6,143.7,139.55,140.6,140.63,10029897,1410472436.9,45696,2031476,20.25,140.3,143.7
7,7,VEDL,EQ,11-Feb-2020,140.3,143.6,140.2,140.95,142.13,9087616,1291646110.3,38229,1882873,20.72,140.75,141.65
8,8,VEDL,EQ,12-Feb-2020,140.75,143.9,141.15,142.0,142.34,9280214,1320906854.9,46946,2003947,21.59,141.55,142.0
9,9,VEDL,EQ,13-Feb-2020,141.55,143.35,140.3,142.5,141.96,6820884,968314543.3,33228,1082341,15.87,142.5,142.35
10,10,VEDL,EQ,14-Feb-2020,142.5,143.9,140.75,141.0,142.35,6336170,901930278.25,30921,1044056,16.48,141.1,142.7
11,11,VEDL,EQ,17-Feb-2020,141.1,143.8,140.8,142.3,142.45,8475514,1207365318.65,41891,1942075,22.91,142.1,141.3
12,12,VEDL,EQ,18-Feb-2020,142.1,141.75,137.5,140.7,139.25,13205238,1838892593.45,67595,4373340,33.12,140.55,141.75
13,13,VEDL,EQ,19-Feb-2020,140.55,144.2,141.6,142.45,142.87,8824394,1260730353.65,37962,2332170,26.43,142.65,142.0
14,14,VEDL,EQ,20-Feb-2020,142.65,144.75,140.8,142.6,143.0,11236035,1606806801.15,42130,4587887,40.83,142.35,141.8
15,15,VEDL,EQ,24-Feb-2020,142.35,139.95,132.3,133.15,135.85,22666897,3079294506.95,108574,9385790,41.41,133.2,139.85
16,16,VEDL,EQ,25-Feb-2020,133.2,135.9,132.05,133.2,133.64,14590593,1949844497.45,74110,4293211,29.42,132.7,134.4
17,17,VEDL,EQ,26-Feb-2020,132.7,133.7,129.35,130.15,131.69,14605029,1923378358.55,64565,4624185,31.66,130.25,131.0
18,18,VEDL,EQ,27-Feb-2020,130.25,131.4,126.4,130.2,128.99,15600307,2012292139.7,72698,5355597,34.33,130.55,130.0
