,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,04-May-2020,89.55,83.7,77.4,80.2,80.87,33175416,2682744654.3,149422,10937189,32.97,79.95,82.65
1,1,VEDL,EQ,05-May-2020,79.95,83.2,78.5,79.05,80.83,29105785,2352696449.55,106141,5376849,18.47,78.9,81.8
2,2,VEDL,EQ,06-May-2020,78.9,80.9,77.95,79.3,79.66,20997197,1672557935.45,70335,3239275,15.43,79.45,79.7
3,3,VEDL,EQ,07-May-2020,79.45,80.6,78.05,78.8,79.21,15605038,1236143146.05,58156,2701394,17.31,78.55,78.9
4,4,VEDL,EQ,08-May-2020,78.55,80.8,77.05,77.4,78.77,15998934,1260292442.7,62625,3774868,23.59,77.4,80.6
5,5,VEDL,EQ,11-May-2020,77.4,80.5,78.0,80.35,79.35,33344596,2645834649.35,98708,13334297,39.99,79.6,78.85
6,6,VEDL,EQ,12-May-2020,79.6,90.5,79.05,89.5,85.13,112770254,9600205584.05,323785,18964439,16.82,89.05,79.45
7,7,VEDL,EQ,13-May-2020,89.05,97.95,88.5,90.1,91.57,145841554,13354004569.3,430280,29449377,20.19,90.25,97.95
8,8,VEDL,EQ,14-May-2020,90.25,91.8,87.75,89.2,89.9,38572778,3467527176.45,123277,6698129,17.36,89.15,88.4
9,9,VEDL,EQ,15-May-2020,89.15,95.55,88.2,92.6,92.48,75496782,6981910632.2,225249,9827779,13.02,92.95,90.0
10,10,VEDL,EQ,18-May-2020,92.95,95.65,90.1,92.45,93.4,88008676,8220144867.55,263816,16407723,18.64,92.5,93.95
11,11,VEDL,EQ,19-May-2020,92.5,93.8,89.55,90.05,91.22,36133110,3296014759.75,111226,8424770,23.32,90.0,93.25
12,12,VEDL,EQ,20-May-2020,90.0,90.55,88.25,88.55,89.04,21380770,1903846242.6,78459,7167309,33.52,88.55,90.05
13,13,VEDL,EQ,21-May-2020,88.55,91.75,88.15,90.2,89.94,31501740,2833367835.1,112629,6926852,21.99,90.2,89.0
14,14,VEDL,EQ,22-May-2020,90.2,90.4,88.6,89.0,89.23,15805466,1410360060.4,67856,3890453,24.61,89.1,90.0
15,15,VEDL,EQ,26-May-2020,89.1,90.25,87.55,87.85,88.85,17958373,1595684420.0,58576,5692053,31.7,87.9,89.5
16,16,VEDL,EQ,27-May-2020,87.9,88.95,86.25,87.95,87.74,17368769,1523906555.2,60588,4652813,26.79,87.9,88.5
17,17,VEDL,EQ,28-May-2020,87.9,90.95,88.05,90.15,89.59,22037867,1974391720.45,80171,7081149,32.13,89.95,88.9
