,Unnamed: 0,Symbol,Series,Date,Prev Close,High Price,Low Price,Last Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,VEDL,EQ,01-Jun-2020,92.2,97.05,92.75,93.75,94.95,23682719,2248600132.55,113889,7810700,32.98,93.65,93.3
1,1,VEDL,EQ,02-Jun-2020,93.65,97.25,93.35,96.55,95.78,22601994,2164927369.0,92270,4958437,21.94,96.9,94.5
2,2,VEDL,EQ,03-Jun-2020,96.9,102.5,95.9,97.35,99.21,37933329,3763429068.8,138069,7757075,20.45,96.7,97.5
3,3,VEDL,EQ,04-Jun-2020,96.7,105.2,96.1,104.15,101.73,55983342,5695102972.4,192343,13590273,24.28,104.4,96.95
4,4,VEDL,EQ,05-Jun-2020,104.4,106.25,102.9,105.5,104.33,33224183,3466212612.45,126724,6793754,20.45,105.3,105.1
5,5,VEDL,EQ,08-Jun-2020,105.3,111.15,102.0,105.1,106.79,54422398,5811552329.3,199021,8670269,15.93,105.1,102.0
6,6,VEDL,EQ,09-Jun-2020,105.1,108.25,103.7,104.2,105.81,23311112,2466548576.5,96394,3876752,16.63,104.6,105.1
7,7,VEDL,EQ,10-Jun-2020,104.6,108.75,104.3,106.35,106.85,29455782,3147419695.0,125410,5659676,19.21,106.1,104.6
8,8,VEDL,EQ,11-Jun-2020,106.1,106.7,100.0,102.6,103.76,21080028,2187222894.6,96831,8015184,38.02,101.05,104.9
9,9,VEDL,EQ,12-Jun-2020,101.05,103.95,96.9,102.5,101.96,33223448,3387511138.9,124274,7287334,21.93,103.3,96.9
10,10,VEDL,EQ,15-Jun-2020,103.3,105.3,101.5,102.4,103.17,20562556,2121400773.25,89137,3969523,19.3,102.4,104.0
11,11,VEDL,EQ,16-Jun-2020,102.4,105.9,101.65,103.95,104.09,22657943,2358557570.0,76290,5450730,24.06,103.85,105.0
12,12,VEDL,EQ,17-Jun-2020,103.85,104.15,101.8,102.15,102.96,11401300,1173835407.55,44371,3028391,26.56,102.1,103.8
13,13,VEDL,EQ,18-Jun-2020,102.1,107.8,102.0,106.9,105.84,27586795,2919870222.35,97625,6224332,22.56,107.0,102.8
14,14,VEDL,EQ,19-Jun-2020,107.0,109.4,104.45,105.65,106.27,33760231,3587613346.75,105942,12889747,38.18,105.25,108.45
15,15,VEDL,EQ,22-Jun-2020,105.25,111.7,104.75,110.0,108.49,27109192,2940950208.7,108419,6143309,22.66,110.05,105.35
16,16,VEDL,EQ,23-Jun-2020,110.05,111.9,109.05,109.9,110.33,20720200,2286160929.8,83731,2621178,25.45,110.0,110.05
17,17,VEDL,EQ,24-Jun-2020,110.0,113.5,107.6,110.0,110.58,28610666,3163801262.85,110287,8159365,28.52,109.45,111.0
18,18,VEDL,EQ,25-Jun-2020,109.45,112.25,108.0,110.95,110.34,26667328,2942563298.45,91679,6467563,24.25,111.25,108.95
