"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AMBUJACEM","02-Nov-2020","26-Nov-2020","PE","260","9.75","10.65","8.1","8.6","8.5","8.6","150","1214.02","44.02","177000","21000","-"
"AMBUJACEM","03-Nov-2020","26-Nov-2020","PE","260","9.9","10.2","7.4","7.8","7.8","7.8","143","1151.82","36.42","234000","57000","262"
"AMBUJACEM","04-Nov-2020","26-Nov-2020","PE","260","8.5","8.5","6.4","6.7","6.75","6.7","187","1499.49","40.89","435000","201000","-"
"AMBUJACEM","06-Nov-2020","26-Nov-2020","PE","260","0","0","0","13.05","0","15.75","0","0","0","0","0","-"
"AMBUJACEM","09-Nov-2020","26-Nov-2020","PE","260","0","0","0","13.05","0","14.3","0","0","0","0","0","-"
"AMBUJACEM","10-Nov-2020","26-Nov-2020","PE","260","0","0","0","13.05","0","13.7","0","0","0","0","0","-"
"AMBUJACEM","11-Nov-2020","26-Nov-2020","PE","260","10.05","10.05","6.75","7.05","7","7.05","31","248.84","7.04","48000","48000","259.7"
"AMBUJACEM","12-Nov-2020","26-Nov-2020","PE","260","7.55","7.8","5.05","5.3","5.25","5.3","126","1007.31","24.51","204000","156000","-"
"AMBUJACEM","13-Nov-2020","26-Nov-2020","PE","260","5.5","8.3","5.5","6.9","7.15","6.9","129","1033.39","27.19","186000","-18000","257.7"
"AMBUJACEM","14-Nov-2020","26-Nov-2020","PE","260","6.45","6.5","5.8","6.5","6.5","6.5","4","31.96",".76","195000","9000","259"
"AMBUJACEM","17-Nov-2020","26-Nov-2020","PE","260","3.75","4","2.05","2.7","2.9","2.7","527","4152.7","42.1","327000","132000","268.05"
"AMBUJACEM","18-Nov-2020","26-Nov-2020","PE","260","2.9","5","2.8","4.65","4.6","4.65","304","2408.6","37.4","288000","-39000","262"
"AMBUJACEM","19-Nov-2020","26-Nov-2020","PE","260","5.8","7.1","2.7","5.9","5.85","5.9","397","3153.91","57.31","324000","36000","-"
"AMBUJACEM","20-Nov-2020","26-Nov-2020","PE","260","5.35","8","4.65","5.65","5.35","5.65","183","1461.81","34.41","273000","-51000","-"
"AMBUJACEM","23-Nov-2020","26-Nov-2020","PE","260","4","5.15","3.05","4.9","4.65","4.9","207","1639.29","24.69","273000","0","-"
"AMBUJACEM","24-Nov-2020","26-Nov-2020","PE","260","6.15","7.15","3.8","6.05","6","6.05","75","596.64","11.64","246000","-27000","-"
"AMBUJACEM","25-Nov-2020","26-Nov-2020","PE","260","4.3","5.5","3","4.4","4.25","4.4","43","341.06","5.66","183000","-63000","-"
"AMBUJACEM","26-Nov-2020","26-Nov-2020","PE","260","3","5.85","0.5","1.1","0.5","260.75","68","535.26","4.86","162000","-21000","-"
