Date,Expiry,Strike,Returns,OV,OV-Mean,Ratio
04-Dec-2020,31-Dec-2020,260,2.0,-28.330985915492914,4.924906557934101,-5.752593593852305
24-Dec-2020,31-Dec-2020,260,-9.67741935483871,-54.76470588235299,-197.29468599033817,0.27757821052025144
28-Dec-2020,31-Dec-2020,260,9.589041095890414,-32.00000000000003,-144.2452401250356,0.22184440867692815
