,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,AMBUJACEM,EQ,01-Apr-2020,155.7,155.4,158.4,150.7,158.2,156.65,154.61,2690175,415933322.4,28992,1092990,40.63,156.65,155.4
1,1,1,1,1,AMBUJACEM,EQ,03-Apr-2020,156.65,156.6,156.65,151.55,152.4,153.0,153.8,3738943,575038929.1,47048,1775551,47.49,153.0,156.6
2,2,2,2,2,AMBUJACEM,EQ,07-Apr-2020,153.0,154.0,160.5,153.5,158.9,159.0,157.47,6642891,1046055541.3,81347,3601899,54.22,159.0,154.0
3,3,3,3,3,AMBUJACEM,EQ,08-Apr-2020,159.0,158.5,159.5,148.2,149.55,149.7,153.3,10421438,1597618497.75,84074,3932099,37.73,149.7,158.5
4,4,4,4,4,AMBUJACEM,EQ,09-Apr-2020,149.7,151.2,160.6,150.75,158.75,158.8,156.62,8828432,1382714384.8,128653,4029636,45.64,158.8,151.2
5,5,5,5,5,AMBUJACEM,EQ,13-Apr-2020,158.8,158.95,172.35,157.25,165.75,165.0,164.87,12551506,2069411598.3,96135,5000214,39.84,165.0,158.95
6,6,6,6,6,AMBUJACEM,EQ,15-Apr-2020,165.0,167.1,173.95,167.1,168.95,168.55,170.61,9909062,1690543385.25,112182,4365143,44.05,168.55,167.1
7,7,7,7,7,AMBUJACEM,EQ,16-Apr-2020,168.55,167.1,174.65,163.85,170.55,169.7,170.43,6792496,1157637223.5,54768,2197518,32.35,169.7,167.1
8,8,8,8,8,AMBUJACEM,EQ,17-Apr-2020,169.7,174.0,175.5,169.4,172.45,172.95,172.7,3706603,640116939.9,53998,1398349,37.73,172.95,174.0
9,9,9,9,9,AMBUJACEM,EQ,20-Apr-2020,172.95,175.9,175.9,169.95,170.75,170.3,172.06,2682037,461464620.0,39190,1018970,37.99,170.3,175.9
10,10,10,10,10,AMBUJACEM,EQ,21-Apr-2020,170.3,167.75,169.45,164.1,167.0,167.55,167.51,2369603,396936948.5,24669,1083628,45.73,167.55,167.75
11,11,11,11,11,AMBUJACEM,EQ,22-Apr-2020,167.55,167.4,177.7,166.35,177.3,176.5,172.06,5333081,917624050.0,41565,1752535,32.86,176.5,167.4
12,12,12,12,12,AMBUJACEM,EQ,23-Apr-2020,176.5,178.5,179.5,170.4,172.25,171.45,174.3,4629630,806949687.4,38673,1631543,35.24,171.45,178.5
13,13,13,13,13,AMBUJACEM,EQ,24-Apr-2020,171.45,169.9,171.6,166.2,167.95,167.95,168.88,2729060,460884663.5,34544,1113917,40.82,167.95,169.9
14,14,14,14,14,AMBUJACEM,EQ,27-Apr-2020,167.95,170.4,174.0,168.6,172.5,172.3,171.96,4140719,712021418.9,44562,1534716,37.06,172.3,170.4
15,15,15,15,15,AMBUJACEM,EQ,28-Apr-2020,172.3,179.0,179.0,166.85,167.4,167.7,172.57,13325718,2299645718.0,85543,3724113,27.95,167.7,179.0
16,16,16,16,16,AMBUJACEM,EQ,29-Apr-2020,167.7,166.9,170.75,165.65,169.05,169.5,169.35,3900474,660546790.2,39779,1364010,34.97,169.5,166.9
17,17,17,17,17,AMBUJACEM,EQ,30-Apr-2020,169.5,171.2,174.85,170.55,172.0,171.65,172.83,4691798,810905439.0,42385,1631854,34.78,171.65,171.2
