"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AMBUJACEM","01-Apr-2020","30-Apr-2020","PE","150","0","0","0","9.6","9.6","7.8","0","0","0","5000","0","156.65"
"AMBUJACEM","03-Apr-2020","30-Apr-2020","PE","150","7.35","10","7.35","10","10","10","4","15.82",".82","10000","5000","153"
"AMBUJACEM","07-Apr-2020","30-Apr-2020","PE","150","7.75","8","4.5","4.85","4.75","4.85","28","109.2","4.2","40000","30000","159"
"AMBUJACEM","08-Apr-2020","30-Apr-2020","PE","150","5.5","11.5","5.2","10.45","10.45","10.45","93","368.83","20.08","35000","-5000","149.7"
"AMBUJACEM","09-Apr-2020","30-Apr-2020","PE","150","10.4","10.4","6.05","6.55","6.75","6.55","54","213.48","10.98","67500","32500","158.8"
"AMBUJACEM","13-Apr-2020","30-Apr-2020","PE","150","5.5","6.5","4.35","5.45","5.25","5.45","86","333.6","11.1","102500","35000","165"
"AMBUJACEM","15-Apr-2020","30-Apr-2020","PE","150","3.85","3.95","2.9","3.45","3.45","3.45","67","256.84","5.59","125000","22500","168.55"
"AMBUJACEM","16-Apr-2020","30-Apr-2020","PE","150","4","4","2.45","2.85","2.8","2.85","47","180.18","3.93","132500","7500","169.7"
"AMBUJACEM","17-Apr-2020","30-Apr-2020","PE","150","2.5","2.5","1.7","1.95","1.95","1.95","14","53.19",".69","125000","-7500","172.95"
"AMBUJACEM","20-Apr-2020","30-Apr-2020","PE","150","1.95","2.5","1.9","2.45","2.45","0.75","7","26.63",".38","117500","-7500","170.3"
"AMBUJACEM","21-Apr-2020","30-Apr-2020","PE","150","2.7","3.25","2","2.3","2.45","2.3","47","178.98","2.73","140000","22500","167.55"
"AMBUJACEM","22-Apr-2020","30-Apr-2020","PE","150","2.05","2.05","1.05","1.1","1.4","1.1","44","166.78","1.78","145000","5000","176.5"
"AMBUJACEM","23-Apr-2020","30-Apr-2020","PE","150","1.1","1.1","0.8","0.9","0.9","0.9","19","71.68",".43","152500","7500","171.45"
"AMBUJACEM","24-Apr-2020","30-Apr-2020","PE","150","1.15","1.15","0.6","0.9","0.95","0.9","35","131.99",".74","177500","25000","167.95"
"AMBUJACEM","27-Apr-2020","30-Apr-2020","PE","150","0.35","0.95","0.35","0.45","0.35","0.45","64","240.91",".91","195000","17500","172.3"
"AMBUJACEM","28-Apr-2020","30-Apr-2020","PE","150","0.6","1","0.1","0.2","0.2","0.2","44","165.22",".22","140000","-55000","167.7"
"AMBUJACEM","29-Apr-2020","30-Apr-2020","PE","150","0.2","0.2","0.05","0.1","0.1","0.1","16","60.06",".06","132500","-7500","169.5"
"AMBUJACEM","30-Apr-2020","30-Apr-2020","PE","150","0.05","0.05","0.05","0.05","0.05","171.65","13","48.77",".02","137500","5000","-"
