"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AMBUJACEM","01-Apr-2020","30-Apr-2020","CE","150","9.1","14.75","9.1","14.15","14","14.15","10","40.61","3.11","25000","-10000","156.65"
"AMBUJACEM","03-Apr-2020","30-Apr-2020","CE","150","13","13","9.8","9.9","9.8","9.9","26","104.59","7.09","62500","37500","153"
"AMBUJACEM","07-Apr-2020","30-Apr-2020","CE","150","12.2","15.65","12.2","14.75","14.35","14.75","23","94.29","8.04","60000","-2500","159"
"AMBUJACEM","08-Apr-2020","30-Apr-2020","CE","150","14.5","14.5","10.5","11.05","11.15","11.05","39","157.69","11.44","67500","7500","149.7"
"AMBUJACEM","09-Apr-2020","30-Apr-2020","CE","150","10.95","16.05","10.5","16.05","16.05","16.05","54","219.97","17.47","77500","10000","158.8"
"AMBUJACEM","13-Apr-2020","30-Apr-2020","CE","150","16","29.4","16","22.05","22.05","22.05","15","64.47","8.22","82500","5000","165"
"AMBUJACEM","15-Apr-2020","30-Apr-2020","CE","150","26.3","27","22.6","22.7","22.65","22.7","7","30.57","4.32","82500","0","168.55"
"AMBUJACEM","16-Apr-2020","30-Apr-2020","CE","150","23","24.5","23","23.1","23.1","23.1","4","17.38","2.38","75000","-7500","169.7"
"AMBUJACEM","17-Apr-2020","30-Apr-2020","CE","150","25.05","25.05","25.05","25.05","25.05","25.05","1","4.38",".63","72500","-2500","172.95"
"AMBUJACEM","20-Apr-2020","30-Apr-2020","CE","150","25","25","22.55","22.55","22.55","22.55","5","21.77","3.02","60000","-12500","170.3"
"AMBUJACEM","21-Apr-2020","30-Apr-2020","CE","150","20.3","21.5","20.15","21.25","21.25","18.55","18","76.76","9.26","42500","-17500","167.55"
"AMBUJACEM","22-Apr-2020","30-Apr-2020","CE","150","23.3","23.3","20.85","20.85","20.85","26.85","3","12.89","1.64","42500","0","176.5"
"AMBUJACEM","23-Apr-2020","30-Apr-2020","CE","150","25","25.75","25","25.75","25.75","21.9","2","8.77","1.27","42500","0","171.45"
"AMBUJACEM","24-Apr-2020","30-Apr-2020","CE","150","21.5","21.5","18.95","18.95","18.95","18.4","2","8.51","1.01","42500","0","167.95"
"AMBUJACEM","27-Apr-2020","30-Apr-2020","CE","150","0","0","0","18.95","18.95","22.35","0","0","0","42500","0","172.3"
"AMBUJACEM","28-Apr-2020","30-Apr-2020","CE","150","22.35","22.5","22.35","22.5","22.5","17.75","3","12.93","1.68","40000","-2500","167.7"
"AMBUJACEM","29-Apr-2020","30-Apr-2020","CE","150","19.45","19.45","19.45","19.45","19.45","19.5","1","4.24",".49","37500","-2500","169.5"
"AMBUJACEM","30-Apr-2020","30-Apr-2020","CE","150","0","0","0","19.45","19.45","171.65","0","0","0","37500","0","-"
