,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,AMBUJACEM,EQ,01-Feb-2020,204.5,204.1,207.75,194.0,195.35,195.35,199.88,3301796,659967698.35,25845,1041198,31.53,195.35,204.1
1,1,1,1,1,AMBUJACEM,EQ,03-Feb-2020,195.35,196.05,202.45,196.05,201.15,200.75,199.94,4031740,806120847.9,30424,1565010,38.82,200.75,196.05
2,2,2,2,2,AMBUJACEM,EQ,04-Feb-2020,200.75,202.8,210.0,202.45,207.85,206.8,205.96,3761981,774810401.35,28428,1899878,50.5,206.8,202.8
3,3,3,3,3,AMBUJACEM,EQ,05-Feb-2020,206.8,206.9,208.75,205.2,207.5,206.4,207.05,4000586,828324336.3,19840,2257911,56.44,206.4,206.9
4,4,4,4,4,AMBUJACEM,EQ,06-Feb-2020,206.4,207.25,209.25,204.55,206.95,207.5,207.08,3569538,739172350.7,19303,1949825,54.62,207.5,207.25
5,5,5,5,5,AMBUJACEM,EQ,07-Feb-2020,207.5,207.6,212.0,207.15,210.35,209.8,210.11,1957283,411252663.1,20083,354169,18.09,209.8,207.6
6,6,6,6,6,AMBUJACEM,EQ,10-Feb-2020,209.8,209.8,210.8,206.15,207.8,207.1,207.62,1734578,360128728.65,16148,468924,27.03,207.1,209.8
7,7,7,7,7,AMBUJACEM,EQ,11-Feb-2020,207.1,208.1,213.45,208.0,211.25,212.0,211.63,4444457,940600037.3,30814,2575937,57.96,212.0,208.1
8,8,8,8,8,AMBUJACEM,EQ,12-Feb-2020,212.0,212.0,214.0,210.25,211.2,211.4,212.16,3036372,644209586.45,18975,1747618,57.56,211.4,212.0
9,9,9,9,9,AMBUJACEM,EQ,13-Feb-2020,211.4,210.6,211.45,207.9,208.8,208.55,209.38,1177002,246440325.9,10065,506340,43.02,208.55,210.6
10,10,10,10,10,AMBUJACEM,EQ,14-Feb-2020,208.55,208.4,212.25,205.0,205.25,205.65,208.22,3183445,662851333.6,28279,1694147,53.22,205.65,208.4
11,11,11,11,11,AMBUJACEM,EQ,17-Feb-2020,205.65,205.35,206.35,202.3,203.85,203.8,204.53,1397181,285768939.35,13465,513861,36.78,203.8,205.35
12,12,12,12,12,AMBUJACEM,EQ,18-Feb-2020,203.8,203.25,203.6,197.75,201.0,200.85,200.46,4007197,803281158.95,16801,2642705,65.95,200.85,203.25
13,13,13,13,13,AMBUJACEM,EQ,19-Feb-2020,200.85,202.25,206.4,201.7,205.1,205.8,204.03,1630613,332698527.7,14219,804600,49.34,205.8,202.25
14,14,14,14,14,AMBUJACEM,EQ,20-Feb-2020,205.8,204.95,210.25,200.1,206.2,205.4,207.18,3826080,792705116.2,28420,994158,25.98,205.4,204.95
15,15,15,15,15,AMBUJACEM,EQ,24-Feb-2020,205.4,206.85,212.7,202.0,209.35,209.9,209.58,7946307,1665410168.5,67085,3506211,44.12,209.9,206.85
16,16,16,16,16,AMBUJACEM,EQ,25-Feb-2020,209.9,211.0,214.0,209.3,211.8,211.6,211.69,6147428,1301341868.95,38191,3702299,60.23,211.6,211.0
17,17,17,17,17,AMBUJACEM,EQ,26-Feb-2020,211.6,211.9,216.05,210.05,213.4,213.6,213.85,6034979,1290597732.95,54065,2586591,42.86,213.6,211.9
18,18,18,18,18,AMBUJACEM,EQ,27-Feb-2020,213.6,213.6,215.15,210.5,211.35,211.6,212.72,3753324,798416245.75,44286,1489653,39.69,211.6,213.6
