"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AMBUJACEM","01-Sep-2020","24-Sep-2020","CE","210","9.85","11.45","7.7","11","11.15","11","59","388.64","16.94","51000","12000","-"
"AMBUJACEM","02-Sep-2020","24-Sep-2020","CE","210","10","13","10","12.55","12.55","12.55","82","546.06","29.46","72000","21000","217.25"
"AMBUJACEM","03-Sep-2020","24-Sep-2020","CE","210","12","12","10.45","10.55","10.55","10.55","10","66.33","3.33","72000","0","-"
"AMBUJACEM","04-Sep-2020","24-Sep-2020","CE","210","8.9","9.55","7.45","7.85","7.8","7.85","43","281.76","10.86","93000","21000","208.5"
"AMBUJACEM","07-Sep-2020","24-Sep-2020","CE","210","7.8","8.8","6.5","7.95","8.15","7.95","91","594.5","21.2","129000","36000","-"
"AMBUJACEM","08-Sep-2020","24-Sep-2020","CE","210","7","7.15","5","5.15","5","5.15","80","518.66","14.66","174000","45000","-"
"AMBUJACEM","09-Sep-2020","24-Sep-2020","CE","210","5.2","6.65","4.65","6.25","6.4","6.25","477","3091.51","86.41","342000","168000","-"
"AMBUJACEM","10-Sep-2020","24-Sep-2020","CE","210","6.75","8.8","4.85","7.9","8.8","7.9","244","1586.27","49.07","300000","-42000","-"
"AMBUJACEM","11-Sep-2020","24-Sep-2020","CE","210","7.55","8.65","7.35","7.8","7.55","7.8","333","2177.62","79.72","438000","138000","-"
"AMBUJACEM","14-Sep-2020","24-Sep-2020","CE","210","8.8","9.95","5.85","6.5","5.95","6.5","238","1558.16","58.76","300000","-138000","-"
"AMBUJACEM","15-Sep-2020","24-Sep-2020","CE","210","6.65","10.25","6.65","9.85","9.75","9.85","174","1141.3","45.1","228000","-72000","-"
"AMBUJACEM","16-Sep-2020","24-Sep-2020","CE","210","10.5","12.1","9.3","11.1","11.1","11.1","55","364.26","17.76","216000","-12000","-"
"AMBUJACEM","17-Sep-2020","24-Sep-2020","CE","210","11.85","13.15","11.7","12","12","11.35","16","106.81","6.01","207000","-9000","-"
"AMBUJACEM","18-Sep-2020","24-Sep-2020","CE","210","12.6","12.65","9","11.4","11.65","11.4","19","126.19","6.49","216000","9000","220"
"AMBUJACEM","21-Sep-2020","24-Sep-2020","CE","210","9.85","9.85","2.65","2.85","2.7","2.85","51","330.14","8.84","189000","-27000","-"
"AMBUJACEM","22-Sep-2020","24-Sep-2020","CE","210","2.2","3.8","1.1","2.1","1.1","2.1","278","1769.78","18.38","261000","72000","-"
"AMBUJACEM","23-Sep-2020","24-Sep-2020","CE","210","1.2","2.7","0.7","1.45","2.1","1.45","202","1282.07","9.47","198000","-63000","209.25"
"AMBUJACEM","24-Sep-2020","24-Sep-2020","CE","210","1.6","1.65","0.05","0.05","0.05","198.25","97","611.95",".85","186000","-12000","-"
