,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,AMBUJACEM,EQ,01-Oct-2020,217.0,218.5,221.95,217.55,221.45,221.2,220.32,3358699,740002342.3,31667,690277,20.55,221.2,218.5
1,1,1,1,1,AMBUJACEM,EQ,05-Oct-2020,221.2,221.2,224.2,219.45,221.7,221.35,221.39,3259420,721604111.2,33828,705398,21.64,221.35,221.2
2,2,2,2,2,AMBUJACEM,EQ,06-Oct-2020,221.35,222.95,227.75,220.1,227.7,225.3,223.04,4929361,1099439775.65,66393,1963760,39.84,225.3,222.95
3,3,3,3,3,AMBUJACEM,EQ,07-Oct-2020,225.3,226.0,237.75,225.0,235.0,234.8,233.77,16914960,3954228000.2,126279,5185276,30.65,234.8,226.0
4,4,4,4,4,AMBUJACEM,EQ,08-Oct-2020,234.8,234.8,239.95,231.4,237.6,238.15,235.51,8142299,1917615031.0,60297,2309107,28.36,238.15,234.8
5,5,5,5,5,AMBUJACEM,EQ,09-Oct-2020,238.15,236.55,240.55,235.0,238.75,239.35,237.51,6602985,1568250214.85,47148,2410969,36.51,239.35,236.55
6,6,6,6,6,AMBUJACEM,EQ,12-Oct-2020,239.35,238.0,242.35,233.2,238.5,238.4,238.2,6441943,1534495400.0,44894,1805054,28.02,238.4,238.0
7,7,7,7,7,AMBUJACEM,EQ,13-Oct-2020,238.4,237.0,249.35,236.8,241.9,241.75,244.63,16150051,3950788859.6,103182,5359932,33.19,241.75,237.0
8,8,8,8,8,AMBUJACEM,EQ,14-Oct-2020,241.75,241.95,248.0,240.15,248.0,246.6,244.45,10384793,2538557280.3,57060,3655242,35.2,246.6,241.95
9,9,9,9,9,AMBUJACEM,EQ,15-Oct-2020,246.6,248.0,250.0,240.8,241.85,243.35,245.52,8031726,1971918690.55,68185,2733259,34.03,243.35,248.0
10,10,10,10,10,AMBUJACEM,EQ,16-Oct-2020,243.35,243.3,249.0,240.15,247.65,248.0,245.32,12591434,3088908130.0,67208,5060273,40.19,248.0,243.3
11,11,11,11,11,AMBUJACEM,EQ,19-Oct-2020,248.0,249.2,249.7,243.4,247.15,247.6,245.76,10969208,2695802248.6,48494,4509609,41.11,247.6,249.2
12,12,12,12,12,AMBUJACEM,EQ,20-Oct-2020,247.6,249.9,254.9,247.05,251.75,251.45,251.27,20195023,5074471807.75,139573,5969124,29.56,251.45,249.9
13,13,13,13,13,AMBUJACEM,EQ,21-Oct-2020,251.45,251.9,254.3,245.95,253.5,253.35,251.12,9478126,2380142281.95,56247,2687464,28.35,253.35,251.9
14,14,14,14,14,AMBUJACEM,EQ,22-Oct-2020,253.35,253.0,255.6,249.5,254.5,253.6,252.76,11569824,2924393364.35,74815,3458985,29.9,253.6,253.0
15,15,15,15,15,AMBUJACEM,EQ,23-Oct-2020,253.6,255.5,256.0,245.0,247.4,247.4,250.14,15337715,3836604299.3,104670,3722102,24.27,247.4,255.5
16,16,16,16,16,AMBUJACEM,EQ,26-Oct-2020,247.4,248.7,249.0,242.45,244.5,245.05,244.76,8116758,1986641716.0,55350,2705802,33.34,245.05,248.7
17,17,17,17,17,AMBUJACEM,EQ,27-Oct-2020,245.05,245.05,257.0,243.65,254.55,255.85,252.15,13207219,3330155886.6,75595,4880061,36.95,255.85,245.05
18,18,18,18,18,AMBUJACEM,EQ,28-Oct-2020,255.85,253.85,254.7,250.35,251.25,251.8,252.41,4873537,1230126294.95,45960,1244420,25.53,251.8,253.85
19,19,19,19,19,AMBUJACEM,EQ,29-Oct-2020,251.8,250.5,255.0,248.7,254.3,254.0,251.88,4794371,1207600043.05,42491,1245677,25.98,254.0,250.5
