,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,AMBUJACEM,EQ,01-Sep-2020,210.55,211.0,214.35,208.4,213.1,213.0,211.41,4386376,927306687.9,35759,1562315,35.62,213.0,211.0
1,1,1,1,1,AMBUJACEM,EQ,02-Sep-2020,213.0,213.25,218.5,211.25,217.5,217.25,215.32,3871764,833660136.75,29334,1899598,49.06,217.25,213.25
2,2,2,2,2,AMBUJACEM,EQ,03-Sep-2020,217.25,218.3,220.0,213.5,214.3,214.6,215.34,3292415,709002804.5,26662,1635728,49.68,214.6,218.3
3,3,3,3,3,AMBUJACEM,EQ,04-Sep-2020,214.6,211.7,212.6,207.0,207.6,208.5,210.61,3950171,831934750.4,22386,2135845,54.07,208.5,211.7
4,4,4,4,4,AMBUJACEM,EQ,07-Sep-2020,208.5,208.5,212.35,206.45,210.2,210.55,209.55,4220405,884394216.15,34453,550388,13.04,210.55,208.5
5,5,5,5,5,AMBUJACEM,EQ,08-Sep-2020,210.55,210.5,210.5,205.65,206.0,206.5,207.98,2070634,430657815.9,23100,414930,20.04,206.5,210.5
6,6,6,6,6,AMBUJACEM,EQ,09-Sep-2020,206.5,205.75,210.5,204.3,209.35,209.45,207.84,2844517,591206028.9,23779,522363,18.36,209.45,205.75
7,7,7,7,7,AMBUJACEM,EQ,10-Sep-2020,209.45,210.8,214.45,207.3,213.8,212.95,210.18,2591779,544730035.85,28445,689900,26.62,212.95,210.8
8,8,8,8,8,AMBUJACEM,EQ,11-Sep-2020,212.95,212.95,214.5,211.1,211.9,212.45,212.67,1841491,391622310.75,21080,221398,12.02,212.45,212.95
9,9,9,9,9,AMBUJACEM,EQ,14-Sep-2020,212.45,214.3,217.0,209.8,210.3,211.1,212.85,4594264,977886988.8,42336,1617017,35.2,211.1,214.3
10,10,10,10,10,AMBUJACEM,EQ,15-Sep-2020,211.1,210.95,217.85,210.55,217.25,217.45,215.45,3027667,652311734.8,23832,788662,26.05,217.45,210.95
11,11,11,11,11,AMBUJACEM,EQ,16-Sep-2020,217.45,217.95,221.0,216.05,218.5,218.6,218.81,4891756,1070370796.4,39197,616809,12.61,218.6,217.95
12,12,12,12,12,AMBUJACEM,EQ,17-Sep-2020,218.6,218.0,222.7,217.4,220.1,220.3,220.76,4404688,972380123.0,39867,886236,20.12,220.3,218.0
13,13,13,13,13,AMBUJACEM,EQ,18-Sep-2020,220.3,221.75,223.0,217.05,220.4,220.0,219.92,3567707,784617152.95,30715,1110808,31.14,220.0,221.75
14,14,14,14,14,AMBUJACEM,EQ,21-Sep-2020,220.0,220.0,220.25,207.7,208.2,209.75,214.41,2412725,517313597.6,24197,667745,27.68,209.75,220.0
15,15,15,15,15,AMBUJACEM,EQ,22-Sep-2020,209.75,209.5,210.55,203.0,205.3,206.8,206.97,3532428,731119557.9,34108,788280,22.32,206.8,209.5
16,16,16,16,16,AMBUJACEM,EQ,23-Sep-2020,206.8,206.4,211.4,204.55,210.7,209.25,207.77,4129810,858067999.0,29683,1057492,25.61,209.25,206.4
17,17,17,17,17,AMBUJACEM,EQ,24-Sep-2020,209.25,206.15,208.2,197.45,197.75,198.25,202.18,3309215,669053262.4,25526,848033,25.63,198.25,206.15
