,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,ASIANPAINT,EQ,01-Aug-2019,1521.1,1515.0,1531.45,1493.65,1510.15,1504.7,1507.63,2263295,3412201931.15,83834,    1270054,         56.12,1504.7,1515.0
1,1,1,1,ASIANPAINT,EQ,02-Aug-2019,1504.7,1509.0,1550.0,1504.5,1548.0,1545.2,1530.93,3044783,4661342540.8,147653,    1524684,         50.08,1545.2,1509.0
2,2,2,2,ASIANPAINT,EQ,05-Aug-2019,1545.2,1533.2,1551.0,1521.7,1526.6,1525.4,1531.82,1443728,2211537140.1,75689,     550605,         38.14,1525.4,1533.2
3,3,3,3,ASIANPAINT,EQ,06-Aug-2019,1525.4,1530.0,1569.85,1524.05,1563.3,1565.85,1554.98,2056715,3198154163.8,100531,     938451,         45.63,1565.85,1530.0
4,4,4,4,ASIANPAINT,EQ,07-Aug-2019,1565.85,1563.3,1575.0,1551.9,1559.2,1559.2,1562.63,1583322,2474151055.95,91469,     732209,         46.25,1559.2,1563.3
5,5,5,5,ASIANPAINT,EQ,08-Aug-2019,1559.2,1565.75,1569.7,1540.3,1566.05,1565.9,1551.96,1579565,2451429470.8,69131,     847983,         53.68,1565.9,1565.75
6,6,6,6,ASIANPAINT,EQ,09-Aug-2019,1565.9,1569.2,1581.9,1561.0,1575.85,1575.5,1574.7,1154542,1818060254.85,57223,     407036,         35.26,1575.5,1569.2
7,7,7,7,ASIANPAINT,EQ,13-Aug-2019,1575.5,1573.5,1594.0,1568.0,1574.45,1573.35,1582.39,1612748,2551991361.95,104013,     866513,         53.73,1573.35,1573.5
8,8,8,8,ASIANPAINT,EQ,14-Aug-2019,1573.35,1574.5,1575.5,1552.5,1571.0,1569.7,1566.55,1113095,1743713510.3,53179,     492604,         44.26,1569.7,1574.5
9,9,9,9,ASIANPAINT,EQ,16-Aug-2019,1569.7,1571.0,1600.85,1561.0,1593.05,1597.45,1583.09,1682359,2663318101.75,147507,     952222,         56.60,1597.45,1571.0
10,10,10,10,ASIANPAINT,EQ,19-Aug-2019,1597.45,1599.0,1609.55,1582.2,1585.0,1586.45,1595.14,1322246,2109173419.45,93807,     452884,         34.25,1586.45,1599.0
11,11,11,11,ASIANPAINT,EQ,20-Aug-2019,1586.45,1585.0,1599.5,1582.7,1590.3,1595.15,1590.92,1024331,1629626744.9,52079,     454969,         44.42,1595.15,1585.0
12,12,12,12,ASIANPAINT,EQ,21-Aug-2019,1595.15,1585.25,1595.0,1578.55,1588.0,1589.15,1588.07,704009,1118013511.2,38501,     212027,         30.12,1589.15,1585.25
13,13,13,13,ASIANPAINT,EQ,22-Aug-2019,1589.15,1585.2,1593.9,1566.3,1570.0,1570.2,1576.48,985590,1553760356.05,75050,     455608,         46.23,1570.2,1585.2
14,14,14,14,ASIANPAINT,EQ,23-Aug-2019,1570.2,1569.9,1583.35,1555.65,1582.8,1580.4,1569.23,984637,1545118975.25,58223,     435109,         44.19,1580.4,1569.9
15,15,15,15,ASIANPAINT,EQ,26-Aug-2019,1580.4,1590.0,1600.0,1577.15,1591.7,1597.55,1589.69,1153556,1833798503.95,53015,     687800,         59.62,1597.55,1590.0
16,16,16,16,ASIANPAINT,BL,27-Aug-2019,1471.25,1598.0,1598.0,1598.0,1598.0,1598.0,1598.0,625000,998750000.0,1,-,-,1598.0,1598.0
17,17,17,17,ASIANPAINT,EQ,27-Aug-2019,1597.55,1600.0,1607.45,1585.5,1598.65,1599.45,1597.4,1581449,2526205897.3,86972,     953752,         60.31,1599.45,1600.0
18,18,18,18,ASIANPAINT,EQ,28-Aug-2019,1599.45,1599.2,1606.75,1590.6,1604.05,1603.15,1598.86,565676,904439156.05,48199,     191713,         33.89,1603.15,1599.2
19,19,19,19,ASIANPAINT,EQ,29-Aug-2019,1603.15,1602.85,1619.9,1589.0,1616.0,1615.25,1602.69,861692,1381024584.75,43965,     375765,         43.61,1615.25,1602.85
