"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ASIANPAINT","01-Jul-2019","25-Jul-2019","CE","1300","0","0","0","185.8","0","67.85","0","0","0","0","0","1353.85"
"ASIANPAINT","02-Jul-2019","25-Jul-2019","CE","1300","0","0","0","185.8","0","60.4","0","0","0","0","0","1345.75"
"ASIANPAINT","03-Jul-2019","25-Jul-2019","CE","1300","0","0","0","185.8","0","64.2","0","0","0","0","0","1352"
"ASIANPAINT","04-Jul-2019","25-Jul-2019","CE","1300","0","0","0","185.8","0","69.65","0","0","0","0","0","1359.7"
"ASIANPAINT","05-Jul-2019","25-Jul-2019","CE","1300","0","0","0","185.8","0","67.8","0","0","0","0","0","1358.7"
"ASIANPAINT","08-Jul-2019","25-Jul-2019","CE","1300","60","60.5","46.85","46.85","46.85","46.85","35","284.73","11.73","600","600","1340.25"
"ASIANPAINT","09-Jul-2019","25-Jul-2019","CE","1300","37.15","41.25","27.75","38.95","39.5","38.95","232","1856.48","46.88","9000","8400","1321"
"ASIANPAINT","10-Jul-2019","25-Jul-2019","CE","1300","43.15","48.6","36.05","41.55","39.8","41.55","53","426.44","13.04","9000","0","1322.95"
"ASIANPAINT","11-Jul-2019","25-Jul-2019","CE","1300","39.65","51.6","38.15","45.75","45.2","45.75","25","201.62","6.62","10800","1800","1332.45"
"ASIANPAINT","12-Jul-2019","25-Jul-2019","CE","1300","44.75","70","44.75","67.25","68","67.25","17","138.38","5.78","7200","-3600","1361.95"
"ASIANPAINT","15-Jul-2019","25-Jul-2019","CE","1300","63.9","64","60","60","60","60","3","24.53","1.13","5400","-1800","1353.15"
"ASIANPAINT","16-Jul-2019","25-Jul-2019","CE","1300","75","75","75","75","75","75","1","8.25",".45","5400","0","1372.3"
"ASIANPAINT","17-Jul-2019","25-Jul-2019","CE","1300","86","93","86","93","93","93","4","33.31","2.11","3600","-1800","1395.9"
"ASIANPAINT","18-Jul-2019","25-Jul-2019","CE","1300","0","0","0","93","93","86.75","0","0","0","3600","0","1384.95"
"ASIANPAINT","19-Jul-2019","25-Jul-2019","CE","1300","86.75","95","86.75","95","95","95","4","33.38","2.18","3600","0","1369.1"
"ASIANPAINT","22-Jul-2019","25-Jul-2019","CE","1300","98.2","98.2","98.2","98.2","98.2","98.2","1","8.39",".59","3600","0","1404.2"
"ASIANPAINT","23-Jul-2019","25-Jul-2019","CE","1300","120.15","128.25","120.15","128.25","128.25","128.25","3","25.61","2.21","3000","-600","1429.35"
"ASIANPAINT","24-Jul-2019","25-Jul-2019","CE","1300","0","0","0","128.25","128.25","183.65","0","0","0","3000","0","1483.4"
"ASIANPAINT","25-Jul-2019","25-Jul-2019","CE","1300","0","0","0","128.25","128.25","0","0","0","0","3000","0","1495.85"
