,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,ASIANPAINT,EQ,01-Feb-2019,1412.6,1412.4,1469.65,1408.2,1455.0,1457.2,1442.61,2077539,2997082950.75,95731,1073001,51.65,1457.2,1412.4
1,1,1,1,ASIANPAINT,EQ,04-Feb-2019,1457.2,1444.0,1452.8,1434.0,1445.0,1446.35,1441.34,735159,1059614287.7,53838,331885,45.14,1446.35,1444.0
2,2,2,2,ASIANPAINT,EQ,05-Feb-2019,1446.35,1444.95,1466.9,1443.1,1455.0,1450.35,1453.68,786962,1143989735.3,53011,305772,38.85,1450.35,1444.95
3,3,3,3,ASIANPAINT,EQ,06-Feb-2019,1450.35,1457.85,1476.2,1452.3,1468.0,1469.4,1468.02,1088914,1598544144.9,80920,505001,46.38,1469.4,1457.85
4,4,4,4,ASIANPAINT,EQ,07-Feb-2019,1469.4,1467.05,1476.8,1457.0,1470.0,1472.45,1465.89,697412,1022328320.45,34367,308352,44.21,1472.45,1467.05
5,5,5,5,ASIANPAINT,EQ,08-Feb-2019,1472.45,1468.0,1480.0,1445.0,1448.35,1448.8,1458.43,1018518,1485441859.65,40609,479256,47.05,1448.8,1468.0
6,6,6,6,ASIANPAINT,EQ,11-Feb-2019,1448.8,1447.9,1457.3,1427.0,1442.15,1437.1,1438.19,728051,1047073398.45,30999,346766,47.63,1437.1,1447.9
7,7,7,7,ASIANPAINT,EQ,12-Feb-2019,1437.1,1438.5,1456.9,1435.25,1449.0,1452.1,1447.96,947583,1372057678.9,50827,615688,64.97,1452.1,1438.5
8,8,8,8,ASIANPAINT,EQ,13-Feb-2019,1452.1,1451.0,1453.65,1417.0,1418.4,1424.15,1435.55,507194,728099824.6,21438,198514,39.14,1424.15,1451.0
9,9,9,9,ASIANPAINT,EQ,14-Feb-2019,1424.15,1417.65,1423.15,1396.5,1402.0,1399.2,1406.82,915441,1287858328.6,35114,516804,56.45,1399.2,1417.65
10,10,10,10,ASIANPAINT,EQ,15-Feb-2019,1399.2,1400.8,1404.95,1372.1,1401.0,1393.6,1384.57,1113223,1541330196.4,70962,645473,57.98,1393.6,1400.8
11,11,11,11,ASIANPAINT,EQ,18-Feb-2019,1393.6,1401.7,1401.7,1345.0,1374.95,1380.05,1367.12,1460282,1996383955.9,53231,550725,37.71,1380.05,1401.7
12,12,12,12,ASIANPAINT,EQ,19-Feb-2019,1380.05,1372.05,1396.95,1371.0,1380.0,1377.85,1385.47,697530,966406306.55,32985,228881,32.81,1377.85,1372.05
13,13,13,13,ASIANPAINT,EQ,20-Feb-2019,1377.85,1380.0,1398.8,1376.0,1396.8,1396.9,1390.99,843469,1173258107.55,34144,373821,44.32,1396.9,1380.0
14,14,14,14,ASIANPAINT,EQ,21-Feb-2019,1396.9,1399.0,1407.85,1390.3,1397.0,1397.8,1400.19,677142,948126583.6,36868,256485,37.88,1397.8,1399.0
15,15,15,15,ASIANPAINT,EQ,22-Feb-2019,1397.8,1399.0,1407.75,1384.2,1389.0,1397.8,1397.18,801380,1119670074.2,23874,411956,51.41,1397.8,1399.0
16,16,16,16,ASIANPAINT,EQ,25-Feb-2019,1397.8,1399.95,1405.8,1391.35,1398.2,1398.25,1399.03,711217,995014922.85,28536,425202,59.79,1398.25,1399.95
17,17,17,17,ASIANPAINT,EQ,26-Feb-2019,1398.25,1396.9,1407.0,1378.6,1400.95,1402.0,1396.96,1147218,1602622125.35,46725,678471,59.14,1402.0,1396.9
18,18,18,18,ASIANPAINT,EQ,27-Feb-2019,1402.0,1404.0,1430.85,1395.0,1402.95,1405.7,1410.88,1462017,2062725449.3,56623,736192,50.35,1405.7,1404.0
19,19,19,19,ASIANPAINT,EQ,28-Feb-2019,1405.7,1414.8,1415.0,1401.45,1405.2,1405.2,1407.56,1230935,1732610772.95,48827,817919,66.45,1405.2,1414.8
