,Unnamed: 0,Unnamed: 0.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,ADANIENT,EQ,03-Aug-2020,175.25,175.25,178.7,171.2,172.6,172.25,175.73,2789132,490130909.45,22118,352297,12.63,172.25,175.25
1,1,1,ADANIENT,EQ,04-Aug-2020,172.25,174.0,184.0,172.2,181.3,182.1,177.82,4209093,748458375.2,32421,504311,11.98,182.1,174.0
2,2,2,ADANIENT,EQ,05-Aug-2020,182.1,183.0,184.8,178.5,179.45,179.6,182.01,4042372,735762804.35,31056,441948,10.93,179.6,183.0
3,3,3,ADANIENT,EQ,06-Aug-2020,179.6,180.1,188.0,177.5,184.75,185.95,183.35,6447346,1182138360.75,37096,1205650,18.7,185.95,180.1
4,4,4,ADANIENT,EQ,07-Aug-2020,185.95,181.05,195.0,180.1,192.0,192.9,189.4,9386326,1777765630.5,60607,812929,8.66,192.9,181.05
5,5,5,ADANIENT,EQ,10-Aug-2020,192.9,192.9,198.3,192.35,195.4,195.7,195.48,4627829,904655872.65,39754,1358274,29.35,195.7,192.9
6,6,6,ADANIENT,EQ,11-Aug-2020,195.7,196.0,199.8,194.4,196.35,195.85,196.87,2965963,583900555.1,27278,560584,18.9,195.85,196.0
7,7,7,ADANIENT,EQ,12-Aug-2020,195.85,195.8,200.75,190.2,197.1,197.7,197.01,3352637,660509727.85,31098,571353,17.04,197.7,195.8
8,8,8,ADANIENT,EQ,13-Aug-2020,197.7,198.9,203.3,197.75,201.8,200.75,200.66,3552469,712830324.9,29858,509102,14.33,200.75,198.9
9,9,9,ADANIENT,EQ,14-Aug-2020,200.75,202.4,204.5,191.45,196.5,196.2,200.61,6617104,1327459649.3,61215,586462,8.86,196.2,202.4
10,10,10,ADANIENT,EQ,17-Aug-2020,196.2,197.4,201.65,196.05,197.35,197.8,198.87,3227005,641759561.4,26760,246979,7.65,197.8,197.4
11,11,11,ADANIENT,EQ,18-Aug-2020,197.8,200.0,216.8,199.0,214.0,213.7,210.45,13368091,2813351420.15,75215,1814585,13.57,213.7,200.0
12,12,12,ADANIENT,EQ,19-Aug-2020,213.7,214.25,245.4,214.25,243.0,239.55,231.4,19592087,4533551628.65,139730,2532948,12.93,239.55,214.25
13,13,13,ADANIENT,EQ,20-Aug-2020,239.55,241.2,245.0,230.4,236.15,234.0,238.12,9484513,2258453807.15,79833,1262372,13.31,234.0,241.2
14,14,14,ADANIENT,EQ,21-Aug-2020,234.0,237.1,244.5,231.1,234.0,233.35,237.64,5797329,1377683897.6,49170,855084,14.75,233.35,237.1
15,15,15,ADANIENT,EQ,24-Aug-2020,233.35,236.0,253.85,235.0,249.0,248.7,244.69,11879433,2906831514.75,84346,1651044,13.9,248.7,236.0
16,16,16,ADANIENT,EQ,25-Aug-2020,248.7,252.0,322.4,250.0,299.8,307.55,287.26,49264767,14151785336.4,299440,3209855,6.52,307.55,252.0
17,17,17,ADANIENT,EQ,26-Aug-2020,307.55,299.0,302.8,278.25,283.0,285.55,290.08,26720036,7750913764.4,221507,2199277,8.23,285.55,299.0
18,18,18,ADANIENT,EQ,27-Aug-2020,285.55,284.9,297.7,283.7,285.9,286.7,291.02,15749472,4583474708.3,124274,1333622,8.47,286.7,284.9
