Date,Expiry,Strike Price,Returns,Alpha,Alpha-Mean,Ratio
27-Jan-2020,30-Jan-2020,200,inf,122.20000000000005,83.21111111111111,1.468553879022567
17-Feb-2020,27-Feb-2020,220,inf,81.25,63.54785247432304,1.278564055847987
18-Feb-2020,27-Feb-2020,220,inf,84.14285714285711,78.98412698412696,1.065313504823151
25-Feb-2020,27-Feb-2020,220,inf,132.24999999999994,151.40740740740736,0.8734711350293541
26-Feb-2020,27-Feb-2020,220,4.285714285714286,152.00000000000009,150.15740740740733,1.0122710735647789
05-Mar-2020,26-Mar-2020,210,-35.223880597014926,2.196261682242991,2.030865157557297,1.0814414113463993
13-Mar-2020,26-Mar-2020,210,0.0,-0.9722222222222222,-0.8256822159921803,1.1774774887865935
16-Mar-2020,26-Mar-2020,210,-37.50000000000001,-0.9779220779220781,-0.9378221336876532,1.0427585816051772
17-Mar-2020,26-Mar-2020,210,0.0,-0.9696202531645569,-0.9915898559367511,0.977844062602436
20-Mar-2020,26-Mar-2020,210,0.0,-0.9389610389610391,-1.0021097046413503,0.9369842788790158
25-Mar-2020,26-Mar-2020,210,100.0,-1.0359999999999998,-1.0435064935064935,0.9928064716863719
16-Apr-2020,30-Apr-2020,130,inf,2.6600000000000024,2.5753567014942136,1.0328666310405386
17-Apr-2020,30-Apr-2020,130,inf,3.0888888888888903,2.8186125154477035,1.0958898649459294
22-Apr-2020,30-Apr-2020,130,inf,1.6344086021505362,2.9161257206033313,0.5604726128928301
24-Apr-2020,30-Apr-2020,130,0.0,1.603448275862071,2.2408227678810237,0.7155622920496878
27-Apr-2020,30-Apr-2020,130,0.0,1.8039215686274488,2.4792856260042027,0.7275973166249425
14-May-2020,28-May-2020,130,0.0,3.2537313432835835,2.6046353943520466,1.2492079890870915
15-May-2020,28-May-2020,130,0.0,3.683333333333337,2.936403520015862,1.2543689272356684
19-May-2020,28-May-2020,130,inf,3.1290322580645125,2.6942319148593623,1.161381928855908
10-Jun-2020,25-Jun-2020,150,-3.000000000000007,0.2402597402597395,0.29320179566174986,0.8194347504505513
11-Jun-2020,25-Jun-2020,150,125.0,0.2482758620689671,0.265832235397453,0.9339569435503678
12-Jun-2020,25-Jun-2020,150,-21.052631578947366,0.2555555555555568,0.2415201490164014,1.0581127769103946
18-Jun-2020,25-Jun-2020,150,-5.172413793103446,-0.30714285714285794,-0.2660138516914545,1.1546122699621988
24-Jun-2020,25-Jun-2020,150,269.2307692307692,3.428571428571437,2.4913919413919383,1.3761670219804505
08-Jul-2020,30-Jul-2020,150,4.464285714285714,2.680412371134021,3.1843242606339106,0.8417523316549506
09-Jul-2020,30-Jul-2020,150,-8.805031446540882,2.8021978021978025,3.535789630957717,0.7925239040419916
10-Jul-2020,30-Jul-2020,150,-25.0,1.8130841121495307,3.440870057777275,0.5269260627995764
24-Jul-2020,30-Jul-2020,150,inf,18.75,14.650985663082439,1.2797773768386287
14-Aug-2020,27-Aug-2020,170,inf,47.63636363636361,50.587962962962955,0.9416541178232398
17-Aug-2020,27-Aug-2020,170,inf,55.60000000000002,56.892676767676754,0.9772786790652263
26-Aug-2020,27-Aug-2020,170,inf,2311.0,1652.8333333333333,1.398205102349501
04-Sep-2020,24-Sep-2020,280,-3.373493975903611,0.3576388888888873,0.6821749454913845,0.5242627147956492
09-Sep-2020,24-Sep-2020,280,29.52380952380952,0.24206349206349298,0.19364984380860942,1.250006131183521
14-Sep-2020,24-Sep-2020,280,inf,1.0734693877551003,1.5038674454842127,0.7138058550163419
15-Sep-2020,24-Sep-2020,280,inf,1.0363636363636377,1.7810027440480818,0.5818989554210698
17-Sep-2020,24-Sep-2020,280,16.040955631399314,2.4464285714285694,1.8432776747062476,1.3272165149064925
18-Sep-2020,24-Sep-2020,280,0.0,1.8480000000000019,2.3009307359307374,0.8031532506138118
12-Oct-2020,29-Oct-2020,300,inf,1.8058823529411792,2.3853677621283267,0.7570666383660245
14-Oct-2020,29-Oct-2020,300,inf,1.6749999999999972,1.536274509803922,1.0902999361837884
21-Oct-2020,29-Oct-2020,300,0.2717391304347865,2.1238938053097343,3.3548216959303088,0.6330869410693876
22-Oct-2020,29-Oct-2020,300,-8.177570093457945,2.346938775510204,3.7711196310335535,0.6223453523448622
26-Oct-2020,29-Oct-2020,300,27.397260273972606,1.7619047619047563,3.4336737533550727,0.5131252671233496
11-Nov-2020,26-Nov-2020,340,5.0,3.2419354838709715,2.1710070694944643,1.4932864703318913
19-Nov-2020,26-Nov-2020,340,0.0,32.67857142857143,34.46737373737374,0.9481015779608798
20-Nov-2020,26-Nov-2020,340,1.4000000000000057,53.66666666666668,41.888008658008665,1.2811940310847416
24-Nov-2020,26-Nov-2020,340,-13.23529411764706,103.38461538461536,105.50396825396827,0.9799121027917053
04-Dec-2020,31-Dec-2020,420,0.0,1.8469750889679706,1.5000662978541595,1.2312623059461192
08-Dec-2020,31-Dec-2020,420,6.071019473081326,2.6919831223628674,2.3986864868126365,1.1222738516111632
09-Dec-2020,31-Dec-2020,420,3.584672435105057,2.2734375000000018,2.6560606518743586,0.855943368008429
10-Dec-2020,31-Dec-2020,420,1.3941698352344667,2.2614107883817427,2.7982147888850357,0.8081619743289308
11-Dec-2020,31-Dec-2020,420,-1.3230429988974672,2.7090909090909103,2.4089438035815376,1.1245969727741776
17-Dec-2020,31-Dec-2020,420,0.4784688995215379,5.865671641791046,5.526782085744969,1.0613176982172252
18-Dec-2020,31-Dec-2020,420,-36.03723404255319,5.76229508196721,6.1352626713228275,0.9392091896735039
