,Unnamed: 0,Unnamed: 0.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,ADANIENT,EQ,01-Jan-2020,208.35,209.0,210.45,206.65,207.55,207.85,208.21,1553127,323377254.4,10641,238996,15.39,207.85,209.0
1,1,1,ADANIENT,EQ,02-Jan-2020,207.85,208.0,213.2,207.5,210.9,211.2,210.76,2991937,630593790.0,19649,497418,16.63,211.2,208.0
2,2,2,ADANIENT,EQ,03-Jan-2020,211.2,210.25,212.35,205.8,208.35,208.3,208.83,2512421,524673620.55,14792,497223,19.79,208.3,210.25
3,3,3,ADANIENT,EQ,06-Jan-2020,208.3,207.75,207.75,197.75,199.35,199.55,200.83,4353179,874253932.35,25330,715111,16.43,199.55,207.75
4,4,4,ADANIENT,EQ,07-Jan-2020,199.55,200.55,205.7,200.55,202.95,204.05,203.44,2966120,603438498.4,17757,421095,14.2,204.05,200.55
5,5,5,ADANIENT,EQ,08-Jan-2020,204.05,201.0,203.55,194.55,200.5,201.5,199.39,5762654,1149028631.95,35823,422064,7.32,201.5,201.0
6,6,6,ADANIENT,EQ,09-Jan-2020,201.5,201.9,208.9,201.9,208.0,208.0,205.9,3496063,719831005.25,20369,626207,17.91,208.0,201.9
7,7,7,ADANIENT,EQ,10-Jan-2020,208.0,208.0,213.0,205.9,210.5,209.1,208.64,2769132,577749576.2,16595,459379,16.59,209.1,208.0
8,8,8,ADANIENT,EQ,13-Jan-2020,209.1,210.65,216.25,209.6,212.6,213.6,213.6,3527267,753432390.9,20596,381541,10.82,213.6,210.65
9,9,9,ADANIENT,EQ,14-Jan-2020,213.6,213.45,215.5,211.85,213.05,214.35,213.78,1775182,379506359.7,10469,237545,13.38,214.35,213.45
10,10,10,ADANIENT,EQ,15-Jan-2020,214.35,214.5,218.0,212.5,218.0,216.6,215.4,1982079,426937660.75,11161,370145,18.67,216.6,214.5
11,11,11,ADANIENT,EQ,16-Jan-2020,216.6,217.7,222.5,217.0,219.5,220.0,220.12,4280379,942179752.45,27655,404320,9.45,220.0,217.7
12,12,12,ADANIENT,EQ,17-Jan-2020,220.0,216.0,229.25,213.7,227.75,228.4,222.44,10810744,2404752505.95,48991,3122170,28.88,228.4,216.0
13,13,13,ADANIENT,EQ,20-Jan-2020,228.4,229.55,232.25,224.15,225.95,226.55,227.45,4546367,1034066184.25,31281,359424,7.91,226.55,229.55
14,14,14,ADANIENT,EQ,21-Jan-2020,226.55,224.35,227.0,220.5,223.65,224.25,224.05,2813526,630368841.25,19279,212413,7.55,224.25,224.35
15,15,15,ADANIENT,EQ,22-Jan-2020,224.25,224.8,228.0,221.15,225.4,225.9,225.51,2939366,662858695.85,19573,292711,9.96,225.9,224.8
16,16,16,ADANIENT,EQ,23-Jan-2020,225.9,226.0,231.2,225.75,228.7,229.6,229.03,2650092,606961652.9,15737,278521,10.51,229.6,226.0
17,17,17,ADANIENT,EQ,24-Jan-2020,229.6,225.5,232.4,219.0,229.0,229.75,226.83,7154795,1622948894.6,41155,591387,8.27,229.75,225.5
18,18,18,ADANIENT,EQ,27-Jan-2020,229.75,229.5,236.45,226.05,230.7,230.55,233.17,5293975,1234387488.45,36646,506488,9.57,230.55,229.5
19,19,19,ADANIENT,EQ,28-Jan-2020,230.55,232.25,234.5,229.1,229.3,229.9,231.75,2161711,500970683.8,16321,195605,9.05,229.9,232.25
20,20,20,ADANIENT,EQ,29-Jan-2020,229.9,231.7,238.35,231.0,231.75,232.3,234.67,3738186,877250878.8,23294,368559,9.86,232.3,231.7
21,21,21,ADANIENT,EQ,30-Jan-2020,232.3,232.3,232.75,228.2,229.6,231.5,230.56,2192123,505417129.4,12795,318284,14.52,231.5,232.3
