Date,Expiry,Strike Price,Returns,Ratio
10-Jan-2018,22-Feb-2018,25000,0.0054350779933642615,0.9204162639806899
08-Mar-2018,26-Apr-2018,24000,inf,0.9119463499918737
09-Mar-2018,26-Apr-2018,24000,13.51063829787234,0.7787213726768875
16-Mar-2018,26-Apr-2018,24000,-16.847285482435474,0.5148156938404281
21-Mar-2018,26-Apr-2018,24000,-10.335844539885937,0.8002098707208964
22-Mar-2018,26-Apr-2018,24000,-24.032937571811573,0.6316772200237417
18-Apr-2018,26-Apr-2018,24000,1.6702848788268252,0.9985702514345742
16-May-2018,28-Jun-2018,25000,-5.893536121673003,0.6596002281450217
17-May-2018,28-Jun-2018,25000,-4.7844827586206895,0.6046980477869885
18-May-2018,28-Jun-2018,25000,-14.166666666666666,0.5149357984749906
21-May-2018,28-Jun-2018,25000,2.0981087470449125,0.6486336566367944
22-May-2018,28-Jun-2018,25000,-15.898447128420015,0.9618826516969133
23-May-2018,28-Jun-2018,25000,24.487612612612615,0.8124979643737792
29-May-2018,28-Jun-2018,25000,15.817777777777781,0.8595187590303797
30-May-2018,28-Jun-2018,25000,15.956638133324526,0.8510508968164457
05-Jun-2018,28-Jun-2018,25000,11.064332087349984,0.6162464132948371
15-Jun-2018,28-Jun-2018,25000,2.9629629629629632,0.9873836293697966
19-Jun-2018,28-Jun-2018,25000,20.95708317508546,0.6596033706050006
16-Jul-2018,30-Aug-2018,26000,18.829212300923036,0.7033781226721294
18-Jul-2018,30-Aug-2018,26000,-7.304347826086957,0.912836998648162
19-Jul-2018,30-Aug-2018,26000,3.4626038781163437,0.7985626570446993
20-Jul-2018,30-Aug-2018,26000,2.127659574468085,0.9119716213325442
01-Aug-2018,30-Aug-2018,26000,-4.2499999999999964,0.9158360730330599
02-Aug-2018,30-Aug-2018,26000,13.970941980178964,0.6229758141819828
13-Aug-2018,30-Aug-2018,26000,2.481389578163772,0.6737048686697319
24-Aug-2018,30-Aug-2018,26000,1.1204797547118723,0.9561519136218194
06-Sep-2018,25-Oct-2018,27000,2.029312288613303,0.7253770143665877
25-Sep-2018,25-Oct-2018,27000,-26.258992805755398,0.9610647302783182
26-Sep-2018,25-Oct-2018,27000,-52.96411856474259,0.9859791351608825
03-Oct-2018,25-Oct-2018,27000,-6.142034548944343,0.9876158055386348
04-Oct-2018,25-Oct-2018,27000,31.020408163265312,0.9384577207843662
05-Oct-2018,25-Oct-2018,27000,-8.443271767810016,0.9743378618519513
10-Oct-2018,25-Oct-2018,27000,124.03846153846155,0.9653649100793371
12-Oct-2018,25-Oct-2018,27000,-19.952494061757715,0.9882949487232048
15-Oct-2018,25-Oct-2018,27000,-25.82417582417582,0.9832636365889235
17-Oct-2018,25-Oct-2018,27000,62.68656716417911,0.992220896496374
22-Oct-2018,25-Oct-2018,27000,40.0,0.9787599701600241
12-Nov-2018,27-Dec-2018,25000,20.467384481676408,0.6781140796620193
20-Nov-2018,27-Dec-2018,25000,9.816620323114291,0.9182321587389202
22-Nov-2018,27-Dec-2018,25000,15.955882352941176,0.6920668059805062
04-Dec-2018,27-Dec-2018,25000,-1.737418196559912,0.8807422896355448
05-Dec-2018,27-Dec-2018,25000,-8.57732920289131,0.8066414994417894
21-Dec-2018,27-Dec-2018,25000,-4.834339369550633,0.8581945995154427
