,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,AMBUJACEM,EQ,01-Feb-2021,243.35,246.4,262.0,242.1,261.0,260.8,252.84,8108261,2050073084.9,61328,2814749,34.71,260.8,246.4
1,1,AMBUJACEM,EQ,02-Feb-2021,260.8,263.7,279.6,261.1,276.2,276.25,273.02,12896237,3520919633.85,108099,3854343,29.89,276.25,263.7
2,2,AMBUJACEM,EQ,03-Feb-2021,276.25,276.1,278.7,268.0,268.8,268.95,272.51,8099652,2207201381.75,84734,2138155,26.4,268.95,276.1
3,3,AMBUJACEM,EQ,04-Feb-2021,268.95,268.0,275.0,266.15,272.95,272.75,271.96,7803083,2122122864.2,51299,1990470,25.51,272.75,268.0
4,4,AMBUJACEM,EQ,05-Feb-2021,272.75,273.0,275.6,268.55,271.25,271.3,272.43,5119967,1394828334.0,39739,1165062,22.76,271.3,273.0
5,5,AMBUJACEM,EQ,08-Feb-2021,271.3,272.5,278.2,272.0,274.45,274.35,275.28,5445773,1499087277.65,40469,2223445,40.83,274.35,272.5
6,6,AMBUJACEM,EQ,09-Feb-2021,274.35,276.85,279.45,269.85,271.25,270.55,275.14,4725675,1300210856.5,32513,1644561,34.8,270.55,276.85
7,7,AMBUJACEM,EQ,10-Feb-2021,270.55,271.35,277.8,271.0,271.4,271.9,273.94,6276033,1719252863.2,54654,1090785,17.38,271.9,271.35
8,8,AMBUJACEM,EQ,11-Feb-2021,271.9,272.2,277.8,271.5,276.25,276.9,276.0,5475278,1511198698.9,44996,1707264,31.18,276.9,272.2
9,9,AMBUJACEM,EQ,12-Feb-2021,276.9,275.0,284.9,274.25,277.8,277.45,280.67,9937677,2789204572.25,81962,2020768,20.33,277.45,275.0
10,10,AMBUJACEM,EQ,15-Feb-2021,277.45,281.0,285.9,279.0,285.0,283.4,283.12,7339663,2078017690.4,57199,1907092,25.98,283.4,281.0
11,11,AMBUJACEM,EQ,16-Feb-2021,283.4,285.9,287.3,280.2,284.0,284.05,284.3,6116048,1738771188.35,56341,1315043,21.5,284.05,285.9
12,12,AMBUJACEM,EQ,17-Feb-2021,284.05,285.75,290.4,284.2,287.7,286.65,287.22,10058896,2889160675.7,58094,4061841,40.38,286.65,285.75
13,13,AMBUJACEM,EQ,18-Feb-2021,286.65,290.0,290.5,280.8,283.8,282.8,283.47,7081013,2007258890.15,55495,1709764,24.15,282.8,290.0
14,14,AMBUJACEM,EQ,19-Feb-2021,282.8,288.5,288.5,273.05,275.2,275.3,279.35,18015854,5032744552.45,119728,3417260,18.97,275.3,288.5
15,15,AMBUJACEM,EQ,22-Feb-2021,275.3,275.5,276.9,265.65,266.4,266.95,269.96,7287185,1967254045.9,61633,2137567,29.33,266.95,275.5
16,16,AMBUJACEM,EQ,23-Feb-2021,266.95,269.0,270.85,263.15,265.0,264.7,266.81,7106597,1896131062.0,48969,2583084,36.35,264.7,269.0
17,17,AMBUJACEM,EQ,24-Feb-2021,264.7,266.0,270.3,265.05,269.6,268.4,268.39,3316417,890098047.2,20796,1625885,49.03,268.4,266.0
18,18,AMBUJACEM,EQ,25-Feb-2021,268.4,271.2,281.6,271.15,281.1,279.7,274.96,9436339,2594610776.8,66661,3650417,38.68,279.7,271.2
