,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,AMBUJACEM,EQ,01-Apr-2021,308.85,311.85,313.45,307.25,310.7,311.0,310.45,4689185,1455739007.0,70721,    1088328,         23.21,311.0,311.85
1,1,AMBUJACEM,EQ,05-Apr-2021,311.0,310.4,314.9,301.55,306.9,306.05,306.96,7064466,2168486858.65,144478,    2691626,         38.10,306.05,310.4
2,2,AMBUJACEM,EQ,06-Apr-2021,306.05,307.0,309.6,303.3,305.1,305.5,306.31,4010075,1228328711.95,55413,    1771077,         44.17,305.5,307.0
3,3,AMBUJACEM,EQ,07-Apr-2021,305.5,305.7,311.3,305.5,308.3,308.65,308.76,2808495,867155565.3,45446,     872705,         31.07,308.65,305.7
4,4,AMBUJACEM,BL,08-Apr-2021,229.85,308.65,308.65,308.65,308.65,308.65,308.65,394487,121758412.55,1,-,-,308.65,308.65
5,5,AMBUJACEM,EQ,08-Apr-2021,308.65,310.0,326.9,309.3,326.55,320.8,316.0,7223424,2282585127.9,94667,    2733674,         37.84,320.8,310.0
6,6,AMBUJACEM,EQ,09-Apr-2021,320.8,326.0,329.9,314.3,315.6,316.35,320.58,13515479,4332742136.75,135714,    4480936,         33.15,316.35,326.0
7,7,AMBUJACEM,EQ,12-Apr-2021,316.35,310.9,312.2,299.55,305.95,304.3,307.44,10520709,3234445542.0,93394,    4497131,         42.75,304.3,310.9
8,8,AMBUJACEM,EQ,13-Apr-2021,304.3,305.0,309.05,298.5,302.9,302.3,303.25,5975419,1812058945.85,59105,    2395293,         40.09,302.3,305.0
9,9,AMBUJACEM,EQ,15-Apr-2021,302.3,303.0,306.5,293.0,295.0,295.2,295.93,9069002,2683799011.35,65368,    3321911,         36.63,295.2,303.0
10,10,AMBUJACEM,EQ,16-Apr-2021,295.2,296.95,305.45,295.4,301.2,300.7,300.93,5575878,1677959362.0,49038,    1358997,         24.37,300.7,296.95
11,11,AMBUJACEM,EQ,19-Apr-2021,300.7,295.0,302.25,292.4,300.55,300.95,296.93,7452061,2212751746.05,43410,    3586547,         48.13,300.95,295.0
12,12,AMBUJACEM,EQ,20-Apr-2021,300.95,309.2,313.85,292.45,294.7,295.7,300.9,12222234,3677709256.95,93900,    4024385,         32.93,295.7,309.2
13,13,AMBUJACEM,EQ,22-Apr-2021,295.7,294.9,297.3,285.3,294.95,295.6,293.51,7474006,2193666296.2,50438,    2923485,         39.12,295.6,294.9
14,14,AMBUJACEM,EQ,23-Apr-2021,295.6,293.2,298.8,292.2,295.65,295.2,296.38,6813166,2019260248.75,43202,    3340909,         49.04,295.2,293.2
15,15,AMBUJACEM,EQ,26-Apr-2021,295.2,297.0,304.5,295.25,303.45,303.35,301.79,5179998,1563265259.4,47689,    1456373,         28.12,303.35,297.0
16,16,AMBUJACEM,EQ,27-Apr-2021,303.35,303.95,307.5,302.05,307.2,306.55,305.11,3740765,1141343745.65,42729,    1287965,         34.43,306.55,303.95
17,17,AMBUJACEM,EQ,28-Apr-2021,306.55,308.4,311.25,304.5,308.75,308.85,308.02,4312684,1328374201.0,45979,    1059185,         24.56,308.85,308.4
18,18,AMBUJACEM,EQ,29-Apr-2021,308.85,311.0,315.0,307.25,314.5,314.05,311.3,6658734,2072858785.3,59044,    1883061,         28.28,314.05,311.0
