,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,AMBUJACEM,EQ,03-May-2021,309.05,304.5,312.8,301.2,311.7,311.65,308.16,6232670,1920689559.35,52472,1948176,31.26,311.65,304.5
1,1,AMBUJACEM,EQ,04-May-2021,311.65,315.0,315.0,306.2,306.5,306.95,310.8,5668182,1761682400.9,48458,1958173,34.55,306.95,315.0
2,2,AMBUJACEM,EQ,05-May-2021,306.95,310.9,312.3,307.15,311.6,311.45,310.19,2600385,806605955.55,24591,737271,28.35,311.45,310.9
3,3,AMBUJACEM,EQ,06-May-2021,311.45,313.0,316.2,310.1,313.65,314.4,313.23,3861134,1209441919.75,34454,1695605,43.91,314.4,313.0
4,4,AMBUJACEM,EQ,07-May-2021,314.4,315.0,317.8,311.1,312.0,312.25,314.75,3399984,1070134579.15,36108,923943,27.17,312.25,315.0
5,5,AMBUJACEM,EQ,10-May-2021,312.25,314.2,315.15,310.0,311.0,311.35,311.8,4632214,1444345822.15,29620,2274631,49.1,311.35,314.2
6,6,AMBUJACEM,EQ,11-May-2021,311.35,307.5,316.9,306.1,314.75,314.9,313.44,3809984,1194197591.3,33799,1293746,33.96,314.9,307.5
7,7,AMBUJACEM,EQ,12-May-2021,314.9,313.9,314.9,308.05,309.0,309.05,311.35,3974894,1237600387.8,39546,1857629,46.73,309.05,313.9
8,8,AMBUJACEM,EQ,14-May-2021,309.05,309.1,311.85,300.0,307.0,307.1,305.28,4140603,1264055506.95,44632,1544903,37.31,307.1,309.1
9,9,AMBUJACEM,EQ,17-May-2021,307.1,307.9,311.7,304.55,310.0,310.2,308.52,4763864,1469747617.8,39633,2011550,42.23,310.2,307.9
10,10,AMBUJACEM,EQ,18-May-2021,310.2,314.5,316.95,310.1,315.25,315.65,314.26,4169602,1310328480.05,51452,1544997,37.05,315.65,314.5
11,11,AMBUJACEM,EQ,19-May-2021,315.65,315.5,324.9,315.0,317.0,317.65,320.4,10886866,3488129258.25,98378,2597949,23.86,317.65,315.5
12,12,AMBUJACEM,EQ,20-May-2021,317.65,319.45,322.0,314.35,320.4,320.0,318.49,5608173,1786119293.85,48179,1968075,35.09,320.0,319.45
13,13,AMBUJACEM,EQ,21-May-2021,320.0,322.7,324.35,320.25,321.75,321.45,322.4,4039119,1302212305.85,30022,2003279,49.6,321.45,322.7
14,14,AMBUJACEM,EQ,24-May-2021,321.45,321.45,328.3,319.5,326.15,326.2,324.5,4875842,1582195052.6,38915,1535786,31.5,326.2,321.45
15,15,AMBUJACEM,EQ,25-May-2021,326.2,326.55,327.1,321.25,321.7,322.3,322.97,3511483,1134114185.2,31241,1516699,43.19,322.3,326.55
16,16,AMBUJACEM,EQ,26-May-2021,322.3,322.3,325.0,319.4,322.55,323.1,323.31,3103367,1003356622.5,27909,1204874,38.82,323.1,322.3
17,17,AMBUJACEM,EQ,27-May-2021,323.1,322.0,335.0,319.5,329.3,330.1,329.36,12478623,4110002172.6,77257,5409470,43.35,330.1,322.0
