,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,AMBUJACEM,EQ,01-Jul-2021,340.65,341.3,342.6,338.6,340.0,340.3,340.3,1909998,649965306.95,22507,976959,51.15,340.3,341.3
1,AMBUJACEM,EQ,02-Jul-2021,340.3,341.5,341.95,337.25,339.3,339.25,339.16,955697,324129570.45,15398,269974,28.25,339.25,341.5
2,AMBUJACEM,EQ,05-Jul-2021,339.25,340.8,345.25,339.5,340.75,340.3,342.18,1403833,480366496.05,20137,477992,34.05,340.3,340.8
3,AMBUJACEM,EQ,06-Jul-2021,340.3,341.3,359.95,341.3,352.7,351.85,354.47,12291310,4356921185.0,120189,1976441,16.08,351.85,341.3
4,AMBUJACEM,EQ,07-Jul-2021,351.85,353.8,358.55,350.65,357.45,357.45,354.86,4334221,1538042293.75,48140,1803232,41.6,357.45,353.8
5,AMBUJACEM,EQ,08-Jul-2021,357.45,357.7,361.85,355.75,360.85,360.75,359.62,5505696,1979953615.3,51602,2009359,36.5,360.75,357.7
6,AMBUJACEM,EQ,09-Jul-2021,360.75,360.9,364.45,357.55,363.2,363.6,361.22,2443343,882580596.05,28475,801576,32.81,363.6,360.9
7,AMBUJACEM,EQ,12-Jul-2021,363.6,364.1,376.4,363.65,372.7,371.75,372.22,6429310,2393112432.4,69454,1841805,28.65,371.75,364.1
8,AMBUJACEM,EQ,13-Jul-2021,371.75,373.55,374.3,367.2,369.05,368.95,369.81,3725976,1377907096.55,65484,2009417,53.93,368.95,373.55
9,AMBUJACEM,EQ,14-Jul-2021,368.95,370.95,375.85,368.1,373.05,373.0,372.19,4877918,1815494057.15,51208,2369047,48.57,373.0,370.95
10,AMBUJACEM,EQ,15-Jul-2021,373.0,374.0,389.0,373.7,387.55,386.2,381.43,7207046,2748949995.35,88579,2746602,38.11,386.2,374.0
11,AMBUJACEM,EQ,16-Jul-2021,386.2,387.45,387.7,381.7,384.0,383.05,383.86,3141218,1205785597.7,78492,1325852,42.21,383.05,387.45
12,AMBUJACEM,EQ,19-Jul-2021,383.05,382.3,388.35,380.4,387.95,386.55,383.71,3708612,1423025782.25,51056,1861304,50.19,386.55,382.3
13,AMBUJACEM,EQ,20-Jul-2021,386.55,391.0,408.9,387.65,403.6,404.45,400.16,16347083,6541473135.85,164780,2136743,13.07,404.45,391.0
14,AMBUJACEM,EQ,22-Jul-2021,404.45,407.25,407.25,398.1,400.5,400.2,401.21,4093799,1642483905.8,53786,1704021,41.62,400.2,407.25
15,AMBUJACEM,EQ,23-Jul-2021,400.2,403.25,409.5,400.5,402.8,402.3,405.37,7785242,3155868932.4,121907,2339154,30.05,402.3,403.25
16,AMBUJACEM,EQ,26-Jul-2021,402.3,402.5,409.5,390.95,408.05,408.1,402.23,8586195,3453663657.6,104742,2373412,27.64,408.1,402.5
17,AMBUJACEM,EQ,27-Jul-2021,408.1,408.85,414.0,401.55,408.8,408.8,408.8,7469960,3053724800.25,83572,1882705,25.2,408.8,408.85
18,AMBUJACEM,EQ,28-Jul-2021,408.8,410.45,411.7,402.95,409.25,409.4,407.83,3242782,1322493739.35,40864,1064786,32.84,409.4,410.45
19,AMBUJACEM,EQ,29-Jul-2021,409.4,411.4,413.2,405.05,408.2,408.75,408.66,3312853,1353823618.4,46207,943262,28.47,408.75,411.4
