,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,AMBUJACEM,EQ,01-Nov-2021,404.8,406.0,412.65,402.95,410.0,409.8,409.16,3997407,1635561524.7,57929,1553658,38.87,409.8,406.0
1,AMBUJACEM,EQ,02-Nov-2021,409.8,410.0,414.45,405.1,407.9,407.25,410.08,1970517,808070528.15,35755,885824,44.95,407.25,410.0
2,AMBUJACEM,EQ,03-Nov-2021,407.25,408.75,414.7,403.5,412.5,412.9,410.76,2147236,882007430.95,25927,1054228,49.1,412.9,408.75
3,AMBUJACEM,EQ,04-Nov-2021,412.9,413.2,414.7,412.25,413.35,413.2,413.22,320391,132392613.2,8171,191651,59.82,413.2,413.2
4,AMBUJACEM,EQ,08-Nov-2021,413.2,415.0,430.35,413.45,430.0,429.75,425.38,7089536,3015766577.2,145810,3622183,51.09,429.75,415.0
5,AMBUJACEM,EQ,09-Nov-2021,429.75,430.9,435.0,426.5,430.75,431.25,431.15,2378131,1025324537.55,39713,866476,36.44,431.25,430.9
6,AMBUJACEM,EQ,10-Nov-2021,431.25,427.6,433.4,424.8,426.1,428.35,429.01,2202717,944991064.25,28390,1080287,49.04,428.35,427.6
7,AMBUJACEM,EQ,11-Nov-2021,428.35,426.5,426.75,416.85,421.3,421.2,421.93,1653866,697811676.5,23993,750046,45.35,421.2,426.5
8,AMBUJACEM,EQ,12-Nov-2021,421.2,424.0,427.15,419.7,423.8,422.85,422.95,1246774,527322653.6,20222,437842,35.12,422.85,424.0
9,AMBUJACEM,EQ,15-Nov-2021,422.85,423.0,425.1,418.1,420.85,421.25,420.95,1057472,445140606.95,19887,493539,46.67,421.25,423.0
10,AMBUJACEM,EQ,16-Nov-2021,421.25,421.3,424.0,407.75,409.0,409.8,417.21,1933354,806615578.05,44401,744304,38.5,409.8,421.3
11,AMBUJACEM,EQ,17-Nov-2021,409.8,407.8,410.95,405.05,407.1,409.15,408.41,1448686,591652033.85,29182,516071,35.62,409.15,407.8
12,AMBUJACEM,EQ,18-Nov-2021,409.15,408.0,411.85,396.5,400.5,400.85,401.41,1868114,749884951.25,36448,683883,36.61,400.85,408.0
13,AMBUJACEM,EQ,22-Nov-2021,400.85,400.85,402.85,385.0,389.4,388.7,390.8,3484890,1361885781.9,79730,1976901,56.73,388.7,400.85
14,AMBUJACEM,EQ,23-Nov-2021,388.7,387.0,396.8,383.2,396.15,395.8,392.99,2061119,810004123.55,33270,844021,40.95,395.8,387.0
15,AMBUJACEM,EQ,24-Nov-2021,395.8,397.05,398.55,390.8,392.55,393.5,394.55,2461617,971235041.85,48738,1284981,52.2,393.5,397.05
16,AMBUJACEM,EQ,25-Nov-2021,393.5,392.9,393.5,389.0,390.15,390.6,391.04,997067,389897358.25,22933,402906,40.41,390.6,392.9
