"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ADANIENT","01-Jul-2022","28-Jul-2022","PE","2200","105.05","134.7","79.6","84.1","81.25","84.1","1876","21627.37","991.37","319000","102000","-"
"ADANIENT","04-Jul-2022","28-Jul-2022","PE","2200","80","82.85","64.1","65.95","65.1","65.95","1533","17415.02","552.02","409500","90500","-"
"ADANIENT","05-Jul-2022","28-Jul-2022","PE","2200","60.2","74","57.95","70.1","71.45","70.1","1662","18825.63","543.63","424500","15000","-"
"ADANIENT","06-Jul-2022","28-Jul-2022","PE","2200","67.3","69.4","54.55","56.15","55.95","56.15","1139","12877.69","348.69","415500","-9000","2272.85"
