,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,ADANIENT,EQ,02-Mar-2022,1644.45,1638.0,1664.25,1615.5,1647.0,1641.8,1648.05,1249817,2059762414.4,30797,371854,29.75,1641.8,1638.0
1,1,1,1,1,ADANIENT,EQ,03-Mar-2022,1641.8,1670.0,1678.2,1634.95,1643.8,1643.8,1658.26,1333325,2210994891.7,35854,388772,29.16,1643.8,1670.0
2,2,2,2,2,ADANIENT,EQ,04-Mar-2022,1643.8,1621.8,1655.5,1601.2,1611.0,1615.0,1625.44,1433490,2330046098.15,35706,366019,25.53,1615.0,1621.8
3,3,3,3,3,ADANIENT,EQ,07-Mar-2022,1615.0,1590.0,1592.0,1539.3,1568.9,1564.05,1564.62,1508821,2360733231.25,41888,312241,20.69,1564.05,1590.0
4,4,4,4,4,ADANIENT,EQ,08-Mar-2022,1564.05,1574.9,1607.4,1553.4,1602.0,1601.6,1585.53,1396347,2213943690.4,38500,312974,22.41,1601.6,1574.9
5,5,5,5,5,ADANIENT,EQ,09-Mar-2022,1601.6,1609.6,1669.95,1608.0,1660.0,1656.55,1641.32,1498176,2458980080.35,38209,417787,27.89,1656.55,1609.6
6,6,6,6,6,ADANIENT,EQ,10-Mar-2022,1656.55,1682.0,1749.6,1678.25,1733.0,1742.85,1723.34,2294474,3954159740.9,57105,504623,21.99,1742.85,1682.0
7,7,7,7,7,ADANIENT,EQ,11-Mar-2022,1742.85,1750.0,1757.0,1721.2,1731.0,1734.1,1737.53,1354129,2352845367.05,37195,254037,18.76,1734.1,1750.0
8,8,8,8,8,ADANIENT,EQ,14-Mar-2022,1734.1,1732.0,1752.45,1722.45,1734.0,1736.1,1735.11,659190,1143765420.45,24530,115269,17.49,1736.1,1732.0
9,9,9,9,9,ADANIENT,EQ,15-Mar-2022,1736.1,1740.0,1754.2,1686.65,1698.35,1701.4,1722.96,1085901,1870960182.15,36494,248627,22.9,1701.4,1740.0
10,10,10,10,10,ADANIENT,EQ,16-Mar-2022,1701.4,1724.0,1764.0,1718.65,1755.65,1758.0,1750.78,1269866,2223257007.25,38410,227327,17.9,1758.0,1724.0
11,11,11,11,11,ADANIENT,EQ,17-Mar-2022,1758.0,1775.6,1823.6,1760.0,1820.0,1819.65,1798.04,2392329,4301514950.9,50563,1077820,45.05,1819.65,1775.6
12,12,12,12,12,ADANIENT,EQ,21-Mar-2022,1819.65,1836.05,1841.9,1796.15,1805.0,1802.95,1812.59,1081052,1959506221.15,28646,293259,27.13,1802.95,1836.05
13,13,13,13,13,ADANIENT,EQ,22-Mar-2022,1802.95,1802.95,1837.0,1790.0,1832.0,1831.55,1815.39,964066,1750153509.3,28508,153298,15.9,1831.55,1802.95
14,14,14,14,14,ADANIENT,EQ,23-Mar-2022,1831.55,1848.05,1848.05,1800.85,1806.1,1811.0,1823.79,1553366,2833016751.1,29291,709842,45.7,1811.0,1848.05
15,15,15,15,15,ADANIENT,EQ,24-Mar-2022,1811.0,1815.0,1839.55,1800.15,1828.0,1832.8,1824.11,1030145,1879097682.45,24187,238034,23.11,1832.8,1815.0
16,16,16,16,16,ADANIENT,EQ,25-Mar-2022,1832.8,1835.55,1878.0,1822.0,1865.35,1867.0,1853.23,1366115,2531730175.8,31398,449726,32.92,1867.0,1835.55
17,17,17,17,17,ADANIENT,EQ,28-Mar-2022,1867.0,1876.9,1924.4,1851.05,1910.0,1909.7,1889.65,1895438,3581720050.0,54516,460697,24.31,1909.7,1876.9
18,18,18,18,18,ADANIENT,EQ,29-Mar-2022,1909.7,1919.25,1930.9,1885.5,1912.6,1917.25,1913.69,1715098,3282169537.95,47960,282168,16.45,1917.25,1919.25
19,19,19,19,19,ADANIENT,EQ,30-Mar-2022,1917.25,1927.7,2015.0,1917.3,1990.0,1995.25,1974.37,3215951,6349490664.4,92339,407998,12.69,1995.25,1927.7
20,20,20,20,20,ADANIENT,EQ,31-Mar-2022,1995.25,2005.0,2042.0,1991.0,2017.0,2014.75,2012.97,2786973,5610098915.65,65607,605028,21.71,2014.75,2005.0
