,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,ADANIENT,EQ,01-Jun-2022,2167.55,2169.95,2189.3,2126.0,2155.0,2150.9,2161.89,1448212,3130869748.7,41408,449344,31.03,2150.9,2169.95
1,1,1,1,1,ADANIENT,EQ,02-Jun-2022,2150.9,2155.0,2218.0,2142.3,2215.2,2209.4,2184.25,1855167,4052146726.6,48420,538123,29.01,2209.4,2155.0
2,2,2,2,2,ADANIENT,EQ,03-Jun-2022,2209.4,2235.0,2242.25,2176.05,2194.2,2190.0,2210.56,1651685,3651155580.65,37453,551092,33.37,2190.0,2235.0
3,3,3,3,3,ADANIENT,EQ,06-Jun-2022,2190.0,2188.5,2230.0,2168.2,2228.0,2225.05,2207.8,1664487,3674847417.1,44623,482411,28.98,2225.05,2188.5
4,4,4,4,4,ADANIENT,EQ,07-Jun-2022,2225.05,2210.0,2254.7,2207.05,2219.4,2227.55,2228.91,2046676,4561866190.65,57351,500846,24.47,2227.55,2210.0
5,5,5,5,5,ADANIENT,EQ,08-Jun-2022,2227.55,2244.95,2244.95,2158.55,2178.0,2177.2,2202.14,1530739,3370907212.1,49879,193778,12.66,2177.2,2244.95
6,6,6,6,6,ADANIENT,EQ,09-Jun-2022,2177.2,2160.3,2224.0,2155.0,2218.0,2219.2,2189.54,1440385,3153776345.0,33651,415241,28.83,2219.2,2160.3
7,7,7,7,7,ADANIENT,EQ,10-Jun-2022,2219.2,2190.0,2215.0,2171.0,2198.75,2203.1,2192.57,1305761,2862967553.25,38908,172711,13.23,2203.1,2190.0
8,8,8,8,8,ADANIENT,EQ,13-Jun-2022,2203.1,2172.5,2172.5,2066.75,2082.1,2079.75,2119.3,1764172,3738801994.35,55355,255622,14.49,2079.75,2172.5
9,9,9,9,9,ADANIENT,EQ,14-Jun-2022,2079.75,2274.0,2274.0,2053.1,2197.6,2196.45,2161.83,6515102,14084560292.5,184436,878680,13.49,2196.45,2274.0
10,10,10,10,10,ADANIENT,EQ,15-Jun-2022,2196.45,2218.4,2219.7,2174.2,2176.5,2184.6,2193.26,1313510,2880874633.15,46859,192599,14.66,2184.6,2218.4
11,11,11,11,11,ADANIENT,EQ,16-Jun-2022,2184.6,2205.0,2217.3,2076.05,2084.95,2083.0,2135.55,2131789,4552548349.55,61940,356132,16.71,2083.0,2205.0
12,12,12,12,12,ADANIENT,EQ,17-Jun-2022,2083.0,2062.0,2137.4,2060.15,2110.0,2095.8,2101.56,2280135,4791850335.35,68806,418656,18.36,2095.8,2062.0
13,13,13,13,13,ADANIENT,EQ,20-Jun-2022,2095.8,2107.3,2123.3,2025.0,2083.9,2079.85,2059.09,2603594,5361032432.6,69448,835095,32.07,2079.85,2107.3
14,14,14,14,14,ADANIENT,EQ,21-Jun-2022,2079.85,2100.0,2177.0,2091.65,2159.85,2161.8,2135.93,1331500,2843992227.75,44749,130221,9.78,2161.8,2100.0
15,15,15,15,15,ADANIENT,EQ,22-Jun-2022,2161.8,2149.95,2149.95,2077.1,2086.0,2089.2,2101.66,1774137,3728636003.95,64117,163476,9.21,2089.2,2149.95
16,16,16,16,16,ADANIENT,EQ,23-Jun-2022,2089.2,2105.0,2128.0,2080.0,2114.2,2110.35,2105.96,1026783,2162360064.4,36051,145745,18.46,2110.35,2105.0
17,17,17,17,17,ADANIENT,EQ,24-Jun-2022,2110.35,2121.0,2168.0,2108.6,2154.95,2161.45,2139.29,1156536,2474171038.2,33693,279634,24.18,2161.45,2121.0
18,18,18,18,18,ADANIENT,EQ,27-Jun-2022,2161.45,2189.0,2211.0,2169.35,2182.0,2181.6,2188.41,1202504,2631570083.3,37716,176413,14.67,2181.6,2189.0
19,19,19,19,19,ADANIENT,EQ,28-Jun-2022,2181.6,2170.0,2210.25,2160.0,2207.0,2204.6,2186.15,1282047,2802744750.95,37963,308815,24.09,2204.6,2170.0
20,20,20,20,20,ADANIENT,EQ,29-Jun-2022,2204.6,2185.0,2247.8,2177.2,2211.0,2220.1,2214.49,1692493,3748016616.5,52274,425486,25.14,2220.1,2185.0
21,21,21,21,21,ADANIENT,EQ,30-Jun-2022,2220.1,2220.0,2248.5,2180.5,2190.0,2190.9,2214.04,1568415,3472539125.6,46645,513755,32.76,2190.9,2220.0
