"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ADANIENT","01-Nov-2019","28-Nov-2019","CE","200","12.9","15.7","12.85","14.9","14.7","14.9","78","668.09","44.09","240000","24000","200.45"
"ADANIENT","04-Nov-2019","28-Nov-2019","CE","200","15.3","16.5","12.65","13.9","13.45","13.9","70","601.54","41.54","240000","0","200.9"
"ADANIENT","05-Nov-2019","28-Nov-2019","CE","200","12.8","13.95","12.2","12.9","12.4","12.9","63","536.8","32.8","240000","0","200.55"
"ADANIENT","06-Nov-2019","28-Nov-2019","CE","200","12.5","18.25","12.2","17.2","17","17.2","107","921.9","65.9","208000","-32000","207.55"
"ADANIENT","07-Nov-2019","28-Nov-2019","CE","200","16.3","18.5","16.3","17.3","17.3","17.3","14","121.7","9.7","188000","-20000","209.15"
"ADANIENT","08-Nov-2019","28-Nov-2019","CE","200","18.45","18.5","15","15.3","15.9","15.3","16","138.84","10.84","176000","-12000","208.05"
"ADANIENT","11-Nov-2019","28-Nov-2019","CE","200","15.35","16.9","15","16.7","16.75","16.7","7","60.5","4.5","168000","-8000","210.85"
"ADANIENT","13-Nov-2019","28-Nov-2019","CE","200","15.2","15.2","6.7","8.25","8.05","8.25","317","2640","104","388000","220000","198.2"
"ADANIENT","14-Nov-2019","28-Nov-2019","CE","200","7","10.65","6.05","9.85","9.65","9.85","178","1487.17","63.17","324000","-64000","202.3"
"ADANIENT","15-Nov-2019","28-Nov-2019","CE","200","10.5","11.15","9.3","10","10.15","10","59","496.17","24.17","312000","-12000","203.6"
"ADANIENT","18-Nov-2019","28-Nov-2019","CE","200","9.5","10.75","8.1","8.3","8.35","8.3","32","268.06","12.06","276000","-36000","201.15"
"ADANIENT","19-Nov-2019","28-Nov-2019","CE","200","7.6","8.2","5.05","6.6","6.5","6.6","162","1337.84","41.84","336000","60000","199.7"
"ADANIENT","20-Nov-2019","28-Nov-2019","CE","200","6","11","6","10.25","9.8","10.25","119","991.86","39.86","360000","24000","205.7"
"ADANIENT","21-Nov-2019","28-Nov-2019","CE","200","8.5","12.6","7.5","9.35","9.95","9.35","39","328.31","16.31","352000","-8000","205.5"
"ADANIENT","22-Nov-2019","28-Nov-2019","CE","200","6.4","8.95","4.95","7.4","6.85","7.4","26","215.19","7.19","376000","24000","203.45"
"ADANIENT","25-Nov-2019","28-Nov-2019","CE","200","7.45","16.55","7.45","16.25","16.15","16.25","30","256.85","16.85","300000","-76000","215.2"
"ADANIENT","26-Nov-2019","28-Nov-2019","CE","200","15.85","17","9.05","10.55","10.55","11.05","31","262.12","14.12","244000","-56000","210.6"
"ADANIENT","27-Nov-2019","28-Nov-2019","CE","200","11.9","15","11","12.5","12.1","12.5","20","170.14","10.14","204000","-40000","213.55"
"ADANIENT","28-Nov-2019","28-Nov-2019","CE","200","12.1","15.95","10.6","13.2","13.05","0","48","412.17","28.17","144000","-60000","213.1"
