,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,ADANIENT,EQ,01-Mar-2019,128.85,130.35,135.2,128.85,133.0,133.85,132.7,7738116,1026822812.35,37896,2687187,34.73,133.85,130.35
1,1,1,1,ADANIENT,EQ,05-Mar-2019,133.85,132.5,143.7,132.0,140.0,141.8,139.24,7598974,1058072337.45,45175,1676779,22.07,141.8,132.5
2,2,2,2,ADANIENT,EQ,06-Mar-2019,141.8,142.75,143.75,138.2,138.7,139.25,140.48,4856085,682183468.1,25264,991160,20.41,139.25,142.75
3,3,3,3,ADANIENT,EQ,07-Mar-2019,139.25,139.0,140.95,135.3,136.95,136.9,138.23,3496617,483329484.25,21476,303933,8.69,136.9,139.0
4,4,4,4,ADANIENT,EQ,08-Mar-2019,136.9,135.75,139.35,135.4,137.55,138.2,137.54,3681442,506327795.5,26547,376494,10.23,138.2,135.75
5,5,5,5,ADANIENT,EQ,11-Mar-2019,138.2,137.85,140.95,137.6,139.15,139.05,139.49,2550759,355797755.5,14684,454103,17.8,139.05,137.85
6,6,6,6,ADANIENT,EQ,12-Mar-2019,139.05,140.5,150.75,140.05,147.7,148.4,146.61,12543653,1839074183.75,66627,1654076,13.19,148.4,140.5
7,7,7,7,ADANIENT,EQ,13-Mar-2019,148.4,148.4,150.4,145.4,147.4,147.35,147.57,5700158,841158930.7,31730,596200,10.46,147.35,148.4
8,8,8,8,ADANIENT,EQ,14-Mar-2019,147.35,147.4,149.2,143.6,144.65,145.55,145.77,4052596,590758829.3,21383,568347,14.02,145.55,147.4
9,9,9,9,ADANIENT,EQ,15-Mar-2019,145.55,145.8,148.9,140.25,141.3,141.85,144.34,5981701,863422330.55,30571,699830,11.7,141.85,145.8
10,10,10,10,ADANIENT,EQ,18-Mar-2019,141.85,142.4,145.0,140.35,143.8,143.9,142.61,4934286,703674666.1,24964,500726,10.15,143.9,142.4
11,11,11,11,ADANIENT,EQ,19-Mar-2019,143.9,144.45,144.85,140.5,140.9,142.0,142.52,4320808,615802651.0,24731,576685,13.35,142.0,144.45
12,12,12,12,ADANIENT,EQ,20-Mar-2019,142.0,142.0,142.7,138.05,138.9,139.45,140.39,3242462,455218805.2,17519,527179,16.26,139.45,142.0
13,13,13,13,ADANIENT,EQ,22-Mar-2019,139.45,140.7,141.45,137.05,137.4,138.25,139.06,3147147,437645891.8,19336,438835,13.94,138.25,140.7
14,14,14,14,ADANIENT,EQ,25-Mar-2019,138.25,137.0,137.6,133.5,133.8,134.35,135.39,2977535,403136206.55,16212,833496,27.99,134.35,137.0
15,15,15,15,ADANIENT,EQ,26-Mar-2019,134.35,134.9,140.0,133.4,138.0,138.3,137.92,4180951,576624529.55,22228,559584,13.38,138.3,134.9
16,16,16,16,ADANIENT,EQ,27-Mar-2019,138.3,138.55,140.95,136.25,138.0,137.5,138.52,2778662,384904349.6,17700,447305,16.1,137.5,138.55
17,17,17,17,ADANIENT,EQ,28-Mar-2019,137.5,138.45,143.15,136.3,137.9,137.8,139.87,3966292,554773318.6,21095,752155,18.96,137.8,138.45
