,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,ADANIENT,EQ,01-Oct-2019,145.85,146.1,147.7,140.5,143.45,143.65,144.37,3732047,538810712.85,16300,430594,11.54,143.65,146.1
1,1,ADANIENT,EQ,03-Oct-2019,143.65,143.0,145.0,141.4,142.85,143.55,143.2,2070232,296454352.75,11122,168395,8.13,143.55,143.0
2,2,ADANIENT,EQ,04-Oct-2019,143.55,143.95,144.5,137.55,137.9,140.0,142.0,2382805,338348536.35,11951,437979,18.38,140.0,143.95
3,3,ADANIENT,EQ,07-Oct-2019,140.0,138.45,140.0,135.25,135.5,135.8,137.22,2701943,370748869.45,12557,378976,14.03,135.8,138.45
4,4,ADANIENT,EQ,09-Oct-2019,135.8,134.95,139.65,134.1,138.4,139.0,136.82,2682715,367061579.3,15509,294052,10.96,139.0,134.95
5,5,ADANIENT,EQ,10-Oct-2019,139.0,138.0,139.1,135.3,136.75,137.4,137.04,2413888,330810348.5,13319,215325,8.92,137.4,138.0
6,6,ADANIENT,EQ,11-Oct-2019,137.4,137.45,138.8,134.6,136.4,136.95,136.6,2780875,379879927.7,12898,353243,12.7,136.95,137.45
7,7,ADANIENT,EQ,14-Oct-2019,136.95,137.9,152.4,137.0,146.95,147.1,146.09,10795909,1577144711.85,55796,1319302,12.22,147.1,137.9
8,8,ADANIENT,EQ,15-Oct-2019,147.1,147.7,155.85,146.6,154.9,155.0,152.42,11048872,1684046273.75,62824,839703,7.6,155.0,147.7
9,9,ADANIENT,EQ,16-Oct-2019,155.0,155.0,160.9,155.0,159.85,160.15,158.27,9587304,1517415199.1,59372,746825,7.79,160.15,155.0
10,10,ADANIENT,EQ,17-Oct-2019,160.15,159.8,165.0,157.65,163.0,162.55,161.14,6523046,1051138372.85,31817,993064,15.22,162.55,159.8
11,11,ADANIENT,EQ,18-Oct-2019,162.55,174.9,175.8,165.1,174.2,175.1,171.54,14162661,2429532220.05,76434,1476099,10.42,175.1,174.9
12,12,ADANIENT,EQ,22-Oct-2019,175.1,174.5,180.0,173.4,178.4,178.65,177.84,7909839,1406654337.9,33677,1418332,17.93,178.65,174.5
13,13,ADANIENT,EQ,23-Oct-2019,178.65,178.75,178.75,172.4,175.8,176.45,175.63,4743985,833179725.2,25735,492071,10.37,176.45,178.75
14,14,ADANIENT,EQ,24-Oct-2019,176.45,175.0,180.0,174.3,179.5,179.0,177.27,4753708,842684897.95,26028,595442,12.53,179.0,175.0
15,15,ADANIENT,EQ,25-Oct-2019,179.0,179.5,183.7,177.2,180.65,181.3,181.1,7857185,1422963394.95,42181,1040633,13.24,181.3,179.5
16,16,ADANIENT,EQ,27-Oct-2019,181.3,182.9,184.25,182.0,182.8,183.4,183.15,1003414,183774395.3,6284,297357,29.63,183.4,182.9
17,17,ADANIENT,EQ,29-Oct-2019,183.4,182.8,197.0,182.35,192.95,195.55,191.58,9534790,1826682713.7,48833,1087990,11.41,195.55,182.8
18,18,ADANIENT,EQ,30-Oct-2019,195.55,194.35,197.45,192.3,194.9,195.75,195.0,4791525,934371232.95,35683,766329,15.99,195.75,194.35
19,19,ADANIENT,EQ,31-Oct-2019,195.75,196.7,201.3,196.0,197.45,199.65,198.79,6584768,1308967220.75,36959,1296429,19.69,199.65,196.7
