,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,ADANIENT,EQ,03-Sep-2019,137.35,135.6,136.9,133.0,133.25,135.25,135.55,3477541,471385820.35,15715,643606,18.51,135.25,135.6
1,1,ADANIENT,EQ,04-Sep-2019,135.25,134.6,135.5,130.6,134.25,134.95,133.27,4313711,574908306.6,23172,480193,11.13,134.95,134.6
2,2,ADANIENT,EQ,05-Sep-2019,134.95,135.0,138.65,133.35,135.35,135.75,135.8,6840367,928945875.25,33247,738854,10.8,135.75,135.0
3,3,ADANIENT,EQ,06-Sep-2019,135.75,135.4,138.45,135.05,137.65,137.75,136.8,3744649,512276334.7,16142,606761,16.2,137.75,135.4
4,4,ADANIENT,EQ,09-Sep-2019,137.75,137.8,141.75,136.35,140.05,140.9,139.76,4349296,607855209.95,18303,710587,16.34,140.9,137.8
5,5,ADANIENT,EQ,11-Sep-2019,140.9,140.05,144.9,140.05,143.5,143.95,142.96,4245005,606870046.7,18344,1023488,24.11,143.95,140.05
6,6,ADANIENT,EQ,12-Sep-2019,143.95,144.85,146.3,142.05,142.45,143.05,143.75,3500479,503194921.45,18234,455615,13.02,143.05,144.85
7,7,ADANIENT,EQ,13-Sep-2019,143.05,143.0,146.9,140.55,145.3,145.75,143.92,3561056,512489586.3,18665,423283,11.89,145.75,143.0
8,8,ADANIENT,EQ,16-Sep-2019,145.75,144.0,147.2,143.15,145.45,145.95,145.57,3713796,540625710.75,21969,347517,9.36,145.95,144.0
9,9,ADANIENT,EQ,17-Sep-2019,145.95,145.5,147.9,142.4,143.45,143.75,145.18,4167662,605060423.0,20490,919202,22.06,143.75,145.5
10,10,ADANIENT,EQ,18-Sep-2019,143.75,144.0,146.0,142.1,145.0,144.15,144.15,3465608,499550406.85,18688,381321,11.0,144.15,144.0
11,11,ADANIENT,EQ,19-Sep-2019,144.15,143.95,144.9,140.5,142.0,142.55,142.45,2662885,379336598.9,11865,284046,10.67,142.55,143.95
12,12,ADANIENT,EQ,20-Sep-2019,142.55,143.0,152.1,141.3,148.0,149.1,148.12,7545363,1117587702.55,33241,1715763,22.74,149.1,143.0
13,13,ADANIENT,EQ,23-Sep-2019,149.1,154.0,154.0,147.55,149.5,152.4,150.91,4136992,624319958.3,19040,784348,18.96,152.4,154.0
14,14,ADANIENT,EQ,24-Sep-2019,152.4,151.25,153.0,145.4,147.2,148.05,148.99,4576924,681934178.9,24217,598344,13.07,148.05,151.25
15,15,ADANIENT,EQ,25-Sep-2019,148.05,149.7,151.0,145.5,147.1,147.55,148.45,4572108,678709978.8,27829,443957,9.71,147.55,149.7
16,16,ADANIENT,EQ,26-Sep-2019,147.55,148.45,155.4,146.65,151.9,152.7,152.2,7013490,1067472084.1,34442,1330315,18.97,152.7,148.45
