,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,ADANIENT,EQ,01-Jul-2019,150.5,150.65,155.6,148.05,153.95,154.1,152.49,6182608,942776917.85,33086,540672,8.75,154.1,150.65
1,1,1,1,ADANIENT,EQ,02-Jul-2019,154.1,154.9,158.2,151.4,154.2,154.7,154.71,11741576,1816562620.15,66615,1562165,13.3,154.7,154.9
2,2,2,2,ADANIENT,EQ,03-Jul-2019,154.7,156.4,157.6,154.2,154.8,155.6,155.67,5661251,881287819.3,33800,633265,11.19,155.6,156.4
3,3,3,3,ADANIENT,EQ,04-Jul-2019,155.6,160.1,161.8,154.3,155.4,156.1,158.3,15687573,2483386013.9,79690,2441100,15.56,156.1,160.1
4,4,4,4,ADANIENT,EQ,05-Jul-2019,156.1,156.3,156.85,145.85,146.8,147.3,151.21,6607087,999079096.2,39721,1212906,18.36,147.3,156.3
5,5,5,5,ADANIENT,EQ,08-Jul-2019,147.3,143.25,146.25,137.55,139.1,138.9,141.66,5896584,835294700.75,34336,645817,10.95,138.9,143.25
6,6,6,6,ADANIENT,EQ,09-Jul-2019,138.9,138.05,143.2,135.75,142.1,141.15,139.82,7317997,1023192143.75,41597,530977,7.26,141.15,138.05
7,7,7,7,ADANIENT,EQ,10-Jul-2019,141.15,142.0,142.5,137.25,138.95,139.35,139.44,5548654,773722873.05,26350,628104,11.32,139.35,142.0
8,8,8,8,ADANIENT,EQ,11-Jul-2019,139.35,140.5,141.85,137.5,140.35,141.0,139.93,5098558,713444106.55,26841,670366,13.15,141.0,140.5
9,9,9,9,ADANIENT,EQ,12-Jul-2019,141.0,141.0,143.45,137.8,140.9,140.3,140.39,6678610,937621322.3,33490,541963,8.11,140.3,141.0
10,10,10,10,ADANIENT,EQ,15-Jul-2019,140.3,141.0,141.7,136.1,137.45,137.95,138.16,4491271,620530600.25,24662,566124,12.6,137.95,141.0
11,11,11,11,ADANIENT,EQ,16-Jul-2019,137.95,137.9,140.95,136.6,139.9,140.15,139.03,4954078,688742991.65,25483,664499,13.41,140.15,137.9
12,12,12,12,ADANIENT,EQ,17-Jul-2019,140.15,140.2,141.0,137.0,137.55,138.05,138.73,3984405,552764447.05,24201,553508,13.89,138.05,140.2
13,13,13,13,ADANIENT,EQ,18-Jul-2019,138.05,137.7,137.95,133.35,134.15,134.2,135.42,4247055,575152398.75,23921,685707,16.15,134.2,137.7
14,14,14,14,ADANIENT,EQ,19-Jul-2019,134.2,134.25,135.2,130.3,132.2,131.4,131.92,4256095,561481118.65,27023,391376,9.2,131.4,134.25
15,15,15,15,ADANIENT,EQ,22-Jul-2019,131.4,130.75,134.2,128.7,131.6,131.65,131.57,5467444,719324405.2,27681,547397,10.01,131.65,130.75
16,16,16,16,ADANIENT,EQ,23-Jul-2019,131.65,131.45,135.95,130.75,134.4,134.05,133.73,5753483,769396876.7,28265,1165877,20.26,134.05,131.45
17,17,17,17,ADANIENT,EQ,24-Jul-2019,134.05,133.45,134.0,127.85,129.45,129.8,130.04,5403438,702658790.25,23638,738537,13.67,129.8,133.45
18,18,18,18,ADANIENT,EQ,25-Jul-2019,129.8,130.5,131.3,127.75,129.25,129.4,129.51,3977652,515133235.85,19142,396550,9.97,129.4,130.5
