,Close,Open,Date,Symbol
0,164.2,160.45,03-Jun-2019,VEDL
1,165.9,164.3,04-Jun-2019,VEDL
2,163.1,165.9,06-Jun-2019,VEDL
3,164.2,163.2,07-Jun-2019,VEDL
4,165.2,167.1,10-Jun-2019,VEDL
5,169.35,166.1,11-Jun-2019,VEDL
6,170.1,168.95,12-Jun-2019,VEDL
7,168.45,170.0,13-Jun-2019,VEDL
8,169.55,168.5,14-Jun-2019,VEDL
9,164.05,168.95,17-Jun-2019,VEDL
10,168.1,164.0,18-Jun-2019,VEDL
11,168.5,170.55,19-Jun-2019,VEDL
12,172.0,168.9,20-Jun-2019,VEDL
13,172.4,171.95,21-Jun-2019,VEDL
14,168.45,172.5,24-Jun-2019,VEDL
15,170.35,168.15,25-Jun-2019,VEDL
16,177.85,169.1,26-Jun-2019,VEDL
17,176.85,179.0,27-Jun-2019,VEDL
