"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"VEDL","02-Dec-2019","26-Dec-2019","PE","140","3.6","4","3","3.5","3.6","3.5","183","787.75","19.15","687000","93000","144.7"
"VEDL","03-Dec-2019","26-Dec-2019","PE","140","4","5.75","4","5.4","5.3","5.4","812","3535.96","125.56","711000","24000","139.7"
"VEDL","04-Dec-2019","26-Dec-2019","PE","140","6.7","7.3","3.65","3.95","4","3.95","677","2944.61","101.21","834000","123000","144.2"
"VEDL","05-Dec-2019","26-Dec-2019","PE","140","3.9","4.7","3.6","4.3","4.5","4.3","299","1292.6","36.8","828000","-6000","142.5"
"VEDL","06-Dec-2019","26-Dec-2019","PE","140","4.15","5.1","3.6","4.55","4.3","4.55","354","1535.11","48.31","816000","-12000","141.95"
"VEDL","09-Dec-2019","26-Dec-2019","PE","140","3.85","4.35","2.7","3.6","3.6","3.6","265","1139.18","26.18","798000","-18000","142.6"
"VEDL","10-Dec-2019","26-Dec-2019","PE","140","3.6","4.55","3.5","4.4","4.4","4.4","246","1062.63","29.43","816000","18000","140.85"
"VEDL","11-Dec-2019","26-Dec-2019","PE","140","4.4","6.45","3.7","5.25","5.1","5.25","382","1661.59","57.19","867000","51000","138.5"
"VEDL","12-Dec-2019","26-Dec-2019","PE","140","4.7","4.9","2.2","2.4","2.45","2.4","505","2165.48","44.48","1029000","162000","144"
"VEDL","13-Dec-2019","26-Dec-2019","PE","140","1.95","1.95","1","1.3","1.25","1.3","620","2627.37","23.37","1119000","90000","149.4"
"VEDL","16-Dec-2019","26-Dec-2019","PE","140","1.2","1.55","1","1.3","1.2","1.3","501","2123.64","19.44","1164000","45000","147.15"
"VEDL","17-Dec-2019","26-Dec-2019","PE","140","1","1.05","0.5","0.65","0.6","0.65","739","3118.62","14.82","1344000","180000","152.35"
"VEDL","18-Dec-2019","26-Dec-2019","PE","140","0.65","0.8","0.45","0.6","0.55","0.6","419","1767.76","7.96","1350000","6000","152.8"
"VEDL","19-Dec-2019","26-Dec-2019","PE","140","0.55","0.7","0.4","0.55","0.55","0.55","472","1989.9","7.5","1275000","-75000","149.35"
"VEDL","20-Dec-2019","26-Dec-2019","PE","140","0.45","1.35","0.45","1.05","0.85","1.05","1096","4630.44","27.24","1722000","447000","144.25"
"VEDL","23-Dec-2019","26-Dec-2019","PE","140","1.05","1.05","0.15","0.2","0.15","0.2","770","3243.07","9.07","1593000","-129000","147.75"
"VEDL","24-Dec-2019","26-Dec-2019","PE","140","0.2","0.2","0.05","0.05","0.05","0.05","277","1164.03",".63","1308000","-285000","148.05"
"VEDL","26-Dec-2019","26-Dec-2019","PE","140","0.05","0.05","0.05","0.05","0.05","0","46","193.27",".07","1254000","-54000","150.7"
