,Close,Open,Date,Symbol
0,151.3,154.4,01-Oct-2019,VEDL
1,144.4,149.0,03-Oct-2019,VEDL
2,143.3,145.75,04-Oct-2019,VEDL
3,142.65,144.0,07-Oct-2019,VEDL
4,145.7,142.0,09-Oct-2019,VEDL
5,141.15,143.9,10-Oct-2019,VEDL
6,147.05,142.55,11-Oct-2019,VEDL
7,147.8,148.75,14-Oct-2019,VEDL
8,153.5,147.15,15-Oct-2019,VEDL
9,149.9,153.75,16-Oct-2019,VEDL
10,148.3,148.05,17-Oct-2019,VEDL
11,150.25,148.4,18-Oct-2019,VEDL
12,149.15,150.6,22-Oct-2019,VEDL
13,146.25,149.0,23-Oct-2019,VEDL
14,145.7,147.0,24-Oct-2019,VEDL
15,142.2,145.95,25-Oct-2019,VEDL
16,144.65,144.1,27-Oct-2019,VEDL
17,149.5,145.55,29-Oct-2019,VEDL
18,150.1,151.45,30-Oct-2019,VEDL
19,148.35,151.0,31-Oct-2019,VEDL
