,Close,Open,Date,Symbol
0,162.15,179.65,01-Feb-2019,VEDL
1,161.35,162.8,04-Feb-2019,VEDL
2,162.6,159.3,05-Feb-2019,VEDL
3,163.75,163.35,06-Feb-2019,VEDL
4,163.45,162.95,07-Feb-2019,VEDL
5,154.15,162.3,08-Feb-2019,VEDL
6,152.15,153.7,11-Feb-2019,VEDL
7,152.85,151.9,12-Feb-2019,VEDL
8,150.7,153.9,13-Feb-2019,VEDL
9,151.75,150.5,14-Feb-2019,VEDL
10,147.3,151.05,15-Feb-2019,VEDL
11,148.0,148.85,18-Feb-2019,VEDL
12,153.1,148.1,19-Feb-2019,VEDL
13,160.25,154.0,20-Feb-2019,VEDL
14,164.6,161.7,21-Feb-2019,VEDL
15,169.65,164.45,22-Feb-2019,VEDL
16,171.25,171.0,25-Feb-2019,VEDL
17,169.7,168.7,26-Feb-2019,VEDL
18,164.65,170.0,27-Feb-2019,VEDL
19,169.4,166.5,28-Feb-2019,VEDL
