,Close,Open,Date,Symbol
0,168.3,165.9,02-May-2019,VEDL
1,167.7,168.7,03-May-2019,VEDL
2,166.75,164.0,06-May-2019,VEDL
3,163.5,167.3,07-May-2019,VEDL
4,159.4,160.5,08-May-2019,VEDL
5,157.15,159.0,09-May-2019,VEDL
6,155.95,158.4,10-May-2019,VEDL
7,154.2,156.3,13-May-2019,VEDL
8,160.75,153.3,14-May-2019,VEDL
9,160.05,161.7,15-May-2019,VEDL
10,163.5,161.3,16-May-2019,VEDL
11,160.95,163.15,17-May-2019,VEDL
12,167.1,165.0,20-May-2019,VEDL
13,165.45,168.4,21-May-2019,VEDL
14,166.3,165.45,22-May-2019,VEDL
15,157.35,168.45,23-May-2019,VEDL
16,163.9,159.0,24-May-2019,VEDL
17,166.5,164.45,27-May-2019,VEDL
18,169.55,166.5,28-May-2019,VEDL
19,165.85,168.5,29-May-2019,VEDL
20,164.0,165.25,30-May-2019,VEDL
