,Close,Open,Date,Symbol
0,145.45,152.2,01-Aug-2019,VEDL
1,143.0,141.9,02-Aug-2019,VEDL
2,140.7,140.3,05-Aug-2019,VEDL
3,140.8,139.3,06-Aug-2019,VEDL
4,136.65,140.0,07-Aug-2019,VEDL
5,138.7,137.0,08-Aug-2019,VEDL
6,141.5,139.0,09-Aug-2019,VEDL
7,139.75,138.0,13-Aug-2019,VEDL
8,146.55,140.6,14-Aug-2019,VEDL
9,144.4,144.35,16-Aug-2019,VEDL
10,144.3,145.4,19-Aug-2019,VEDL
11,142.4,143.8,20-Aug-2019,VEDL
12,139.95,141.1,21-Aug-2019,VEDL
13,129.05,138.6,22-Aug-2019,VEDL
14,137.4,129.3,23-Aug-2019,VEDL
15,135.05,136.5,26-Aug-2019,VEDL
16,138.1,136.7,27-Aug-2019,VEDL
17,132.35,138.1,28-Aug-2019,VEDL
18,135.75,132.7,29-Aug-2019,VEDL
