,Close,Open,Date,Symbol
0,153.05,148.45,01-Nov-2019,VEDL
1,157.6,156.55,04-Nov-2019,VEDL
2,157.5,159.6,05-Nov-2019,VEDL
3,157.95,157.0,06-Nov-2019,VEDL
4,160.95,158.95,07-Nov-2019,VEDL
5,155.5,160.2,08-Nov-2019,VEDL
6,152.7,155.35,11-Nov-2019,VEDL
7,148.4,152.4,13-Nov-2019,VEDL
8,144.0,150.0,14-Nov-2019,VEDL
9,142.1,145.8,15-Nov-2019,VEDL
10,143.4,143.0,18-Nov-2019,VEDL
11,141.7,143.75,19-Nov-2019,VEDL
12,141.45,141.35,20-Nov-2019,VEDL
13,139.05,142.0,21-Nov-2019,VEDL
14,142.25,139.5,22-Nov-2019,VEDL
15,146.15,142.25,25-Nov-2019,VEDL
16,145.1,147.0,26-Nov-2019,VEDL
17,146.95,145.0,27-Nov-2019,VEDL
18,147.4,146.7,28-Nov-2019,VEDL
