,Close,Open,Date,Symbol
0,188.9,187.4,01-Apr-2019,VEDL
1,187.9,190.6,02-Apr-2019,VEDL
2,185.8,188.8,03-Apr-2019,VEDL
3,187.2,185.25,04-Apr-2019,VEDL
4,191.7,188.7,05-Apr-2019,VEDL
5,186.65,194.1,08-Apr-2019,VEDL
6,190.0,186.9,09-Apr-2019,VEDL
7,188.5,188.9,10-Apr-2019,VEDL
8,181.15,188.45,11-Apr-2019,VEDL
9,183.9,181.45,12-Apr-2019,VEDL
10,184.7,184.9,15-Apr-2019,VEDL
11,184.95,185.2,16-Apr-2019,VEDL
12,178.6,185.3,18-Apr-2019,VEDL
13,175.0,178.9,22-Apr-2019,VEDL
14,174.8,175.2,23-Apr-2019,VEDL
15,174.8,174.95,24-Apr-2019,VEDL
16,170.45,174.6,25-Apr-2019,VEDL
