,Close,Open,Date,Symbol
0,144.7,144.6,02-Dec-2019,VEDL
1,139.7,144.5,03-Dec-2019,VEDL
2,144.2,138.2,04-Dec-2019,VEDL
3,142.5,145.0,05-Dec-2019,VEDL
4,141.95,143.3,06-Dec-2019,VEDL
5,142.6,142.7,09-Dec-2019,VEDL
6,140.85,143.2,10-Dec-2019,VEDL
7,138.5,141.65,11-Dec-2019,VEDL
8,144.0,140.0,12-Dec-2019,VEDL
9,149.4,147.6,13-Dec-2019,VEDL
10,147.15,149.5,16-Dec-2019,VEDL
11,152.35,148.05,17-Dec-2019,VEDL
12,152.8,152.3,18-Dec-2019,VEDL
13,149.35,152.5,19-Dec-2019,VEDL
14,144.25,149.8,20-Dec-2019,VEDL
15,147.75,145.0,23-Dec-2019,VEDL
16,148.05,148.35,24-Dec-2019,VEDL
17,150.7,148.3,26-Dec-2019,VEDL
