,Close,Open,Date,Symbol
0,173.45,172.45,01-Mar-2019,VEDL
1,174.95,172.95,05-Mar-2019,VEDL
2,178.5,177.65,06-Mar-2019,VEDL
3,176.05,178.95,07-Mar-2019,VEDL
4,172.35,174.8,08-Mar-2019,VEDL
5,177.1,174.0,11-Mar-2019,VEDL
6,178.45,178.9,12-Mar-2019,VEDL
7,171.6,178.0,13-Mar-2019,VEDL
8,173.6,171.7,14-Mar-2019,VEDL
9,175.7,173.2,15-Mar-2019,VEDL
10,173.3,175.0,18-Mar-2019,VEDL
11,172.7,172.1,19-Mar-2019,VEDL
12,174.55,174.25,20-Mar-2019,VEDL
13,174.55,174.55,22-Mar-2019,VEDL
14,173.9,174.2,22-Mar-2019,VEDL
15,168.25,170.7,25-Mar-2019,VEDL
16,173.6,170.0,26-Mar-2019,VEDL
17,175.45,175.3,27-Mar-2019,VEDL
18,178.05,177.0,28-Mar-2019,VEDL
