,Close,Open,Date,Symbol
0,134.15,139.25,03-Sep-2019,VEDL
1,136.7,135.0,04-Sep-2019,VEDL
2,139.3,139.1,05-Sep-2019,VEDL
3,141.8,140.3,06-Sep-2019,VEDL
4,141.25,141.95,09-Sep-2019,VEDL
5,146.3,144.9,11-Sep-2019,VEDL
6,145.45,146.9,12-Sep-2019,VEDL
7,149.3,146.0,13-Sep-2019,VEDL
8,148.65,147.95,16-Sep-2019,VEDL
9,145.4,149.8,17-Sep-2019,VEDL
10,149.7,146.0,18-Sep-2019,VEDL
11,146.15,149.0,19-Sep-2019,VEDL
12,158.95,147.6,20-Sep-2019,VEDL
13,157.9,164.0,23-Sep-2019,VEDL
14,159.95,158.25,24-Sep-2019,VEDL
15,156.2,157.0,25-Sep-2019,VEDL
16,166.1,157.2,26-Sep-2019,VEDL
