Date,Expiry,Strike Price,Returns,Alpha,Alpha-Mean,Ratio
07-Jan-2019,31-Jan-2019,200,4.958677685950411,-0.6093023255813964,-0.6649218824197648,0.9163517424994959
08-Jan-2019,31-Jan-2019,200,-21.428571428571427,-0.4728260869565212,-0.6753363003702444,0.7001342689520768
09-Jan-2019,31-Jan-2019,200,-4.545454545454546,-0.544041450777202,-0.5729665709954492,0.9495169148036091
10-Jan-2019,31-Jan-2019,200,2.8037383177570163,-0.5083798882681577,-0.5420566211050399,0.9378722968677541
11-Jan-2019,31-Jan-2019,200,-26.470588235294112,-0.4303797468354437,-0.5084158086672935,0.8465113387476972
14-Jan-2019,31-Jan-2019,200,44.04761904761904,-0.6847290640394077,-0.49426702862693445,1.3853423845437831
16-Jan-2019,31-Jan-2019,200,-9.000000000000004,-0.4933333333333318,-0.4333275868182274,1.1384766360150425
17-Jan-2019,31-Jan-2019,200,-11.11111111111112,-0.3923076923076941,-0.4543121156508569,0.8635202073483469
18-Jan-2019,31-Jan-2019,200,-15.238095238095234,-0.22033898305084937,-0.35683832507361896,0.6174756677422232
21-Jan-2019,31-Jan-2019,200,-46.15384615384615,-0.2672413793103468,-0.3686600028972917,0.7248993034506105
24-Jan-2019,31-Jan-2019,200,-20.833333333333336,-0.8024691358024691,-0.6425657773421201,1.2488513458058195
25-Jan-2019,31-Jan-2019,200,-42.50000000000001,-0.7464788732394383,-0.8209750295061609,0.9092589255588759
28-Jan-2019,31-Jan-2019,200,129.99999999999997,-0.9714285714285714,-0.7986689441904393,1.2163094339585818
29-Jan-2019,31-Jan-2019,200,-20.833333333333336,-0.9018404907975452,-0.840125526823493,1.073459217704521
30-Jan-2019,31-Jan-2019,200,-90.0,-0.9365079365079374,-0.8732493118218517,1.0724405090616216
13-Feb-2019,28-Feb-2019,160,50.0,-0.8266666666666677,-0.6597780737417337,1.2529465581941444
14-Feb-2019,28-Feb-2019,160,-25.67567567567568,-0.75,-0.757251437516468,0.990424002970202
15-Feb-2019,28-Feb-2019,160,-24.561403508771935,-0.8850174216027867,-0.7627031509121066,1.16036943146807
18-Feb-2019,28-Feb-2019,160,16.66666666666667,-0.9195402298850575,-0.8205613627564848,1.1206233581314091
19-Feb-2019,28-Feb-2019,160,75.47169811320757,-0.7666666666666673,-0.8515192171626147,0.9003515730640955
26-Feb-2019,28-Feb-2019,160,-53.44827586206896,17.636363636363615,12.050980392156864,1.4634795728189787
07-Mar-2019,28-Mar-2019,170,-17.15976331360946,1.3152173913043503,1.1574041263091568,1.1363510474931897
14-Mar-2019,28-Mar-2019,170,8.17610062893081,0.9729729729729714,1.7609300213115304,0.5525335823670646
15-Mar-2019,28-Mar-2019,170,-3.3333333333333335,1.9655172413793065,1.4090638694453788,1.3949099710809796
18-Mar-2019,28-Mar-2019,170,6.400000000000006,1.0000000000000036,1.09297191542239,0.9149365925047978
19-Mar-2019,28-Mar-2019,170,0.0,0.8852459016393406,1.3128300714507606,0.6743034920437857
25-Mar-2019,28-Mar-2019,170,86.27450980392159,1.0540540540540555,1.9015860322537677,0.5543025854080271
04-Apr-2019,25-Apr-2019,180,18.283582089552233,1.8701298701298672,1.8152226345607483,1.0302482100673043
08-Apr-2019,25-Apr-2019,180,13.821138211382108,1.9000000000000017,2.6130062530062514,0.7271318229009444
10-Apr-2019,25-Apr-2019,180,-33.01435406698564,2.982456140350877,3.743720930232557,0.7966555723387239
15-Apr-2019,25-Apr-2019,180,-18.37837837837838,2.0888888888888837,1.5126705653021453,1.380927835051542
24-Apr-2019,25-Apr-2019,180,-80.0,-1.0297029702970275,-0.7350097804226242,1.4009377803176406
17-May-2019,30-May-2019,160,11.557788944723622,0.1461538461538444,0.23008482475764402,0.6352172348080457
07-Jun-2019,27-Jun-2019,160,-7.881773399014786,1.119999999999997,1.1061411331074245,1.0125290222719046
10-Jun-2019,27-Jun-2019,160,18.905472636815905,1.6249999999999964,1.164867724867724,1.3950081758720911
13-Jun-2019,27-Jun-2019,160,7.488986784140966,4.970588235294111,4.180361305361302,1.189033165367631
14-Jun-2019,27-Jun-2019,160,-27.77777777777778,6.586206896551732,5.295557383792674,1.2437230718543733
18-Jun-2019,27-Jun-2019,160,-24.10714285714285,5.785714285714282,4.403285452111882,1.3139539438533032
