,Close,Open,Date,Symbol
0,202.1,202.5,01-Jan-2019,VEDL
1,193.15,200.0,02-Jan-2019,VEDL
2,187.95,193.7,03-Jan-2019,VEDL
3,192.9,188.0,04-Jan-2019,VEDL
4,193.45,196.1,07-Jan-2019,VEDL
5,195.65,194.5,08-Jan-2019,VEDL
6,194.75,197.95,09-Jan-2019,VEDL
7,195.45,195.0,10-Jan-2019,VEDL
8,196.6,195.5,11-Jan-2019,VEDL
9,193.05,196.0,14-Jan-2019,VEDL
10,198.9,193.85,15-Jan-2019,VEDL
11,196.3,201.0,16-Jan-2019,VEDL
12,197.45,197.25,17-Jan-2019,VEDL
13,198.7,199.0,18-Jan-2019,VEDL
14,198.45,200.1,21-Jan-2019,VEDL
15,191.5,197.5,22-Jan-2019,VEDL
16,192.8,191.5,23-Jan-2019,VEDL
17,193.5,192.9,24-Jan-2019,VEDL
18,194.7,195.1,25-Jan-2019,VEDL
19,191.5,195.0,28-Jan-2019,VEDL
20,192.65,191.5,29-Jan-2019,VEDL
21,194.1,192.9,30-Jan-2019,VEDL
22,197.35,195.5,31-Jan-2019,VEDL
