,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Close,Open
0,0,0,0,0,0,0,0,0,AMBUJACEM,EQ,01-Feb-2022,365.15,370.0,382.85,366.5,382.0,380.4,375.02,6354846,2383213489.8,90754,2678741,42.15,380.4,370.0
1,1,1,1,1,1,1,1,1,AMBUJACEM,EQ,02-Feb-2022,380.4,383.7,386.3,377.85,380.05,380.0,382.51,3322525,1270911358.65,34793,1828257,55.03,380.0,383.7
2,2,2,2,2,2,2,2,2,AMBUJACEM,EQ,03-Feb-2022,380.0,377.3,384.3,377.3,381.0,381.9,382.46,3772405,1442798686.05,56782,2716845,72.02,381.9,377.3
3,3,3,3,3,3,3,3,3,AMBUJACEM,EQ,04-Feb-2022,381.9,383.0,384.9,378.0,379.25,380.4,382.58,5637748,2156909529.9,75719,3959499,70.23,380.4,383.0
4,4,4,4,4,4,4,4,4,AMBUJACEM,EQ,07-Feb-2022,380.4,380.0,383.9,374.2,382.55,382.65,379.68,2535377,962638406.4,65673,1201421,47.39,382.65,380.0
5,5,5,5,5,5,5,5,5,AMBUJACEM,EQ,08-Feb-2022,382.65,383.0,386.1,373.25,376.9,376.3,378.59,2089451,791053287.45,27285,812498,38.89,376.3,383.0
6,6,6,6,6,6,6,6,6,AMBUJACEM,EQ,09-Feb-2022,376.3,379.35,385.9,376.85,383.5,382.8,382.27,2140597,818291408.8,33325,1237125,57.79,382.8,379.35
7,7,7,7,7,7,7,7,7,AMBUJACEM,EQ,10-Feb-2022,382.8,381.75,384.4,373.4,374.75,374.85,376.43,4638095,1745939542.0,63320,2884561,62.19,374.85,381.75
8,8,8,8,8,8,8,8,8,AMBUJACEM,EQ,11-Feb-2022,374.85,375.0,375.85,366.6,367.05,367.9,370.31,2050063,759156884.95,38304,770306,37.57,367.9,375.0
9,9,9,9,9,9,9,9,9,AMBUJACEM,EQ,14-Feb-2022,367.9,362.0,365.0,354.05,355.0,355.1,359.41,1341336,482087122.35,28535,436803,32.56,355.1,362.0
10,10,10,10,10,10,10,10,10,AMBUJACEM,EQ,15-Feb-2022,355.1,357.0,365.0,353.75,364.5,363.55,359.59,2027130,728925875.0,31512,996585,49.16,363.55,357.0
11,11,11,11,11,11,11,11,11,AMBUJACEM,EQ,16-Feb-2022,363.55,365.1,367.85,359.5,360.65,360.7,364.37,1368175,498527820.0,23257,402259,29.4,360.7,365.1
12,12,12,12,12,12,12,12,12,AMBUJACEM,EQ,17-Feb-2022,360.7,362.5,364.5,357.5,358.75,359.8,360.31,1439893,518806904.15,20810,476026,33.06,359.8,362.5
13,13,13,13,13,13,13,13,13,AMBUJACEM,EQ,18-Feb-2022,359.8,352.7,354.0,337.2,338.5,338.35,342.56,11901556,4076988751.7,154766,2687259,22.58,338.35,352.7
14,14,14,14,14,14,14,14,14,AMBUJACEM,EQ,21-Feb-2022,338.35,334.2,341.3,331.25,339.2,338.55,337.01,5812598,1958905617.8,86922,1214711,20.9,338.55,334.2
15,15,15,15,15,15,15,15,15,AMBUJACEM,EQ,22-Feb-2022,338.55,334.0,338.45,331.1,337.3,337.35,335.32,3078034,1032119343.65,40636,1020919,33.17,337.35,334.0
16,16,16,16,16,16,16,16,16,AMBUJACEM,EQ,23-Feb-2022,337.35,338.9,340.5,329.6,330.0,330.95,334.17,5312647,1775335731.25,55919,3259022,61.34,330.95,338.9
17,17,17,17,17,17,17,17,17,AMBUJACEM,EQ,24-Feb-2022,330.95,316.0,322.35,302.05,307.35,306.95,311.99,12821969,4000318508.7,163333,6583056,51.34,306.95,316.0
